"Indicator","Time","Value (USD/DJF)"
"Currency","2018/06/09",177.50
"Currency","2018/06/08",177.50
"Currency","2018/06/07",177.50
"Currency","2018/06/06",177.50
"Currency","2018/06/05",177.40
"Currency","2018/06/04",177.50
"Currency","2018/06/02",177.50
"Currency","2018/06/01",177.50
"Currency","2018/05/31",177.60
"Currency","2018/05/30",177.50
"Currency","2018/05/29",177.40
"Currency","2018/05/28",177.50
"Currency","2018/05/26",177.40
"Currency","2018/05/25",177.50
"Currency","2018/05/24",177.50
"Currency","2018/05/23",177.20
"Currency","2018/05/22",177.00
"Currency","2018/05/21",177.25
"Currency","2018/05/20",177.25
"Currency","2018/05/19",177.25
"Currency","2018/05/18",177.25
"Currency","2018/05/17",177.25
"Currency","2018/05/16",177.25
"Currency","2018/05/15",177.00
"Currency","2018/05/14",176.90
"Currency","2018/05/13",177.00
"Currency","2018/05/12",177.10
"Currency","2018/05/11",177.00
"Currency","2018/05/10",177.00
"Currency","2018/05/09",177.00
"Currency","2018/05/08",176.83
"Currency","2018/05/07",176.83
"Currency","2018/05/06",176.83
"Currency","2018/05/05",176.83
"Currency","2018/05/04",176.83
"Currency","2018/05/03",176.83
"Currency","2018/05/02",176.83
"Currency","2018/05/01",176.83
"Currency","2018/04/30",177.20
"Currency","2018/04/29",176.83
"Currency","2018/04/28",176.83
"Currency","2018/04/27",176.83
"Currency","2018/04/26",176.83
"Currency","2018/04/25",176.83
"Currency","2018/04/24",176.83
"Currency","2018/04/23",176.83
"Currency","2018/04/22",176.83
"Currency","2018/04/21",176.83
"Currency","2018/04/20",176.83
"Currency","2018/04/19",176.83
"Currency","2018/04/18",176.83
"Currency","2018/04/17",176.83
"Currency","2018/04/16",176.83
"Currency","2018/04/15",176.83
"Currency","2018/04/14",176.83
"Currency","2018/04/13",176.83
"Currency","2018/04/12",176.83
"Currency","2018/04/11",176.83
"Currency","2018/04/10",176.83
"Currency","2018/04/09",176.83
"Currency","2018/04/08",176.83
"Currency","2018/04/07",176.83
"Currency","2018/04/06",176.83
"Currency","2018/04/05",176.83
"Currency","2018/04/04",176.83
"Currency","2018/04/03",176.83
"Currency","2018/04/02",176.83
"Currency","2018/04/01",176.83
"Currency","2018/03/31",176.83
"Currency","2018/03/30",176.83
"Currency","2018/03/29",176.83
"Currency","2018/03/28",176.83
"Currency","2018/03/27",176.83
"Currency","2018/03/26",176.83
"Currency","2018/03/25",176.83
"Currency","2018/03/24",176.83
"Currency","2018/03/23",176.83
"Currency","2018/03/22",176.83
"Currency","2018/03/21",176.83
"Currency","2018/03/20",176.70
"Currency","2018/03/19",176.83
