"Indicator","Time","Value (USD/GTQ)"
"Currency","2018/06/08",7.47
"Currency","2018/06/07",7.47
"Currency","2018/06/06",7.47
"Currency","2018/06/05",7.48
"Currency","2018/06/04",7.48
"Currency","2018/06/01",7.48
"Currency","2018/05/31",7.47
"Currency","2018/05/30",7.48
"Currency","2018/05/29",7.48
"Currency","2018/05/28",7.47
"Currency","2018/05/25",7.47
"Currency","2018/05/24",7.46
"Currency","2018/05/23",7.45
"Currency","2018/05/22",7.42
"Currency","2018/05/21",7.39
"Currency","2018/05/18",7.44
"Currency","2018/05/17",7.43
"Currency","2018/05/16",7.42
"Currency","2018/05/15",7.42
"Currency","2018/05/14",7.42
"Currency","2018/05/11",7.40
"Currency","2018/05/10",7.43
"Currency","2018/05/09",7.41
"Currency","2018/05/08",7.42
"Currency","2018/05/07",7.42
"Currency","2018/05/04",7.41
"Currency","2018/05/03",7.40
"Currency","2018/05/02",7.40
"Currency","2018/05/01",7.41
"Currency","2018/04/30",7.40
"Currency","2018/04/27",7.39
"Currency","2018/04/26",7.39
"Currency","2018/04/25",7.40
"Currency","2018/04/24",7.40
"Currency","2018/04/23",7.39
"Currency","2018/04/20",7.39
"Currency","2018/04/19",7.40
"Currency","2018/04/18",7.40
"Currency","2018/04/17",7.40
"Currency","2018/04/16",7.40
"Currency","2018/04/13",7.40
"Currency","2018/04/12",7.39
"Currency","2018/04/11",7.40
"Currency","2018/04/10",7.40
"Currency","2018/04/09",7.40
"Currency","2018/04/06",7.39
"Currency","2018/04/05",7.40
"Currency","2018/04/04",7.40
"Currency","2018/04/03",7.40
"Currency","2018/04/02",7.40
"Currency","2018/03/30",7.40
"Currency","2018/03/29",7.40
"Currency","2018/03/28",7.40
"Currency","2018/03/27",7.40
"Currency","2018/03/26",7.40
"Currency","2018/03/23",7.40
"Currency","2018/03/22",7.39
"Currency","2018/03/21",7.39
"Currency","2018/03/20",7.39
"Currency","2018/03/19",7.40
"Currency","2018/03/16",7.40
"Currency","2018/03/15",7.40
"Currency","2018/03/14",7.40
"Currency","2018/03/13",7.40
"Currency","2018/03/12",7.39
"Currency","2018/03/09",7.38
"Currency","2018/03/08",7.38
"Currency","2018/03/07",7.37
"Currency","2018/03/06",7.37
"Currency","2018/03/05",7.37
"Currency","2018/03/02",7.38
"Currency","2018/03/01",7.38
"Currency","2018/02/28",7.38
"Currency","2018/02/27",7.37
"Currency","2018/02/26",7.37
"Currency","2018/02/23",7.37
"Currency","2018/02/22",7.36
"Currency","2018/02/21",7.36
"Currency","2018/02/20",7.36
"Currency","2018/02/19",7.36
"Currency","2018/02/16",7.36
"Currency","2018/02/15",7.35
"Currency","2018/02/14",7.35
"Currency","2018/02/13",7.35
"Currency","2018/02/12",7.36
"Currency","2018/02/09",7.36
"Currency","2018/02/08",7.35
"Currency","2018/02/07",7.35
"Currency","2018/02/06",7.35
"Currency","2018/02/05",7.34
"Currency","2018/02/02",7.35
"Currency","2018/02/01",7.35
"Currency","2018/01/31",7.35
"Currency","2018/01/30",7.34
"Currency","2018/01/29",7.34
"Currency","2018/01/26",7.35
"Currency","2018/01/25",7.35
"Currency","2018/01/24",7.34
"Currency","2018/01/23",7.34
"Currency","2018/01/22",7.34
"Currency","2018/01/19",7.34
"Currency","2018/01/18",7.33
"Currency","2018/01/17",7.32
"Currency","2018/01/16",7.34
"Currency","2018/01/15",7.34
"Currency","2018/01/12",7.34
"Currency","2018/01/11",7.34
"Currency","2018/01/10",7.34
"Currency","2018/01/09",7.34
"Currency","2018/01/08",7.34
"Currency","2018/01/05",7.34
"Currency","2018/01/04",7.34
"Currency","2018/01/03",7.34
"Currency","2018/01/02",7.34
"Currency","2017/12/29",7.34
"Currency","2017/12/28",7.33
"Currency","2017/12/27",7.34
"Currency","2017/12/26",7.33
"Currency","2017/12/22",7.34
"Currency","2017/12/21",7.33
"Currency","2017/12/20",7.34
"Currency","2017/12/19",7.33
"Currency","2017/12/18",7.33
"Currency","2017/12/15",7.34
"Currency","2017/12/14",7.34
"Currency","2017/12/13",7.34
"Currency","2017/12/12",7.34
"Currency","2017/12/11",7.34
"Currency","2017/12/08",7.34
"Currency","2017/12/07",7.34
"Currency","2017/12/06",7.33
"Currency","2017/12/05",7.34
"Currency","2017/12/04",7.34
"Currency","2017/12/01",7.34
"Currency","2017/11/30",7.34
"Currency","2017/11/29",7.33
"Currency","2017/11/28",7.34
"Currency","2017/11/27",7.33
"Currency","2017/11/24",7.34
"Currency","2017/11/23",7.32
"Currency","2017/11/22",7.33
"Currency","2017/11/21",7.32
"Currency","2017/11/20",7.32
"Currency","2017/11/17",7.33
"Currency","2017/11/16",7.32
"Currency","2017/11/15",7.31
"Currency","2017/11/14",7.31
"Currency","2017/11/13",7.28
"Currency","2017/11/10",7.32
"Currency","2017/11/09",7.29
"Currency","2017/11/08",7.33
"Currency","2017/11/07",7.33
"Currency","2017/11/06",7.34
"Currency","2017/11/03",7.34
"Currency","2017/11/02",7.34
"Currency","2017/11/01",7.34
"Currency","2017/10/31",7.34
"Currency","2017/10/30",7.34
"Currency","2017/10/27",7.34
"Currency","2017/10/26",7.34
"Currency","2017/10/25",7.34
"Currency","2017/10/24",7.34
"Currency","2017/10/23",7.34
"Currency","2017/10/20",7.34
"Currency","2017/10/19",7.34
"Currency","2017/10/18",7.34
"Currency","2017/10/17",7.34
"Currency","2017/10/16",7.34
"Currency","2017/10/14",7.34
"Currency","2017/10/13",7.34
"Currency","2017/10/12",7.34
"Currency","2017/10/11",7.34
"Currency","2017/10/10",7.31
"Currency","2017/10/09",7.34
"Currency","2017/10/06",7.31
"Currency","2017/10/05",7.31
"Currency","2017/10/04",7.31
"Currency","2017/10/03",7.31
"Currency","2017/10/02",7.31
"Currency","2017/09/30",7.31
"Currency","2017/09/29",7.31
"Currency","2017/09/28",7.31
"Currency","2017/09/27",7.31
"Currency","2017/09/26",7.31
"Currency","2017/09/25",7.31
"Currency","2017/09/22",7.30
"Currency","2017/09/21",7.29
"Currency","2017/09/20",7.29
"Currency","2017/09/19",7.29
"Currency","2017/09/18",7.29
