"Indicator","Time","Value (USD/HNL)"
"Currency","2018/06/08",23.89
"Currency","2018/06/07",23.89
"Currency","2018/06/06",23.89
"Currency","2018/06/05",23.88
"Currency","2018/06/04",23.87
"Currency","2018/06/01",23.87
"Currency","2018/05/31",23.86
"Currency","2018/05/30",23.86
"Currency","2018/05/29",23.85
"Currency","2018/05/28",23.84
"Currency","2018/05/25",23.84
"Currency","2018/05/24",23.84
"Currency","2018/05/23",23.77
"Currency","2018/05/22",23.82
"Currency","2018/05/21",23.78
"Currency","2018/05/18",23.79
"Currency","2018/05/17",23.78
"Currency","2018/05/16",23.77
"Currency","2018/05/15",23.68
"Currency","2018/05/14",23.72
"Currency","2018/05/11",23.70
"Currency","2018/05/10",23.69
"Currency","2018/05/09",23.68
"Currency","2018/05/08",23.66
"Currency","2018/05/07",23.65
"Currency","2018/05/04",23.63
"Currency","2018/05/03",23.62
"Currency","2018/05/02",23.62
"Currency","2018/05/01",23.59
"Currency","2018/04/30",23.59
"Currency","2018/04/27",23.61
"Currency","2018/04/26",23.58
"Currency","2018/04/25",23.58
"Currency","2018/04/24",23.58
"Currency","2018/04/23",23.58
"Currency","2018/04/20",23.58
"Currency","2018/04/19",23.58
"Currency","2018/04/18",23.58
"Currency","2018/04/17",23.58
"Currency","2018/04/16",23.58
"Currency","2018/04/13",23.58
"Currency","2018/04/12",23.58
"Currency","2018/04/11",23.58
"Currency","2018/04/10",23.58
"Currency","2018/04/09",23.58
"Currency","2018/04/06",23.58
"Currency","2018/04/05",23.58
"Currency","2018/04/04",23.57
"Currency","2018/04/03",23.57
"Currency","2018/04/02",23.57
"Currency","2018/03/30",23.57
"Currency","2018/03/29",23.57
"Currency","2018/03/28",23.57
"Currency","2018/03/27",23.57
"Currency","2018/03/26",23.58
"Currency","2018/03/23",23.57
"Currency","2018/03/22",23.57
"Currency","2018/03/21",23.57
"Currency","2018/03/20",23.56
"Currency","2018/03/19",23.56
"Currency","2018/03/16",23.56
"Currency","2018/03/15",23.56
"Currency","2018/03/14",23.55
"Currency","2018/03/13",23.56
"Currency","2018/03/12",23.54
"Currency","2018/03/09",23.53
"Currency","2018/03/08",23.52
"Currency","2018/03/07",23.52
"Currency","2018/03/06",23.52
"Currency","2018/03/05",23.51
"Currency","2018/03/02",23.51
"Currency","2018/03/01",23.51
"Currency","2018/02/28",23.52
"Currency","2018/02/27",23.51
"Currency","2018/02/26",23.55
"Currency","2018/02/23",23.56
"Currency","2018/02/22",23.50
"Currency","2018/02/21",23.50
"Currency","2018/02/20",23.49
"Currency","2018/02/19",23.53
"Currency","2018/02/16",23.52
"Currency","2018/02/15",23.48
"Currency","2018/02/14",23.48
"Currency","2018/02/13",23.48
"Currency","2018/02/12",23.52
"Currency","2018/02/09",23.52
"Currency","2018/02/08",23.48
"Currency","2018/02/07",23.48
"Currency","2018/02/06",23.53
"Currency","2018/02/05",23.49
"Currency","2018/02/02",23.54
"Currency","2018/02/01",23.57
"Currency","2018/01/31",23.56
"Currency","2018/01/30",23.57
"Currency","2018/01/29",23.54
"Currency","2018/01/26",23.58
"Currency","2018/01/25",23.56
"Currency","2018/01/24",23.54
"Currency","2018/01/23",23.58
"Currency","2018/01/22",23.54
"Currency","2018/01/19",23.56
"Currency","2018/01/18",23.54
"Currency","2018/01/17",23.58
"Currency","2018/01/16",23.57
"Currency","2018/01/15",23.59
"Currency","2018/01/12",23.50
"Currency","2018/01/11",23.58
"Currency","2018/01/10",23.56
"Currency","2018/01/09",23.52
"Currency","2018/01/08",23.52
"Currency","2018/01/05",23.56
"Currency","2018/01/04",23.52
"Currency","2018/01/03",23.52
"Currency","2018/01/02",23.52
"Currency","2017/12/29",23.54
"Currency","2017/12/28",23.51
"Currency","2017/12/27",23.43
"Currency","2017/12/26",23.49
"Currency","2017/12/22",23.51
"Currency","2017/12/21",23.48
"Currency","2017/12/20",23.51
"Currency","2017/12/19",23.47
"Currency","2017/12/18",23.47
"Currency","2017/12/15",23.50
"Currency","2017/12/14",23.51
"Currency","2017/12/13",23.51
"Currency","2017/12/12",23.52
"Currency","2017/12/11",23.51
"Currency","2017/12/08",23.52
"Currency","2017/12/07",23.54
"Currency","2017/12/06",23.54
"Currency","2017/12/05",23.54
"Currency","2017/12/04",23.50
"Currency","2017/12/01",23.54
"Currency","2017/11/30",23.54
"Currency","2017/11/29",23.56
"Currency","2017/11/28",23.55
"Currency","2017/11/27",23.51
"Currency","2017/11/24",23.56
"Currency","2017/11/23",23.51
"Currency","2017/11/22",23.56
"Currency","2017/11/21",23.52
"Currency","2017/11/20",23.55
"Currency","2017/11/17",23.55
"Currency","2017/11/16",23.55
"Currency","2017/11/15",23.51
"Currency","2017/11/14",23.56
"Currency","2017/11/13",23.45
"Currency","2017/11/10",23.52
"Currency","2017/11/09",23.44
"Currency","2017/11/08",23.51
"Currency","2017/11/07",23.43
"Currency","2017/11/06",23.48
"Currency","2017/11/03",23.49
"Currency","2017/11/02",23.46
"Currency","2017/11/01",23.48
"Currency","2017/10/31",23.43
"Currency","2017/10/30",23.43
"Currency","2017/10/27",23.46
"Currency","2017/10/26",23.46
"Currency","2017/10/25",23.42
"Currency","2017/10/24",23.43
"Currency","2017/10/23",23.42
"Currency","2017/10/20",23.42
"Currency","2017/10/19",23.40
"Currency","2017/10/18",23.39
"Currency","2017/10/17",23.36
"Currency","2017/10/16",23.38
"Currency","2017/10/14",23.37
"Currency","2017/10/13",23.37
"Currency","2017/10/12",23.37
"Currency","2017/10/11",23.29
"Currency","2017/10/10",23.35
"Currency","2017/10/09",23.34
"Currency","2017/10/06",23.34
"Currency","2017/10/05",23.34
"Currency","2017/10/04",23.34
"Currency","2017/10/03",23.34
"Currency","2017/10/02",23.33
"Currency","2017/09/30",23.33
"Currency","2017/09/29",23.33
"Currency","2017/09/28",23.34
"Currency","2017/09/27",23.31
"Currency","2017/09/26",23.32
"Currency","2017/09/25",23.32
"Currency","2017/09/22",23.32
"Currency","2017/09/21",23.32
"Currency","2017/09/20",23.33
"Currency","2017/09/19",23.32
"Currency","2017/09/18",23.32
"Currency","2017/09/16",23.32
"Currency","2017/09/15",23.32
"Currency","2017/09/14",23.33
"Currency","2017/09/13",23.32
"Currency","2017/09/12",23.28
"Currency","2017/09/11",23.34
"Currency","2017/09/08",23.32
"Currency","2017/09/07",23.31
"Currency","2017/09/06",23.33
"Currency","2017/09/05",23.32
"Currency","2017/09/04",23.32
"Currency","2017/09/01",23.34
"Currency","2017/08/31",23.33
"Currency","2017/08/30",23.32
"Currency","2017/08/29",23.29
"Currency","2017/08/28",23.33
"Currency","2017/08/25",23.35
"Currency","2017/08/24",23.34
"Currency","2017/08/23",23.33
"Currency","2017/08/22",23.31
"Currency","2017/08/21",23.32
"Currency","2017/08/18",23.31
"Currency","2017/08/17",23.31
"Currency","2017/08/16",23.31
"Currency","2017/08/15",23.32
"Currency","2017/08/14",23.33
"Currency","2017/08/12",23.27
"Currency","2017/08/11",23.27
"Currency","2017/08/10",23.27
"Currency","2017/08/09",23.30
"Currency","2017/08/08",23.32
"Currency","2017/08/07",23.32
"Currency","2017/08/04",23.34
"Currency","2017/08/03",23.34
"Currency","2017/08/02",23.36
"Currency","2017/08/01",23.37
"Currency","2017/07/31",23.41
"Currency","2017/07/28",23.40
"Currency","2017/07/27",23.39
"Currency","2017/07/26",23.37
"Currency","2017/07/25",23.41
"Currency","2017/07/24",23.41
"Currency","2017/07/21",23.39
"Currency","2017/07/20",23.41
"Currency","2017/07/19",23.37
"Currency","2017/07/18",23.38
"Currency","2017/07/17",23.37
"Currency","2017/07/14",23.41
"Currency","2017/07/13",23.38
"Currency","2017/07/12",23.40
"Currency","2017/07/11",23.43
"Currency","2017/07/10",23.41
"Currency","2017/07/07",23.41
"Currency","2017/07/06",23.41
"Currency","2017/07/05",23.43
"Currency","2017/07/04",23.45
"Currency","2017/07/03",23.25
"Currency","2017/06/30",23.27
"Currency","2017/06/29",23.30
"Currency","2017/06/28",23.33
"Currency","2017/06/27",23.42
"Currency","2017/06/26",23.36
"Currency","2017/06/24",23.38
"Currency","2017/06/23",23.38
"Currency","2017/06/22",23.40
"Currency","2017/06/21",23.38
"Currency","2017/06/20",23.40
"Currency","2017/06/19",23.36
"Currency","2017/06/17",23.30
"Currency","2017/06/16",23.30
"Currency","2017/06/15",23.33
"Currency","2017/06/14",23.42
"Currency","2017/06/13",23.37
"Currency","2017/06/12",23.35
"Currency","2017/06/09",23.36
"Currency","2017/06/08",23.37
"Currency","2017/06/07",23.38
"Currency","2017/06/06",23.40
"Currency","2017/06/05",23.42
"Currency","2017/06/02",23.42
