"Indicator","Time","Value (USD/KGS)"
"Currency","2018/06/08",68.25
"Currency","2018/06/07",68.25
"Currency","2018/06/06",68.35
"Currency","2018/06/05",68.25
"Currency","2018/06/04",68.30
"Currency","2018/06/01",68.35
"Currency","2018/05/31",68.30
"Currency","2018/05/30",68.40
"Currency","2018/05/29",68.25
"Currency","2018/05/28",68.08
"Currency","2018/05/25",68.09
"Currency","2018/05/24",68.10
"Currency","2018/05/23",68.20
"Currency","2018/05/22",68.35
"Currency","2018/05/21",68.42
"Currency","2018/05/18",68.25
"Currency","2018/05/17",68.35
"Currency","2018/05/16",68.39
"Currency","2018/05/15",68.25
"Currency","2018/05/14",68.29
"Currency","2018/05/11",68.30
"Currency","2018/05/10",68.67
"Currency","2018/05/09",68.60
"Currency","2018/05/08",68.60
"Currency","2018/05/07",68.75
"Currency","2018/05/04",68.75
"Currency","2018/05/03",68.70
"Currency","2018/05/02",68.70
"Currency","2018/05/01",68.77
"Currency","2018/04/30",68.78
"Currency","2018/04/27",68.55
"Currency","2018/04/26",68.60
"Currency","2018/04/25",68.50
"Currency","2018/04/24",68.35
"Currency","2018/04/23",68.40
"Currency","2018/04/20",68.40
"Currency","2018/04/19",68.42
"Currency","2018/04/18",68.50
"Currency","2018/04/17",68.60
"Currency","2018/04/16",68.70
"Currency","2018/04/13",68.50
"Currency","2018/04/12",68.80
"Currency","2018/04/11",68.35
"Currency","2018/04/10",68.35
"Currency","2018/04/09",68.35
"Currency","2018/04/06",68.35
"Currency","2018/04/05",68.35
"Currency","2018/04/04",68.30
"Currency","2018/04/03",68.30
"Currency","2018/04/02",68.30
"Currency","2018/03/30",68.30
"Currency","2018/03/29",68.37
"Currency","2018/03/28",68.35
"Currency","2018/03/27",68.07
"Currency","2018/03/26",68.07
"Currency","2018/03/23",68.07
"Currency","2018/03/22",68.07
"Currency","2018/03/21",68.15
"Currency","2018/03/20",68.15
"Currency","2018/03/19",68.10
"Currency","2018/03/16",68.10
"Currency","2018/03/15",68.10
"Currency","2018/03/14",68.09
"Currency","2018/03/13",68.10
"Currency","2018/03/12",68.09
"Currency","2018/03/09",67.79
"Currency","2018/03/08",67.79
"Currency","2018/03/07",67.80
"Currency","2018/03/06",67.80
"Currency","2018/03/05",67.80
"Currency","2018/03/02",67.90
"Currency","2018/03/01",67.95
"Currency","2018/02/28",68.10
"Currency","2018/02/27",67.93
