"Indicator","Time","Value (USD/KHR)"
"Currency","2018/06/08",4055.00
"Currency","2018/06/07",4061.93
"Currency","2018/06/06",4065.00
"Currency","2018/06/05",4001.43
"Currency","2018/06/04",4060.94
"Currency","2018/06/01",4062.93
"Currency","2018/05/31",4055.94
"Currency","2018/05/30",4060.00
"Currency","2018/05/29",4053.88
"Currency","2018/05/28",4026.07
"Currency","2018/05/25",4045.95
"Currency","2018/05/24",4047.89
"Currency","2018/05/23",4039.80
"Currency","2018/05/22",4034.72
"Currency","2018/05/21",4040.00
"Currency","2018/05/18",4037.86
"Currency","2018/05/17",4050.00
"Currency","2018/05/16",4056.00
"Currency","2018/05/15",4033.87
"Currency","2018/05/14",4021.78
"Currency","2018/05/11",4029.84
"Currency","2018/05/10",4046.00
"Currency","2018/05/09",4032.88
"Currency","2018/05/08",4020.79
"Currency","2018/05/07",4035.96
"Currency","2018/05/04",4040.00
"Currency","2018/05/03",4025.00
"Currency","2018/05/02",4017.92
"Currency","2018/05/01",4028.97
"Currency","2018/04/30",4015.98
"Currency","2018/04/27",4017.98
"Currency","2018/04/26",4003.94
"Currency","2018/04/25",4005.99
"Currency","2018/04/24",4010.00
"Currency","2018/04/23",3997.88
"Currency","2018/04/20",3996.99
"Currency","2018/04/19",3997.98
"Currency","2018/04/18",3999.99
"Currency","2018/04/17",3991.00
"Currency","2018/04/16",4005.00
"Currency","2018/04/13",4006.00
"Currency","2018/04/12",3993.00
"Currency","2018/04/11",3997.00
"Currency","2018/04/10",3970.10
"Currency","2018/04/09",3990.00
"Currency","2018/04/06",3990.01
"Currency","2018/04/05",3986.01
"Currency","2018/04/04",3983.46
"Currency","2018/04/03",3964.14
"Currency","2018/04/02",3982.02
"Currency","2018/03/30",3990.00
"Currency","2018/03/29",3991.00
"Currency","2018/03/28",3975.05
"Currency","2018/03/27",3977.03
"Currency","2018/03/26",3981.02
"Currency","2018/03/23",3980.00
"Currency","2018/03/22",3983.46
"Currency","2018/03/21",3970.00
"Currency","2018/03/20",3969.97
"Currency","2018/03/19",3987.45
"Currency","2018/03/16",3982.01
"Currency","2018/03/15",3990.00
"Currency","2018/03/14",3984.01
"Currency","2018/03/13",3973.96
"Currency","2018/03/12",3991.00
"Currency","2018/03/09",3987.45
"Currency","2018/03/08",3987.45
"Currency","2018/03/07",3991.00
"Currency","2018/03/06",3987.45
"Currency","2018/03/05",3977.02
"Currency","2018/03/02",3986.00
"Currency","2018/03/01",3983.02
"Currency","2018/02/28",3990.68
"Currency","2018/02/27",3992.00
"Currency","2018/02/26",3995.00
"Currency","2018/02/23",3986.01
"Currency","2018/02/22",3983.46
"Currency","2018/02/21",3982.02
"Currency","2018/02/20",3999.43
"Currency","2018/02/19",4002.42
"Currency","2018/02/16",3995.00
"Currency","2018/02/15",4003.44
"Currency","2018/02/14",4000.00
"Currency","2018/02/13",3993.00
"Currency","2018/02/12",4001.00
"Currency","2018/02/09",4002.00
"Currency","2018/02/08",4000.00
"Currency","2018/02/07",3990.67
"Currency","2018/02/06",4013.96
"Currency","2018/02/05",4008.66
"Currency","2018/02/02",4005.71
"Currency","2018/02/01",4000.00
"Currency","2018/01/31",4001.00
"Currency","2018/01/30",4005.33
"Currency","2018/01/29",4005.94
"Currency","2018/01/26",4011.80
"Currency","2018/01/25",4000.00
"Currency","2018/01/24",4005.00
"Currency","2018/01/23",3999.90
"Currency","2018/01/22",4012.98
"Currency","2018/01/19",4005.76
"Currency","2018/01/18",4011.00
"Currency","2018/01/17",4007.28
"Currency","2018/01/16",4007.66
"Currency","2018/01/15",4018.43
"Currency","2018/01/12",4019.22
"Currency","2018/01/11",4015.90
"Currency","2018/01/10",4015.90
"Currency","2018/01/09",4020.00
"Currency","2018/01/08",4015.00
"Currency","2018/01/05",4023.94
"Currency","2018/01/04",4020.00
"Currency","2018/01/03",4029.91
"Currency","2018/01/02",4022.97
"Currency","2017/12/29",4025.00
"Currency","2017/12/28",4031.00
"Currency","2017/12/27",4027.00
"Currency","2017/12/26",4030.93
"Currency","2017/12/22",4025.00
"Currency","2017/12/21",4031.92
"Currency","2017/12/20",4025.00
"Currency","2017/12/19",4022.87
"Currency","2017/12/18",4024.33
"Currency","2017/12/15",4025.00
"Currency","2017/12/14",4022.91
"Currency","2017/12/13",4025.73
"Currency","2017/12/12",4025.18
"Currency","2017/12/11",4025.00
"Currency","2017/12/08",4020.00
"Currency","2017/12/07",4020.00
"Currency","2017/12/06",4028.93
"Currency","2017/12/05",4029.03
"Currency","2017/12/04",4020.00
"Currency","2017/12/01",4018.82
"Currency","2017/11/30",4019.55
"Currency","2017/11/29",4030.33
"Currency","2017/11/28",4025.69
"Currency","2017/11/27",4020.40
"Currency","2017/11/24",4024.44
"Currency","2017/11/23",4032.00
"Currency","2017/11/22",4016.92
"Currency","2017/11/21",4017.00
"Currency","2017/11/20",4014.87
"Currency","2017/11/17",4022.28
"Currency","2017/11/16",4020.95
"Currency","2017/11/15",4026.00
"Currency","2017/11/14",4013.75
"Currency","2017/11/13",4021.00
"Currency","2017/11/10",4020.89
"Currency","2017/11/09",4024.91
"Currency","2017/11/08",4029.65
"Currency","2017/11/07",4020.89
"Currency","2017/11/06",4027.72
"Currency","2017/11/03",4029.00
"Currency","2017/11/02",4034.54
"Currency","2017/11/01",4027.00
"Currency","2017/10/31",4029.00
"Currency","2017/10/30",4035.60
"Currency","2017/10/27",4022.70
"Currency","2017/10/26",4040.00
"Currency","2017/10/25",4023.90
"Currency","2017/10/24",4029.00
"Currency","2017/10/23",4025.60
"Currency","2017/10/21",4027.00
"Currency","2017/10/20",4027.00
"Currency","2017/10/19",4027.50
"Currency","2017/10/18",4027.00
"Currency","2017/10/17",4031.00
"Currency","2017/10/16",4034.70
"Currency","2017/10/13",4030.90
"Currency","2017/10/12",4031.00
"Currency","2017/10/11",4039.16
"Currency","2017/10/10",4041.00
"Currency","2017/10/09",4043.90
"Currency","2017/10/06",4041.70
