"Indicator","Time","Value (USD/LBP)"
"Currency","2018/06/08",1505.00
"Currency","2018/06/07",1505.00
"Currency","2018/06/06",1505.70
"Currency","2018/06/05",1505.00
"Currency","2018/06/04",1505.00
"Currency","2018/06/01",1505.00
"Currency","2018/05/31",1505.00
"Currency","2018/05/30",1505.50
"Currency","2018/05/29",1509.19
"Currency","2018/05/28",1505.70
"Currency","2018/05/25",1505.00
"Currency","2018/05/24",1505.00
"Currency","2018/05/23",1508.59
"Currency","2018/05/22",1505.50
"Currency","2018/05/21",1505.00
"Currency","2018/05/18",1505.00
"Currency","2018/05/17",1505.00
"Currency","2018/05/16",1505.00
"Currency","2018/05/15",1508.99
"Currency","2018/05/14",1505.70
"Currency","2018/05/11",1505.00
"Currency","2018/05/10",1505.00
"Currency","2018/05/09",1505.00
"Currency","2018/05/08",1505.00
"Currency","2018/05/07",1505.60
"Currency","2018/05/04",1505.00
"Currency","2018/05/03",1505.00
"Currency","2018/05/02",1505.00
"Currency","2018/05/01",1505.00
"Currency","2018/04/30",1505.00
"Currency","2018/04/27",1505.00
"Currency","2018/04/26",1505.00
"Currency","2018/04/25",1505.00
"Currency","2018/04/24",1505.00
"Currency","2018/04/23",1505.00
"Currency","2018/04/20",1505.00
"Currency","2018/04/19",1505.00
"Currency","2018/04/18",1505.00
"Currency","2018/04/17",1505.70
"Currency","2018/04/16",1505.00
"Currency","2018/04/13",1505.00
"Currency","2018/04/12",1505.00
"Currency","2018/04/11",1505.00
"Currency","2018/04/10",1505.00
"Currency","2018/04/09",1505.00
"Currency","2018/04/06",1505.00
"Currency","2018/04/05",1505.00
"Currency","2018/04/04",1510.00
"Currency","2018/04/03",1510.00
"Currency","2018/04/02",1510.00
"Currency","2018/03/30",1510.00
"Currency","2018/03/29",1510.00
"Currency","2018/03/28",1510.00
"Currency","2018/03/27",1510.00
"Currency","2018/03/26",1505.70
"Currency","2018/03/23",1510.00
"Currency","2018/03/22",1510.00
"Currency","2018/03/21",1510.00
"Currency","2018/03/20",1510.00
"Currency","2018/03/19",1510.00
"Currency","2018/03/16",1510.00
"Currency","2018/03/15",1510.00
"Currency","2018/03/14",1510.00
"Currency","2018/03/13",1505.50
"Currency","2018/03/12",1510.00
"Currency","2018/03/09",1510.00
"Currency","2018/03/08",1510.00
"Currency","2018/03/07",1510.00
"Currency","2018/03/06",1510.00
"Currency","2018/03/05",1510.00
"Currency","2018/03/02",1510.00
"Currency","2018/03/01",1505.50
"Currency","2018/02/28",1510.00
"Currency","2018/02/27",1510.00
"Currency","2018/02/26",1505.60
"Currency","2018/02/23",1510.49
"Currency","2018/02/22",1512.00
"Currency","2018/02/21",1510.00
"Currency","2018/02/20",1510.00
"Currency","2018/02/19",1505.40
"Currency","2018/02/16",1505.40
"Currency","2018/02/15",1510.00
"Currency","2018/02/14",1510.00
"Currency","2018/02/13",1510.00
"Currency","2018/02/12",1505.40
"Currency","2018/02/09",1505.40
"Currency","2018/02/08",1510.00
"Currency","2018/02/07",1510.00
"Currency","2018/02/06",1508.49
"Currency","2018/02/05",1508.49
"Currency","2018/02/02",1505.00
"Currency","2018/02/01",1505.60
"Currency","2018/01/31",1505.40
"Currency","2018/01/30",1509.49
"Currency","2018/01/29",1511.00
"Currency","2018/01/26",1505.40
"Currency","2018/01/25",1505.40
"Currency","2018/01/24",1511.00
"Currency","2018/01/23",1508.49
"Currency","2018/01/22",1511.00
"Currency","2018/01/19",1505.40
"Currency","2018/01/18",1511.00
"Currency","2018/01/17",1508.49
"Currency","2018/01/16",1505.40
"Currency","2018/01/15",1505.40
"Currency","2018/01/12",1505.50
"Currency","2018/01/11",1505.50
"Currency","2018/01/10",1505.50
"Currency","2018/01/09",1511.00
"Currency","2018/01/08",1511.00
"Currency","2018/01/05",1505.50
"Currency","2018/01/04",1511.00
"Currency","2018/01/03",1511.00
"Currency","2018/01/02",1511.00
"Currency","2017/12/29",1505.70
"Currency","2017/12/28",1511.00
"Currency","2017/12/27",1505.60
"Currency","2017/12/26",1511.00
"Currency","2017/12/22",1505.50
"Currency","2017/12/21",1511.49
"Currency","2017/12/20",1512.00
"Currency","2017/12/19",1511.00
"Currency","2017/12/18",1511.00
"Currency","2017/12/15",1505.50
"Currency","2017/12/14",1505.50
"Currency","2017/12/13",1511.00
"Currency","2017/12/12",1505.50
"Currency","2017/12/11",1505.70
"Currency","2017/12/08",1505.50
"Currency","2017/12/07",1505.50
"Currency","2017/12/06",1506.49
"Currency","2017/12/05",1505.40
"Currency","2017/12/04",1507.00
"Currency","2017/12/01",1505.40
"Currency","2017/11/30",1505.60
"Currency","2017/11/29",1506.49
"Currency","2017/11/28",1505.50
"Currency","2017/11/27",1511.00
"Currency","2017/11/24",1505.60
"Currency","2017/11/23",1511.00
"Currency","2017/11/22",1505.60
"Currency","2017/11/21",1511.00
"Currency","2017/11/20",1505.50
"Currency","2017/11/17",1505.50
"Currency","2017/11/16",1505.70
"Currency","2017/11/15",1511.00
"Currency","2017/11/14",1507.98
"Currency","2017/11/13",1505.40
"Currency","2017/11/10",1505.40
"Currency","2017/11/09",1506.49
"Currency","2017/11/08",1505.40
"Currency","2017/11/07",1505.49
"Currency","2017/11/06",1505.60
"Currency","2017/11/03",1505.60
"Currency","2017/11/02",1511.00
"Currency","2017/11/01",1505.60
"Currency","2017/10/31",1504.00
"Currency","2017/10/30",1511.00
"Currency","2017/10/27",1505.50
"Currency","2017/10/26",1505.50
"Currency","2017/10/25",1504.00
"Currency","2017/10/24",1505.50
"Currency","2017/10/23",1504.00
"Currency","2017/10/21",1505.40
"Currency","2017/10/20",1505.40
"Currency","2017/10/19",1504.00
"Currency","2017/10/18",1505.60
"Currency","2017/10/17",1505.50
"Currency","2017/10/16",1504.00
"Currency","2017/10/13",1505.40
"Currency","2017/10/12",1505.70
"Currency","2017/10/11",1506.49
"Currency","2017/10/10",1504.00
"Currency","2017/10/09",1505.40
"Currency","2017/10/06",1505.60
"Currency","2017/10/05",1504.00
"Currency","2017/10/04",1505.50
"Currency","2017/10/03",1505.50
"Currency","2017/10/02",1505.70
"Currency","2017/09/30",1505.50
"Currency","2017/09/29",1505.50
"Currency","2017/09/28",1504.00
"Currency","2017/09/27",1505.50
"Currency","2017/09/26",1504.00
"Currency","2017/09/25",1505.40
"Currency","2017/09/22",1506.50
"Currency","2017/09/21",1504.00
"Currency","2017/09/20",1505.70
"Currency","2017/09/19",1505.50
"Currency","2017/09/18",1505.70
"Currency","2017/09/16",1505.40
"Currency","2017/09/15",1505.40
"Currency","2017/09/14",1505.70
"Currency","2017/09/13",1505.60
"Currency","2017/09/12",1505.70
"Currency","2017/09/11",1505.70
"Currency","2017/09/08",1505.70
"Currency","2017/09/07",1504.00
"Currency","2017/09/06",1505.70
"Currency","2017/09/05",1505.50
"Currency","2017/09/04",1504.00
"Currency","2017/09/01",1505.60
"Currency","2017/08/31",1503.49
"Currency","2017/08/30",1505.50
"Currency","2017/08/29",1505.50
"Currency","2017/08/28",1504.00
"Currency","2017/08/25",1502.50
"Currency","2017/08/24",1505.50
"Currency","2017/08/23",1505.40
"Currency","2017/08/22",1504.00
"Currency","2017/08/21",1504.00
"Currency","2017/08/19",1505.40
"Currency","2017/08/18",1505.40
"Currency","2017/08/17",1505.60
"Currency","2017/08/16",1504.00
"Currency","2017/08/15",1505.50
"Currency","2017/08/14",1505.70
"Currency","2017/08/11",1505.70
"Currency","2017/08/10",1505.60
"Currency","2017/08/09",1505.70
"Currency","2017/08/08",1506.00
"Currency","2017/08/07",1505.70
"Currency","2017/08/04",1505.70
"Currency","2017/08/03",1505.70
"Currency","2017/08/02",1505.60
"Currency","2017/08/01",1505.60
"Currency","2017/07/31",1506.00
"Currency","2017/07/28",1505.70
"Currency","2017/07/27",1507.85
"Currency","2017/07/26",1504.00
"Currency","2017/07/25",1504.49
"Currency","2017/07/24",1504.49
"Currency","2017/07/21",1505.40
"Currency","2017/07/20",1504.49
"Currency","2017/07/19",1505.70
"Currency","2017/07/18",1505.50
"Currency","2017/07/17",1505.60
"Currency","2017/07/14",1505.60
"Currency","2017/07/13",1505.50
"Currency","2017/07/12",1505.70
"Currency","2017/07/11",1504.49
"Currency","2017/07/10",1506.70
"Currency","2017/07/08",1506.60
"Currency","2017/07/07",1506.60
"Currency","2017/07/06",1506.60
"Currency","2017/07/05",1503.49
"Currency","2017/07/04",1505.70
"Currency","2017/07/03",1504.00
"Currency","2017/06/30",1505.50
"Currency","2017/06/29",1505.60
"Currency","2017/06/28",1505.70
"Currency","2017/06/27",1504.19
"Currency","2017/06/26",1505.60
"Currency","2017/06/24",1505.60
"Currency","2017/06/23",1505.60
"Currency","2017/06/22",1505.60
"Currency","2017/06/21",1505.60
"Currency","2017/06/20",1505.60
"Currency","2017/06/19",1504.00
"Currency","2017/06/17",1505.70
"Currency","2017/06/16",1505.70
"Currency","2017/06/15",1505.70
"Currency","2017/06/14",1504.00
"Currency","2017/06/13",1505.70
"Currency","2017/06/12",1505.70
"Currency","2017/06/10",1505.70
"Currency","2017/06/09",1505.70
"Currency","2017/06/08",1506.50
"Currency","2017/06/07",1505.70
"Currency","2017/06/06",1505.70
