"Indicator","Time","Value (USD/LRD)"
"Currency","2018/06/08",138.38
"Currency","2018/06/07",138.27
"Currency","2018/06/06",138.27
"Currency","2018/06/05",138.27
"Currency","2018/06/04",138.10
"Currency","2018/06/01",137.70
"Currency","2018/05/31",137.80
"Currency","2018/05/30",137.60
"Currency","2018/05/29",137.80
"Currency","2018/05/28",137.30
"Currency","2018/05/25",137.00
"Currency","2018/05/24",136.21
"Currency","2018/05/23",136.21
"Currency","2018/05/22",133.80
"Currency","2018/05/21",133.78
"Currency","2018/05/18",133.60
"Currency","2018/05/17",133.56
"Currency","2018/05/16",131.99
"Currency","2018/05/15",131.99
"Currency","2018/05/14",132.00
"Currency","2018/05/11",131.99
"Currency","2018/05/10",131.90
"Currency","2018/05/09",131.90
"Currency","2018/05/08",131.82
"Currency","2018/05/07",131.82
"Currency","2018/05/04",132.18
"Currency","2018/05/03",131.62
"Currency","2018/05/02",131.51
"Currency","2018/05/01",131.74
"Currency","2018/04/30",131.53
"Currency","2018/04/27",131.24
"Currency","2018/04/26",131.01
"Currency","2018/04/25",131.01
"Currency","2018/04/24",131.11
"Currency","2018/04/23",130.87
"Currency","2018/04/20",130.58
"Currency","2018/04/19",130.41
"Currency","2018/04/18",130.56
"Currency","2018/04/17",131.75
"Currency","2018/04/16",132.15
"Currency","2018/04/13",132.13
"Currency","2018/04/12",132.13
"Currency","2018/04/11",131.98
"Currency","2018/04/10",133.20
"Currency","2018/04/09",131.73
"Currency","2018/04/06",131.73
"Currency","2018/04/05",131.60
"Currency","2018/04/04",131.57
"Currency","2018/04/03",131.58
"Currency","2018/04/02",131.75
"Currency","2018/03/30",131.75
"Currency","2018/03/29",131.40
"Currency","2018/03/28",131.35
"Currency","2018/03/27",131.29
"Currency","2018/03/26",131.10
"Currency","2018/03/23",131.11
"Currency","2018/03/22",131.11
"Currency","2018/03/21",131.05
"Currency","2018/03/20",132.37
"Currency","2018/03/19",131.04
"Currency","2018/03/16",130.96
"Currency","2018/03/15",130.89
"Currency","2018/03/14",130.89
"Currency","2018/03/13",130.89
"Currency","2018/03/12",130.66
"Currency","2018/03/09",130.66
"Currency","2018/03/08",130.66
"Currency","2018/03/07",130.61
"Currency","2018/03/06",130.47
"Currency","2018/03/05",130.64
"Currency","2018/03/02",130.30
"Currency","2018/03/01",130.13
"Currency","2018/02/28",130.07
"Currency","2018/02/27",130.01
"Currency","2018/02/26",130.10
"Currency","2018/02/23",129.70
"Currency","2018/02/22",129.28
"Currency","2018/02/21",128.19
"Currency","2018/02/20",128.08
"Currency","2018/02/19",128.18
"Currency","2018/02/16",127.51
"Currency","2018/02/15",126.26
"Currency","2018/02/14",125.95
