"Indicator","Time","Value (USD/MWK)"
"Currency","2018/06/08",713.44
"Currency","2018/06/07",713.44
"Currency","2018/06/06",713.42
"Currency","2018/06/05",713.45
"Currency","2018/06/04",716.10
"Currency","2018/06/01",713.43
"Currency","2018/05/31",713.21
"Currency","2018/05/30",713.45
"Currency","2018/05/29",713.45
"Currency","2018/05/28",713.45
"Currency","2018/05/25",713.44
"Currency","2018/05/24",716.10
"Currency","2018/05/23",713.44
"Currency","2018/05/22",714.33
"Currency","2018/05/21",710.00
"Currency","2018/05/18",713.45
"Currency","2018/05/17",715.30
"Currency","2018/05/16",713.43
"Currency","2018/05/15",713.81
"Currency","2018/05/14",713.45
"Currency","2018/05/11",713.69
"Currency","2018/05/10",713.45
"Currency","2018/05/09",716.84
"Currency","2018/05/08",713.44
"Currency","2018/05/07",713.44
"Currency","2018/05/04",713.44
"Currency","2018/05/03",711.00
"Currency","2018/05/02",715.76
"Currency","2018/05/01",713.45
"Currency","2018/04/30",713.45
"Currency","2018/04/27",717.28
"Currency","2018/04/26",718.27
"Currency","2018/04/25",718.00
"Currency","2018/04/24",713.45
"Currency","2018/04/23",713.42
"Currency","2018/04/20",715.30
"Currency","2018/04/19",713.40
"Currency","2018/04/18",713.43
"Currency","2018/04/17",713.44
"Currency","2018/04/16",713.44
"Currency","2018/04/13",713.44
"Currency","2018/04/12",716.97
"Currency","2018/04/11",713.44
"Currency","2018/04/10",713.44
"Currency","2018/04/09",713.44
"Currency","2018/04/06",715.96
"Currency","2018/04/05",717.28
"Currency","2018/04/04",713.44
"Currency","2018/04/03",713.44
"Currency","2018/04/02",715.84
"Currency","2018/03/30",713.44
"Currency","2018/03/29",711.00
"Currency","2018/03/28",713.42
"Currency","2018/03/27",713.48
"Currency","2018/03/26",713.44
"Currency","2018/03/23",713.40
"Currency","2018/03/22",714.89
"Currency","2018/03/21",713.44
"Currency","2018/03/20",713.44
"Currency","2018/03/19",713.44
"Currency","2018/03/16",714.18
"Currency","2018/03/15",713.45
"Currency","2018/03/14",713.42
"Currency","2018/03/13",713.45
"Currency","2018/03/12",713.45
"Currency","2018/03/09",713.40
"Currency","2018/03/08",713.40
"Currency","2018/03/07",713.42
"Currency","2018/03/06",713.48
"Currency","2018/03/05",713.44
"Currency","2018/03/02",713.48
"Currency","2018/03/01",713.44
"Currency","2018/02/28",713.44
"Currency","2018/02/27",713.44
"Currency","2018/02/26",713.44
"Currency","2018/02/23",715.00
"Currency","2018/02/22",716.23
"Currency","2018/02/21",713.44
"Currency","2018/02/20",713.44
"Currency","2018/02/19",713.44
"Currency","2018/02/16",713.44
"Currency","2018/02/15",714.68
