"Indicator","Time","Value (USD/PKR)"
"Currency","2018/06/09",115.56
"Currency","2018/06/08",114.97
"Currency","2018/06/07",115.56
"Currency","2018/06/06",115.56
"Currency","2018/06/05",115.56
"Currency","2018/06/04",115.56
"Currency","2018/06/02",115.57
"Currency","2018/06/01",115.57
"Currency","2018/05/31",115.55
"Currency","2018/05/30",115.41
"Currency","2018/05/29",115.40
"Currency","2018/05/28",115.55
"Currency","2018/05/27",115.40
"Currency","2018/05/26",115.40
"Currency","2018/05/25",115.55
"Currency","2018/05/24",115.55
"Currency","2018/05/23",115.55
"Currency","2018/05/22",114.74
"Currency","2018/05/21",115.55
"Currency","2018/05/20",115.56
"Currency","2018/05/19",115.56
"Currency","2018/05/18",115.56
"Currency","2018/05/17",115.56
"Currency","2018/05/16",115.56
"Currency","2018/05/15",115.55
"Currency","2018/05/14",115.52
"Currency","2018/05/13",115.56
"Currency","2018/05/12",115.40
"Currency","2018/05/11",115.56
"Currency","2018/05/10",115.56
"Currency","2018/05/09",115.55
"Currency","2018/05/08",115.55
"Currency","2018/05/07",115.55
"Currency","2018/05/06",115.55
"Currency","2018/05/05",115.55
"Currency","2018/05/04",115.55
"Currency","2018/05/03",115.55
"Currency","2018/05/02",115.56
"Currency","2018/05/01",115.54
"Currency","2018/04/30",115.54
"Currency","2018/04/29",115.55
"Currency","2018/04/28",115.55
"Currency","2018/04/27",115.55
"Currency","2018/04/26",115.55
"Currency","2018/04/25",114.96
"Currency","2018/04/24",115.54
"Currency","2018/04/23",115.54
"Currency","2018/04/22",115.55
"Currency","2018/04/21",115.55
"Currency","2018/04/20",115.55
"Currency","2018/04/19",115.56
"Currency","2018/04/18",115.56
"Currency","2018/04/17",115.55
"Currency","2018/04/16",115.55
"Currency","2018/04/15",115.55
"Currency","2018/04/14",115.55
"Currency","2018/04/13",115.55
"Currency","2018/04/12",115.54
"Currency","2018/04/11",115.52
"Currency","2018/04/10",115.56
"Currency","2018/04/09",115.52
"Currency","2018/04/08",115.56
"Currency","2018/04/07",115.56
"Currency","2018/04/06",115.56
"Currency","2018/04/05",115.56
"Currency","2018/04/04",115.45
"Currency","2018/04/03",115.45
"Currency","2018/04/02",115.45
"Currency","2018/04/01",115.42
"Currency","2018/03/31",115.42
"Currency","2018/03/30",115.42
"Currency","2018/03/29",115.40
"Currency","2018/03/28",115.40
