"Indicator","Time","Value (USD/TZS)"
"Currency","2018/06/08",2273.00
"Currency","2018/06/07",2270.00
"Currency","2018/06/06",2274.00
"Currency","2018/06/05",2277.00
"Currency","2018/06/04",2275.00
"Currency","2018/06/01",2277.00
"Currency","2018/05/31",2277.00
"Currency","2018/05/30",2276.00
"Currency","2018/05/29",2276.00
"Currency","2018/05/28",2277.00
"Currency","2018/05/25",2278.00
"Currency","2018/05/24",2277.00
"Currency","2018/05/23",2276.00
"Currency","2018/05/22",2277.00
"Currency","2018/05/21",2276.00
"Currency","2018/05/18",2275.00
"Currency","2018/05/17",2277.00
"Currency","2018/05/16",2277.00
"Currency","2018/05/15",2278.00
"Currency","2018/05/14",2278.00
"Currency","2018/05/11",2277.00
"Currency","2018/05/10",2278.00
"Currency","2018/05/09",2276.00
"Currency","2018/05/08",2277.00
"Currency","2018/05/07",2278.00
"Currency","2018/05/04",2278.00
"Currency","2018/05/03",2278.00
"Currency","2018/05/02",2279.00
"Currency","2018/05/01",2278.00
"Currency","2018/04/30",2278.00
"Currency","2018/04/27",2278.00
"Currency","2018/04/26",2278.00
"Currency","2018/04/25",2278.00
"Currency","2018/04/24",2285.00
"Currency","2018/04/23",2279.00
"Currency","2018/04/20",2278.00
"Currency","2018/04/19",2287.00
"Currency","2018/04/18",2282.00
"Currency","2018/04/17",2265.00
"Currency","2018/04/16",2265.00
"Currency","2018/04/13",2268.00
"Currency","2018/04/12",2261.00
"Currency","2018/04/11",2256.00
"Currency","2018/04/10",2261.00
"Currency","2018/04/09",2261.00
"Currency","2018/04/06",2255.00
"Currency","2018/04/05",2260.00
"Currency","2018/04/04",2260.00
"Currency","2018/04/03",2260.00
"Currency","2018/04/02",2253.00
"Currency","2018/03/30",2253.00
"Currency","2018/03/29",2254.00
"Currency","2018/03/28",2252.00
"Currency","2018/03/27",2260.00
"Currency","2018/03/26",2260.00
"Currency","2018/03/23",2254.00
"Currency","2018/03/22",2260.00
"Currency","2018/03/21",2252.00
"Currency","2018/03/20",2260.00
"Currency","2018/03/19",2252.00
"Currency","2018/03/16",2250.00
"Currency","2018/03/15",2251.00
"Currency","2018/03/14",2258.00
"Currency","2018/03/13",2250.00
"Currency","2018/03/12",2256.00
"Currency","2018/03/09",2250.00
"Currency","2018/03/08",2250.00
"Currency","2018/03/07",2249.00
"Currency","2018/03/06",2257.00
"Currency","2018/03/05",2247.00
"Currency","2018/03/02",2255.00
"Currency","2018/03/01",2248.00
"Currency","2018/02/28",2247.00
"Currency","2018/02/27",2246.00
"Currency","2018/02/26",2247.00
"Currency","2018/02/23",2248.00
"Currency","2018/02/22",2247.00
"Currency","2018/02/21",2248.00
"Currency","2018/02/20",2248.00
"Currency","2018/02/19",2246.00
"Currency","2018/02/16",2248.00
"Currency","2018/02/15",2247.00
"Currency","2018/02/14",2250.00
"Currency","2018/02/13",2248.00
"Currency","2018/02/12",2250.00
"Currency","2018/02/09",2250.00
"Currency","2018/02/08",2253.00
"Currency","2018/02/07",2247.00
"Currency","2018/02/06",2246.00
"Currency","2018/02/05",2244.00
"Currency","2018/02/02",2243.00
"Currency","2018/02/01",2250.80
"Currency","2018/01/31",2242.00
"Currency","2018/01/30",2249.00
"Currency","2018/01/29",2247.00
"Currency","2018/01/26",2245.00
"Currency","2018/01/25",2247.00
"Currency","2018/01/24",2247.00
"Currency","2018/01/23",2243.00
"Currency","2018/01/22",2243.00
"Currency","2018/01/19",2243.00
"Currency","2018/01/18",2242.00
"Currency","2018/01/17",2246.00
"Currency","2018/01/16",2237.00
"Currency","2018/01/15",2236.00
"Currency","2018/01/12",2241.00
"Currency","2018/01/11",2237.00
"Currency","2018/01/10",2235.00
"Currency","2018/01/09",2240.00
"Currency","2018/01/08",2234.00
"Currency","2018/01/05",2240.00
"Currency","2018/01/04",2240.00
"Currency","2018/01/03",2240.00
"Currency","2018/01/02",2240.00
"Currency","2017/12/29",2235.00
"Currency","2017/12/28",2235.00
"Currency","2017/12/27",2235.00
"Currency","2017/12/26",2232.00
"Currency","2017/12/25",2232.00
"Currency","2017/12/22",2232.00
"Currency","2017/12/21",2235.00
"Currency","2017/12/20",2235.00
"Currency","2017/12/19",2234.00
"Currency","2017/12/18",2233.00
"Currency","2017/12/15",2234.00
"Currency","2017/12/14",2235.00
"Currency","2017/12/13",2234.00
