"Indicator","Time","Value (USD/YER)"
"Currency","2018/06/08",249.90
"Currency","2018/06/07",249.90
"Currency","2018/06/06",249.98
"Currency","2018/06/05",249.90
"Currency","2018/06/04",249.65
"Currency","2018/06/01",249.90
"Currency","2018/05/31",249.80
"Currency","2018/05/30",249.95
"Currency","2018/05/29",249.95
"Currency","2018/05/28",249.90
"Currency","2018/05/25",249.95
"Currency","2018/05/24",249.72
"Currency","2018/05/23",249.95
"Currency","2018/05/22",249.90
"Currency","2018/05/21",249.90
"Currency","2018/05/18",249.85
"Currency","2018/05/17",249.95
"Currency","2018/05/16",249.95
"Currency","2018/05/15",249.70
"Currency","2018/05/14",249.95
"Currency","2018/05/11",249.58
"Currency","2018/05/10",249.95
"Currency","2018/05/09",249.90
"Currency","2018/05/08",249.90
"Currency","2018/05/07",249.90
"Currency","2018/05/04",249.95
"Currency","2018/05/03",249.75
"Currency","2018/05/02",249.85
"Currency","2018/05/01",249.95
"Currency","2018/04/30",249.95
"Currency","2018/04/27",249.70
"Currency","2018/04/26",249.54
"Currency","2018/04/25",249.90
"Currency","2018/04/24",249.95
"Currency","2018/04/23",249.95
"Currency","2018/04/20",249.95
"Currency","2018/04/19",249.90
"Currency","2018/04/18",249.90
"Currency","2018/04/17",249.90
"Currency","2018/04/16",249.90
"Currency","2018/04/13",249.90
"Currency","2018/04/12",249.52
"Currency","2018/04/11",249.90
"Currency","2018/04/10",249.90
"Currency","2018/04/09",249.90
"Currency","2018/04/06",249.90
"Currency","2018/04/05",249.54
"Currency","2018/04/04",249.90
"Currency","2018/04/03",249.90
"Currency","2018/04/02",249.90
"Currency","2018/03/30",249.90
"Currency","2018/03/29",249.80
"Currency","2018/03/28",249.95
"Currency","2018/03/27",249.95
"Currency","2018/03/26",249.95
"Currency","2018/03/23",249.95
"Currency","2018/03/22",249.65
"Currency","2018/03/21",249.95
"Currency","2018/03/20",249.95
"Currency","2018/03/19",249.95
"Currency","2018/03/16",249.55
"Currency","2018/03/15",249.90
"Currency","2018/03/14",249.90
"Currency","2018/03/13",249.90
"Currency","2018/03/12",249.90
"Currency","2018/03/09",249.90
"Currency","2018/03/08",249.90
"Currency","2018/03/07",249.90
"Currency","2018/03/06",249.90
"Currency","2018/03/05",249.65
"Currency","2018/03/02",249.90
"Currency","2018/03/01",249.90
"Currency","2018/02/28",249.90
"Currency","2018/02/27",249.90
"Currency","2018/02/26",250.00
"Currency","2018/02/23",249.80
"Currency","2018/02/22",249.45
"Currency","2018/02/21",249.95
"Currency","2018/02/20",250.00
"Currency","2018/02/19",250.00
"Currency","2018/02/16",250.00
"Currency","2018/02/15",249.70
"Currency","2018/02/14",249.95
"Currency","2018/02/13",249.70
"Currency","2018/02/12",249.90
"Currency","2018/02/09",250.00
"Currency","2018/02/08",250.00
"Currency","2018/02/07",250.00
"Currency","2018/02/06",250.00
"Currency","2018/02/05",250.00
"Currency","2018/02/02",249.90
"Currency","2018/02/01",250.00
"Currency","2018/01/31",250.00
"Currency","2018/01/30",249.75
"Currency","2018/01/29",250.00
"Currency","2018/01/26",250.00
"Currency","2018/01/25",249.95
"Currency","2018/01/24",249.85
"Currency","2018/01/23",249.50
"Currency","2018/01/22",250.00
"Currency","2018/01/19",250.00
"Currency","2018/01/18",249.95
"Currency","2018/01/17",249.00
