,Unnamed: 0,country,product,currency,unit,month,year,avg_price
0,0,Afghanistan,Bread,AFN,KG,1,2014,41.904062499999995
1,1,Afghanistan,Bread,AFN,KG,2,2014,41.92125
2,2,Afghanistan,Bread,AFN,KG,3,2014,42.0665625
3,3,Afghanistan,Bread,AFN,KG,4,2014,42.521249999999995
4,4,Afghanistan,Bread,AFN,KG,5,2014,42.9025
5,5,Afghanistan,Bread,AFN,KG,6,2014,43.2525
6,6,Afghanistan,Bread,AFN,KG,7,2014,43.2525
7,7,Afghanistan,Bread,AFN,KG,8,2014,43.2525
8,8,Afghanistan,Bread,AFN,KG,9,2014,43.2525
9,9,Afghanistan,Bread,AFN,KG,10,2014,43.2525
10,10,Afghanistan,Bread,AFN,KG,11,2014,43.2525
11,11,Afghanistan,Bread,AFN,KG,12,2014,43.2525
12,12,Afghanistan,Bread,AFN,KG,1,2015,43.774375000000006
13,13,Afghanistan,Bread,AFN,KG,2,2015,45.34
14,14,Afghanistan,Bread,AFN,KG,3,2015,45.34
15,15,Afghanistan,Bread,AFN,KG,4,2015,UNKNOWN
16,16,Afghanistan,Bread,AFN,KG,5,2015,UNKNOWN
17,17,Afghanistan,Bread,AFN,KG,6,2015,44.55625
18,18,Afghanistan,Bread,AFN,KG,7,2015,45.0275
19,19,Afghanistan,Bread,AFN,KG,8,2015,44.3275
20,20,Afghanistan,Bread,AFN,KG,9,2015,44.387499999999996
21,21,Afghanistan,Bread,AFN,KG,10,2015,45.35875
22,22,Afghanistan,Bread,AFN,KG,11,2015,46.48375
23,23,Afghanistan,Bread,AFN,KG,12,2015,45.265
24,24,Afghanistan,Bread,AFN,KG,1,2016,45.265
25,25,Afghanistan,Bread,AFN,KG,2,2016,45.265
26,26,Afghanistan,Bread,AFN,KG,3,2016,45.265
27,27,Afghanistan,Bread,AFN,KG,4,2016,44.5775
28,28,Afghanistan,Bread,AFN,KG,5,2016,44.5775
29,29,Afghanistan,Bread,AFN,KG,6,2016,44.5775
30,30,Afghanistan,Bread,AFN,KG,7,2016,44.5775
31,31,Afghanistan,Bread,AFN,KG,8,2016,44.5775
32,32,Afghanistan,Bread,AFN,KG,9,2016,44.5775
33,33,Afghanistan,Bread,AFN,KG,10,2016,44.5775
34,34,Afghanistan,Bread,AFN,KG,11,2016,44.5775
35,35,Afghanistan,Bread,AFN,KG,12,2016,44.5775
36,36,Afghanistan,Bread,AFN,KG,1,2017,44.5775
37,37,Afghanistan,Bread,AFN,KG,2,2017,44.5775
38,38,Afghanistan,Bread,AFN,KG,3,2017,44.5775
39,39,Afghanistan,Bread,AFN,KG,4,2017,44.5275
40,40,Afghanistan,Bread,AFN,KG,5,2017,44.5775
41,41,Afghanistan,Bread,AFN,KG,6,2017,44.5775
42,42,Afghanistan,Bread,AFN,KG,7,2017,44.39
43,43,Afghanistan,Bread,AFN,KG,8,2017,44.3275
44,44,Afghanistan,Bread,AFN,KG,9,2017,44.3275
45,45,Afghanistan,Bread,AFN,KG,10,2017,44.3275
46,46,Afghanistan,Bread,AFN,KG,11,2017,UNKNOWN
47,47,Afghanistan,Bread,AFN,KG,12,2017,UNKNOWN
48,48,Afghanistan,Exchange rate,AFN,KG,1,2014,UNKNOWN
49,49,Afghanistan,Exchange rate,AFN,KG,2,2014,57.709375
50,50,Afghanistan,Exchange rate,AFN,KG,3,2014,UNKNOWN
51,51,Afghanistan,Exchange rate,AFN,KG,4,2014,UNKNOWN
52,52,Afghanistan,Exchange rate,AFN,KG,5,2014,UNKNOWN
