"Indicator","Time","Value (USD/IRR)"
"Currency","2018/06/09",42190.00
"Currency","2018/06/07",42190.00
"Currency","2018/06/06",42165.00
"Currency","2018/06/05",42165.00
"Currency","2018/06/04",42165.00
"Currency","2018/06/03",42155.00
"Currency","2018/06/02",42155.00
"Currency","2018/05/31",42155.00
"Currency","2018/05/30",42143.00
"Currency","2018/05/29",42135.00
"Currency","2018/05/28",42125.00
"Currency","2018/05/27",42090.00
"Currency","2018/05/26",42090.00
"Currency","2018/05/24",42090.00
"Currency","2018/05/23",42080.00
"Currency","2018/05/21",42050.00
"Currency","2018/05/20",42000.00
"Currency","2018/05/19",42000.00
"Currency","2018/05/18",42000.00
"Currency","2018/05/17",42000.00
"Currency","2018/05/16",42000.00
"Currency","2018/05/15",42000.00
"Currency","2018/05/14",42000.00
"Currency","2018/05/13",42000.00
"Currency","2018/05/12",42000.00
"Currency","2018/05/11",42000.00
"Currency","2018/05/10",42000.00
"Currency","2018/05/09",42000.00
"Currency","2018/05/08",42000.00
"Currency","2018/05/07",42000.00
"Currency","2018/05/06",42000.00
"Currency","2018/05/05",42000.00
"Currency","2018/05/04",42000.00
"Currency","2018/05/03",42000.00
"Currency","2018/05/02",42000.00
"Currency","2018/05/01",42000.00
"Currency","2018/04/30",42000.00
"Currency","2018/04/29",42000.00
"Currency","2018/04/28",42000.00
"Currency","2018/04/27",42000.00
"Currency","2018/04/26",42000.00
"Currency","2018/04/25",42000.00
"Currency","2018/04/24",42000.00
"Currency","2018/04/23",42000.00
"Currency","2018/04/22",42000.00
"Currency","2018/04/21",42000.00
"Currency","2018/04/20",42000.00
"Currency","2018/04/19",42000.00
"Currency","2018/04/18",42000.00
"Currency","2018/04/17",42000.00
"Currency","2018/04/16",42000.00
"Currency","2018/04/15",42000.00
"Currency","2018/04/14",42000.00
"Currency","2018/04/13",42000.00
"Currency","2018/04/12",42000.00
"Currency","2018/04/11",42000.00
"Currency","2018/04/10",42000.00
"Currency","2018/04/09",37830.00
"Currency","2018/04/08",37819.00
"Currency","2018/04/07",37819.00
"Currency","2018/04/06",37819.00
"Currency","2018/04/05",37819.00
"Currency","2018/04/04",37820.00
"Currency","2018/04/03",37776.00
"Currency","2018/04/02",37743.00
"Currency","2018/04/01",37743.00
"Currency","2018/03/31",37743.00
"Currency","2018/03/30",37743.00
"Currency","2018/03/29",37743.00
"Currency","2018/03/28",37694.00
"Currency","2018/03/27",37685.00
"Currency","2018/03/26",37686.00
"Currency","2018/03/25",37690.00
"Currency","2018/03/24",37690.00
"Currency","2018/03/23",37690.00
"Currency","2018/03/22",37690.00
"Currency","2018/03/21",37690.00
"Currency","2018/03/20",37690.00
"Currency","2018/03/19",37690.00
"Currency","2018/03/18",37693.00
"Currency","2018/03/17",37693.00
"Currency","2018/03/16",37693.00
"Currency","2018/03/15",37693.00
"Currency","2018/03/14",37695.00
"Currency","2018/03/13",37610.00
"Currency","2018/03/12",37534.00
"Currency","2018/03/11",37440.00
"Currency","2018/03/10",37440.00
"Currency","2018/03/09",37440.00
"Currency","2018/03/08",37440.00
"Currency","2018/03/07",37415.00
"Currency","2018/03/06",37383.00
"Currency","2018/03/05",37350.00
"Currency","2018/03/04",37330.00
"Currency","2018/03/03",37330.00
"Currency","2018/03/02",37330.00
"Currency","2018/03/01",37330.00
"Currency","2018/02/28",37299.00
"Currency","2018/02/27",37264.00
"Currency","2018/02/26",37235.00
"Currency","2018/02/25",37210.00
"Currency","2018/02/24",37210.00
"Currency","2018/02/23",37210.00
"Currency","2018/02/22",37210.00
"Currency","2018/02/21",37175.00
"Currency","2018/02/20",37150.00
"Currency","2018/02/19",37150.00
"Currency","2018/02/18",37054.00
"Currency","2018/02/17",37054.00
"Currency","2018/02/16",37054.00
"Currency","2018/02/15",37054.00
"Currency","2018/02/14",37054.00
"Currency","2018/02/13",36998.00
"Currency","2018/02/12",36998.00
"Currency","2018/02/11",36955.00
"Currency","2018/02/10",36955.00
"Currency","2018/02/09",36955.00
"Currency","2018/02/08",36955.00
"Currency","2018/02/07",36954.00
"Currency","2018/02/06",36948.00
"Currency","2018/02/05",36948.00
"Currency","2018/02/04",36952.00
"Currency","2018/02/03",36952.00
"Currency","2018/02/02",36952.00
"Currency","2018/02/01",36952.00
"Currency","2018/01/31",36952.00
"Currency","2018/01/30",36905.00
"Currency","2018/01/29",36898.00
"Currency","2018/01/28",36775.00
"Currency","2018/01/27",36775.00
"Currency","2018/01/26",36775.00
"Currency","2018/01/25",36775.00
"Currency","2018/01/24",36721.00
"Currency","2018/01/23",36670.00
"Currency","2018/01/22",36635.00
"Currency","2018/01/21",36609.00
"Currency","2018/01/20",36609.00
"Currency","2018/01/19",36609.00
"Currency","2018/01/18",36609.00
"Currency","2018/01/17",36554.00
"Currency","2018/01/16",36559.00
"Currency","2018/01/15",36511.00
"Currency","2018/01/14",36374.00
"Currency","2018/01/13",36374.00
"Currency","2018/01/12",36374.00
"Currency","2018/01/11",36374.00
"Currency","2018/01/10",36289.00
"Currency","2018/01/09",36219.00
"Currency","2018/01/08",36129.00
"Currency","2018/01/07",36091.00
"Currency","2018/01/06",36091.00
"Currency","2018/01/05",36091.00
"Currency","2018/01/04",36091.00
"Currency","2018/01/03",36056.00
"Currency","2018/01/02",36057.00
"Currency","2017/12/31",36074.00
"Currency","2017/12/29",36074.00
"Currency","2017/12/28",36074.00
"Currency","2017/12/27",36039.00
"Currency","2017/12/26",35998.00
"Currency","2017/12/24",35859.00
"Currency","2017/12/22",35859.00
"Currency","2017/12/21",35859.00
"Currency","2017/12/20",35760.00
