"Indicator","Time","Value (USD/LSL)"
"Currency","2018/06/08",13.06
"Currency","2018/06/07",13.01
"Currency","2018/06/06",12.70
"Currency","2018/06/05",12.76
"Currency","2018/06/04",12.56
"Currency","2018/06/01",12.68
"Currency","2018/05/31",12.69
"Currency","2018/05/30",12.51
"Currency","2018/05/29",12.69
"Currency","2018/05/28",12.46
"Currency","2018/05/25",12.48
"Currency","2018/05/24",12.41
"Currency","2018/05/23",12.45
"Currency","2018/05/22",12.56
"Currency","2018/05/21",12.66
"Currency","2018/05/18",12.75
"Currency","2018/05/17",12.60
"Currency","2018/05/16",12.43
"Currency","2018/05/15",12.57
"Currency","2018/05/14",12.33
"Currency","2018/05/11",12.23
"Currency","2018/05/10",12.29
"Currency","2018/05/09",12.55
"Currency","2018/05/08",12.56
"Currency","2018/05/07",12.53
"Currency","2018/05/04",12.49
"Currency","2018/05/03",12.57
"Currency","2018/05/02",12.70
"Currency","2018/05/01",12.65
"Currency","2018/04/30",12.44
"Currency","2018/04/27",12.32
"Currency","2018/04/26",12.40
"Currency","2018/04/25",12.43
"Currency","2018/04/24",12.32
"Currency","2018/04/23",12.34
"Currency","2018/04/20",12.10
"Currency","2018/04/19",11.95
"Currency","2018/04/18",11.93
"Currency","2018/04/17",11.98
"Currency","2018/04/16",12.05
"Currency","2018/04/13",12.07
"Currency","2018/04/12",12.05
"Currency","2018/04/11",11.94
"Currency","2018/04/10",12.03
"Currency","2018/04/09",12.08
"Currency","2018/04/06",12.02
"Currency","2018/04/05",11.97
"Currency","2018/04/04",11.86
"Currency","2018/04/03",11.82
"Currency","2018/04/02",11.82
"Currency","2018/03/30",11.81
"Currency","2018/03/29",11.84
"Currency","2018/03/28",11.77
"Currency","2018/03/27",11.67
"Currency","2018/03/26",11.63
"Currency","2018/03/23",11.72
"Currency","2018/03/22",11.85
"Currency","2018/03/21",11.81
"Currency","2018/03/20",11.94
"Currency","2018/03/19",12.01
"Currency","2018/03/16",11.97
"Currency","2018/03/15",11.89
"Currency","2018/03/14",11.76
"Currency","2018/03/13",11.81
"Currency","2018/03/12",11.82
"Currency","2018/03/09",11.81
"Currency","2018/03/08",11.90
"Currency","2018/03/07",11.83
"Currency","2018/03/06",11.77
"Currency","2018/03/05",11.83
"Currency","2018/03/02",11.91
"Currency","2018/03/01",11.86
"Currency","2018/02/28",11.79
"Currency","2018/02/27",11.72
"Currency","2018/02/26",11.55
"Currency","2018/02/23",11.53
"Currency","2018/02/22",11.64
"Currency","2018/02/21",11.66
"Currency","2018/02/20",11.73
"Currency","2018/02/19",11.66
"Currency","2018/02/16",11.63
"Currency","2018/02/15",11.60
"Currency","2018/02/14",11.72
"Currency","2018/02/13",11.95
"Currency","2018/02/12",11.93
"Currency","2018/02/09",12.02
"Currency","2018/02/08",12.16
"Currency","2018/02/07",12.05
"Currency","2018/02/06",11.91
"Currency","2018/02/05",12.13
"Currency","2018/02/02",12.07
"Currency","2018/02/01",11.83
"Currency","2018/01/31",11.84
"Currency","2018/01/30",11.95
"Currency","2018/01/29",11.90
"Currency","2018/01/26",11.87
"Currency","2018/01/25",11.89
"Currency","2018/01/24",11.85
"Currency","2018/01/23",12.04
"Currency","2018/01/22",12.05
"Currency","2018/01/19",12.25
"Currency","2018/01/18",12.13
"Currency","2018/01/17",12.29
"Currency","2018/01/16",12.25
"Currency","2018/01/15",12.30
"Currency","2018/01/12",12.37
"Currency","2018/01/11",12.38
"Currency","2018/01/10",12.42
"Currency","2018/01/09",12.33
"Currency","2018/01/08",12.38
"Currency","2018/01/05",12.30
"Currency","2018/01/04",12.29
"Currency","2018/01/03",12.36
"Currency","2018/01/02",12.46
"Currency","2017/12/29",12.40
"Currency","2017/12/28",12.40
"Currency","2017/12/27",12.26
"Currency","2017/12/26",12.50
"Currency","2017/12/25",12.62
"Currency","2017/12/22",12.59
"Currency","2017/12/21",12.75
"Currency","2017/12/20",12.74
"Currency","2017/12/19",12.69
"Currency","2017/12/18",12.73
"Currency","2017/12/15",13.20
"Currency","2017/12/14",13.49
"Currency","2017/12/13",13.50
"Currency","2017/12/12",13.65
"Currency","2017/12/11",13.60
"Currency","2017/12/08",13.65
"Currency","2017/12/07",13.72
"Currency","2017/12/06",13.50
"Currency","2017/12/05",13.44
"Currency","2017/12/04",13.51
"Currency","2017/12/01",13.69
"Currency","2017/11/30",13.69
"Currency","2017/11/29",13.68
"Currency","2017/11/28",13.66
"Currency","2017/11/27",13.75
"Currency","2017/11/24",13.88
"Currency","2017/11/23",13.88
"Currency","2017/11/22",13.82
"Currency","2017/11/21",13.97
"Currency","2017/11/20",14.04
"Currency","2017/11/17",13.96
"Currency","2017/11/16",14.14
"Currency","2017/11/15",14.39
"Currency","2017/11/14",14.35
"Currency","2017/11/13",14.46
"Currency","2017/11/10",14.36
"Currency","2017/11/09",14.23
"Currency","2017/11/08",14.15
"Currency","2017/11/07",14.22
"Currency","2017/11/06",14.10
"Currency","2017/11/03",14.21
"Currency","2017/11/02",13.97
"Currency","2017/11/01",14.06
"Currency","2017/10/31",14.12
"Currency","2017/10/30",14.07
"Currency","2017/10/27",14.12
"Currency","2017/10/26",14.22
"Currency","2017/10/25",13.99
"Currency","2017/10/24",13.75
"Currency","2017/10/23",13.75
"Currency","2017/10/21",13.65
"Currency","2017/10/20",13.65
"Currency","2017/10/19",13.59
"Currency","2017/10/18",13.56
"Currency","2017/10/17",13.40
"Currency","2017/10/16",13.33
"Currency","2017/10/13",13.27
"Currency","2017/10/12",13.41
"Currency","2017/10/11",13.68
"Currency","2017/10/10",13.68
"Currency","2017/10/09",13.74
"Currency","2017/10/07",13.70
"Currency","2017/10/06",13.70
"Currency","2017/10/05",13.69
"Currency","2017/10/04",13.57
"Currency","2017/10/03",13.67
"Currency","2017/10/02",13.61
"Currency","2017/09/30",13.55
"Currency","2017/09/29",13.55
"Currency","2017/09/28",13.52
"Currency","2017/09/27",13.56
"Currency","2017/09/26",13.38
"Currency","2017/09/25",13.32
"Currency","2017/09/22",13.23
"Currency","2017/09/21",13.26
"Currency","2017/09/20",13.32
"Currency","2017/09/19",13.31
"Currency","2017/09/18",13.27
"Currency","2017/09/16",13.18
"Currency","2017/09/15",13.18
"Currency","2017/09/14",13.11
"Currency","2017/09/13",13.13
"Currency","2017/09/12",13.01
"Currency","2017/09/11",12.96
"Currency","2017/09/08",12.91
"Currency","2017/09/07",12.86
"Currency","2017/09/06",12.79
"Currency","2017/09/05",12.90
