"Indicator","Time","Value (USD/MGA)"
"Currency","2018/06/08",3370.00
"Currency","2018/06/07",3365.00
"Currency","2018/06/06",3314.00
"Currency","2018/06/05",3302.38
"Currency","2018/06/04",3342.00
"Currency","2018/06/01",3340.00
"Currency","2018/05/31",3320.00
"Currency","2018/05/30",3284.00
"Currency","2018/05/29",3303.38
"Currency","2018/05/28",3280.00
"Currency","2018/05/25",3270.00
"Currency","2018/05/24",3255.00
"Currency","2018/05/23",3250.23
"Currency","2018/05/22",3197.08
"Currency","2018/05/21",3240.00
"Currency","2018/05/18",3240.00
"Currency","2018/05/17",3240.00
"Currency","2018/05/16",3236.76
"Currency","2018/05/15",3193.80
"Currency","2018/05/14",3196.80
"Currency","2018/05/11",3216.78
"Currency","2018/05/10",3240.00
"Currency","2018/05/09",3240.00
"Currency","2018/05/08",3235.00
"Currency","2018/05/07",3210.00
"Currency","2018/05/04",3235.00
"Currency","2018/05/03",3235.00
"Currency","2018/05/02",3235.00
"Currency","2018/05/01",3225.00
"Currency","2018/04/30",3221.78
"Currency","2018/04/27",3230.00
"Currency","2018/04/26",3210.00
"Currency","2018/04/25",3210.00
"Currency","2018/04/24",3212.00
"Currency","2018/04/23",3200.80
"Currency","2018/04/20",3202.00
"Currency","2018/04/19",3205.00
"Currency","2018/04/18",3205.00
"Currency","2018/04/17",3175.00
"Currency","2018/04/16",3209.00
"Currency","2018/04/13",3210.00
"Currency","2018/04/12",3207.00
"Currency","2018/04/11",3205.00
"Currency","2018/04/10",3200.00
"Currency","2018/04/09",3214.00
"Currency","2018/04/06",3220.00
"Currency","2018/04/05",3230.00
"Currency","2018/04/04",3228.00
"Currency","2018/04/03",3215.00
"Currency","2018/04/02",3213.00
"Currency","2018/03/30",3213.00
"Currency","2018/03/29",3213.00
"Currency","2018/03/28",3213.00
"Currency","2018/03/27",3205.00
"Currency","2018/03/26",3170.00
"Currency","2018/03/23",3200.00
"Currency","2018/03/22",3190.00
"Currency","2018/03/21",3196.00
"Currency","2018/03/20",3151.84
"Currency","2018/03/19",3140.00
"Currency","2018/03/16",3125.00
