"Indicator","Time","Value (USD/MRO)"
"Currency","2018/06/09",355.00
"Currency","2018/06/08",355.00
"Currency","2018/06/07",355.00
"Currency","2018/06/06",353.60
"Currency","2018/06/05",355.00
"Currency","2018/06/04",354.35
"Currency","2018/06/02",355.00
"Currency","2018/06/01",355.00
"Currency","2018/05/31",355.00
"Currency","2018/05/30",355.00
"Currency","2018/05/29",355.00
"Currency","2018/05/28",353.60
"Currency","2018/05/26",355.00
"Currency","2018/05/25",355.00
"Currency","2018/05/24",354.00
"Currency","2018/05/23",355.00
"Currency","2018/05/22",355.00
"Currency","2018/05/21",355.00
"Currency","2018/05/19",355.00
"Currency","2018/05/18",355.00
"Currency","2018/05/17",355.00
"Currency","2018/05/16",355.00
"Currency","2018/05/15",355.00
"Currency","2018/05/14",355.00
"Currency","2018/05/11",355.00
"Currency","2018/05/10",355.00
"Currency","2018/05/09",355.00
"Currency","2018/05/08",354.00
"Currency","2018/05/07",354.00
"Currency","2018/05/05",354.00
"Currency","2018/05/04",354.00
"Currency","2018/05/03",354.00
"Currency","2018/05/02",354.00
"Currency","2018/05/01",354.00
"Currency","2018/04/30",355.30
"Currency","2018/04/27",355.30
"Currency","2018/04/26",354.00
"Currency","2018/04/25",353.00
"Currency","2018/04/24",353.00
"Currency","2018/04/23",353.00
"Currency","2018/04/22",353.00
"Currency","2018/04/21",353.00
"Currency","2018/04/20",353.00
"Currency","2018/04/19",353.00
"Currency","2018/04/18",353.00
"Currency","2018/04/17",353.00
"Currency","2018/04/16",353.00
"Currency","2018/04/14",353.00
"Currency","2018/04/13",353.85
"Currency","2018/04/12",353.00
"Currency","2018/04/11",353.00
"Currency","2018/04/10",353.00
"Currency","2018/04/09",353.00
"Currency","2018/04/07",353.00
"Currency","2018/04/06",353.00
"Currency","2018/04/05",353.00
"Currency","2018/04/04",353.00
"Currency","2018/04/03",352.00
"Currency","2018/04/02",352.00
"Currency","2018/03/31",352.00
"Currency","2018/03/30",353.85
"Currency","2018/03/29",352.00
"Currency","2018/03/28",352.00
"Currency","2018/03/27",352.00
"Currency","2018/03/26",352.00
"Currency","2018/03/24",352.00
"Currency","2018/03/23",352.00
"Currency","2018/03/22",352.00
"Currency","2018/03/21",352.00
"Currency","2018/03/20",352.00
"Currency","2018/03/19",352.00
"Currency","2018/03/17",352.00
"Currency","2018/03/16",353.65
"Currency","2018/03/15",352.00
"Currency","2018/03/14",352.00
"Currency","2018/03/13",352.00
"Currency","2018/03/12",351.00
"Currency","2018/03/10",351.00
"Currency","2018/03/09",351.00
"Currency","2018/03/08",351.00
"Currency","2018/03/07",351.00
"Currency","2018/03/06",351.00
"Currency","2018/03/05",351.00
"Currency","2018/03/03",351.00
"Currency","2018/03/02",351.00
"Currency","2018/03/01",351.00
"Currency","2018/02/28",351.00
"Currency","2018/02/27",351.00
"Currency","2018/02/26",351.00
"Currency","2018/02/24",351.00
"Currency","2018/02/23",351.00
"Currency","2018/02/22",351.00
"Currency","2018/02/21",351.00
"Currency","2018/02/20",352.75
"Currency","2018/02/19",351.65
"Currency","2018/02/17",350.00
"Currency","2018/02/16",350.00
"Currency","2018/02/15",351.00
"Currency","2018/02/14",351.00
"Currency","2018/02/13",351.00
"Currency","2018/02/12",353.87
"Currency","2018/02/09",351.00
"Currency","2018/02/08",351.00
"Currency","2018/02/07",351.00
"Currency","2018/02/06",350.00
"Currency","2018/02/05",350.00
"Currency","2018/02/03",350.00
"Currency","2018/02/02",352.00
"Currency","2018/02/01",352.00
"Currency","2018/01/30",353.85
"Currency","2018/01/29",353.85
"Currency","2018/01/27",353.00
"Currency","2018/01/26",353.00
"Currency","2018/01/25",353.00
"Currency","2018/01/24",353.00
"Currency","2018/01/23",353.00
"Currency","2018/01/22",353.00
"Currency","2018/01/19",353.00
"Currency","2018/01/18",353.00
"Currency","2018/01/17",353.00
"Currency","2018/01/16",353.00
"Currency","2018/01/15",353.00
"Currency","2018/01/12",352.00
"Currency","2018/01/11",352.00
"Currency","2018/01/10",352.00
"Currency","2018/01/09",352.00
"Currency","2018/01/08",352.00
"Currency","2018/01/05",352.00
"Currency","2018/01/04",352.00
"Currency","2018/01/03",352.00
"Currency","2018/01/02",352.00
"Currency","2017/12/29",352.00
"Currency","2017/12/28",352.60
"Currency","2017/12/27",353.00
"Currency","2017/12/26",352.60
"Currency","2017/12/24",353.00
"Currency","2017/12/22",354.37
"Currency","2017/12/21",352.00
"Currency","2017/12/20",352.00
"Currency","2017/12/19",352.32
"Currency","2017/12/18",352.60
"Currency","2017/12/15",353.00
"Currency","2017/12/14",353.00
"Currency","2017/12/13",353.00
"Currency","2017/12/12",353.00
"Currency","2017/12/11",353.00
"Currency","2017/12/08",353.00
"Currency","2017/12/07",353.00
"Currency","2017/12/06",352.00
"Currency","2017/12/05",353.00
"Currency","2017/12/04",352.41
"Currency","2017/12/01",352.00
"Currency","2017/11/30",352.00
"Currency","2017/11/29",352.00
"Currency","2017/11/28",352.11
"Currency","2017/11/27",352.11
"Currency","2017/11/24",351.00
"Currency","2017/11/23",352.11
"Currency","2017/11/22",352.11
"Currency","2017/11/21",352.11
"Currency","2017/11/20",352.00
"Currency","2017/11/17",352.00
"Currency","2017/11/16",352.00
"Currency","2017/11/15",352.32
"Currency","2017/11/14",352.32
"Currency","2017/11/13",352.00
"Currency","2017/11/10",352.00
"Currency","2017/11/09",352.00
"Currency","2017/11/08",352.00
"Currency","2017/11/07",352.00
"Currency","2017/11/06",352.32
"Currency","2017/11/03",352.32
"Currency","2017/11/02",352.08
"Currency","2017/11/01",351.69
"Currency","2017/10/31",351.32
"Currency","2017/10/30",351.32
"Currency","2017/10/27",351.32
"Currency","2017/10/26",351.00
"Currency","2017/10/25",351.32
"Currency","2017/10/24",351.00
"Currency","2017/10/23",351.32
"Currency","2017/10/21",351.32
"Currency","2017/10/20",351.32
"Currency","2017/10/19",352.42
"Currency","2017/10/18",352.42
"Currency","2017/10/17",361.00
"Currency","2017/10/16",361.00
"Currency","2017/10/13",361.00
"Currency","2017/10/12",361.00
"Currency","2017/10/11",362.00
"Currency","2017/10/10",361.00
"Currency","2017/10/09",361.00
"Currency","2017/10/06",361.00
"Currency","2017/10/05",361.00
"Currency","2017/10/04",361.00
"Currency","2017/10/03",361.00
"Currency","2017/10/02",361.00
"Currency","2017/09/30",361.00
"Currency","2017/09/29",361.00
"Currency","2017/09/28",361.00
"Currency","2017/09/27",361.00
"Currency","2017/09/26",361.00
"Currency","2017/09/25",361.00
"Currency","2017/09/22",361.00
"Currency","2017/09/21",361.00
"Currency","2017/09/20",361.00
"Currency","2017/09/19",361.00
"Currency","2017/09/18",361.00
"Currency","2017/09/16",361.00
"Currency","2017/09/15",361.00
"Currency","2017/09/14",361.00
"Currency","2017/09/13",361.00
"Currency","2017/09/12",361.00
"Currency","2017/09/11",361.00
"Currency","2017/09/08",361.00
"Currency","2017/09/07",361.00
"Currency","2017/09/06",361.00
