,currency,year,month,value
0,KGS,2011,10,45.292592592592605
1,KGS,2011,11,46.23566666666667
2,KGS,2011,12,46.618064516129024
3,KGS,2012,01,46.68580645161291
4,KGS,2012,02,46.792758620689625
5,KGS,2012,03,46.67903225806451
6,KGS,2012,04,46.79666666666666
7,KGS,2012,05,47.068709677419356
8,KGS,2012,06,47.196333333333335
9,KGS,2012,07,47.20354838709678
10,KGS,2012,08,46.891935483870995
11,KGS,2012,09,46.99266666666666
12,KGS,2012,10,47.081
13,KGS,2012,11,47.272499999999994
14,KGS,2012,12,47.40650000000001
15,KGS,2013,01,47.51608695652173
16,KGS,2013,02,47.79950000000001
17,KGS,2013,03,47.82285714285714
18,KGS,2013,04,48.19227272727273
19,KGS,2013,05,48.18695652173913
20,KGS,2013,06,48.5005
21,KGS,2013,07,48.85434782608695
22,KGS,2013,08,48.72909090909092
23,KGS,2013,09,48.9452380952381
24,KGS,2013,10,48.685714285714305
25,KGS,2013,11,48.74466666666667
26,KGS,2013,12,49.254193548387086
27,KGS,2014,01,49.77827586206898
28,KGS,2014,02,51.638214285714284
29,KGS,2014,03,53.057419354838714
30,KGS,2014,04,54.31066666666667
31,KGS,2014,05,52.50833333333334
32,KGS,2014,06,52.171000000000014
33,KGS,2014,07,51.845
34,KGS,2014,08,52.0193103448276
35,KGS,2014,09,53.95285714285716
36,KGS,2014,10,55.403548387096755
37,KGS,2014,11,57.666785714285716
38,KGS,2014,12,58.21478260869564
39,KGS,2015,01,59.89454545454544
40,KGS,2015,02,60.99000000000001
41,KGS,2015,03,62.51363636363636
42,KGS,2015,04,62.715454545454534
43,KGS,2015,05,58.817619047619054
44,KGS,2015,06,59.995909090909095
45,KGS,2015,07,62.22560000000001
46,KGS,2015,08,63.14363636363637
47,KGS,2015,09,67.79592592592593
48,KGS,2015,10,68.91479999999997
49,KGS,2015,11,71.44333333333333
50,KGS,2015,12,75.8672
51,KGS,2016,01,75.88904761904764
52,KGS,2016,02,74.82999999999998
53,KGS,2016,03,72.2912
54,KGS,2016,04,68.95480000000002
55,KGS,2016,05,68.375
56,KGS,2016,06,67.8978260869565
57,KGS,2016,07,67.27047619047619
58,KGS,2016,08,68.59434782608696
59,KGS,2016,09,68.69730769230767
60,KGS,2016,10,68.27857142857144
61,KGS,2016,11,68.96565217391304
62,KGS,2016,12,69.25695652173913
63,KGS,2017,01,69.34565217391305
64,KGS,2017,02,69.24142857142859
65,KGS,2017,03,69.06391304347828
66,KGS,2017,04,68.04142857142858
67,KGS,2017,05,67.72999999999999
68,KGS,2017,06,68.4712
69,KGS,2017,07,69.24272727272727
70,KGS,2017,08,68.9404
71,KGS,2017,09,68.54360000000001
72,KGS,2017,10,68.50260869565216
73,KGS,2017,11,69.42272727272729
74,KGS,2017,12,69.50050000000003
75,KGS,2018,01,68.78772727272725
76,KGS,2018,02,68.143
77,KGS,2018,03,68.0459090909091
78,KGS,2018,04,68.4642857142857
79,KGS,2018,05,68.41565217391305
80,KGS,2018,06,68.29166666666667
81,LSL,1990,11,2.517
82,LSL,1990,12,2.537619047619047
83,LSL,1991,01,2.561739130434782
84,LSL,1991,02,2.537500000000001
85,LSL,1991,03,2.6552380952380954
86,LSL,1991,04,2.74
87,LSL,1991,05,2.794782608695652
88,LSL,1991,06,2.8629999999999995
89,LSL,1991,07,2.8782608695652177
90,LSL,1991,08,2.869545454545454
91,LSL,1991,09,2.834285714285714
92,LSL,1991,10,2.83
93,LSL,1991,11,2.7919047619047612
94,LSL,1991,12,2.7627272727272736
95,LSL,1992,01,2.7786956521739135
96,LSL,1992,02,2.8155
97,LSL,1992,03,2.8813636363636372
98,LSL,1992,04,2.877727272727272
99,LSL,1992,05,2.8471428571428565
100,LSL,1992,06,2.8072727272727276
101,LSL,1992,07,2.7560869565217385
102,LSL,1992,08,2.7638095238095253
103,LSL,1992,09,2.7981818181818183
104,LSL,1992,10,2.8877272727272723
105,LSL,1992,11,2.995714285714285
106,LSL,1992,12,3.0130434782608693
107,LSL,1993,01,3.0685714285714285
108,LSL,1993,02,3.1205
109,LSL,1993,03,3.1769565217391307
110,LSL,1993,04,3.169545454545455
111,LSL,1993,05,3.1757142857142857
112,LSL,1993,06,3.237727272727273
113,LSL,1993,07,3.3463636363636358
114,LSL,1993,08,3.37
115,LSL,1993,09,3.37
116,LSL,1993,10,3.3699999999999997
117,LSL,1993,11,3.3668181818181817
118,LSL,1993,12,3.372608695652174
119,LSL,1994,01,3.398571428571428
120,LSL,1994,02,3.3999999999999995
121,LSL,1994,03,3.4
122,LSL,1994,04,3.3999999999999995
123,LSL,1994,05,3.4
124,LSL,1994,06,3.4963636363636366
125,LSL,1994,07,3.6676190476190476
126,LSL,1994,08,3.5982608695652183
127,LSL,1994,09,3.5545454545454542
128,LSL,1994,10,3.5399999999999996
129,LSL,1994,11,3.525
130,LSL,1994,12,3.5400000000000005
131,LSL,1995,01,3.5400000000000005
132,LSL,1995,02,3.5585
133,LSL,1995,03,3.613478260869564
134,LSL,1995,04,3.6300000000000003
135,LSL,1995,05,3.63
136,LSL,1995,06,3.63
137,LSL,1995,07,3.6300000000000003
138,LSL,1995,08,3.6365217391304347
139,LSL,1995,09,3.66095238095238
140,LSL,1995,10,3.64590909090909
141,LSL,1995,11,3.6472727272727283
142,LSL,1995,12,3.6633333333333336
143,LSL,1996,01,3.64
144,LSL,1996,02,3.7457142857142856
145,LSL,1996,03,3.926190476190477
146,LSL,1996,04,4.210454545454545
147,LSL,1996,05,4.369130434782608
148,LSL,1996,06,4.348999999999999
149,LSL,1996,07,4.392608695652174
150,LSL,1996,08,4.528181818181818
151,LSL,1996,09,4.50095238095238
152,LSL,1996,10,4.573913043478262
153,LSL,1996,11,4.652857142857142
154,LSL,1996,12,4.6872727272727275
155,LSL,1997,01,4.642173913043478
156,LSL,1997,02,4.452
157,LSL,1997,03,4.431904761904762
158,LSL,1997,04,4.441363636363638
159,LSL,1997,05,4.468636363636365
160,LSL,1997,06,4.498095238095238
161,LSL,1997,07,4.557391304347826
162,LSL,1997,08,4.666190476190477
163,LSL,1997,09,4.688636363636363
164,LSL,1997,10,4.709565217391304
165,LSL,1997,11,4.8355
166,LSL,1997,12,4.869130434782609
167,LSL,1998,01,4.9381818181818184
168,LSL,1998,02,4.933
169,LSL,1998,03,4.972727272727273
170,LSL,1998,04,5.042727272727276
171,LSL,1998,05,5.094285714285713
172,LSL,1998,06,5.354999999999999
173,LSL,1998,07,6.224782608695653
174,LSL,1998,08,6.32
175,LSL,1998,09,6.095909090909092
176,LSL,1998,10,5.780454545454546
177,LSL,1998,11,5.675238095238095
178,LSL,1998,12,5.902608695652174
179,LSL,1999,01,5.974285714285714
180,LSL,1999,02,6.107000000000001
181,LSL,1999,03,6.213478260869565
182,LSL,1999,04,6.239999999999998
183,LSL,1999,05,6.239999999999998
184,LSL,1999,06,6.239999999999998
185,LSL,1999,07,6.239999999999998
186,LSL,1999,08,6.239999999999998
187,LSL,1999,09,6.239999999999998
188,LSL,1999,10,6.239999999999998
189,LSL,1999,11,6.239999999999998
190,LSL,1999,12,6.239999999999999
191,LSL,2000,01,6.239999999999998
192,LSL,2000,02,6.239999999999998
193,LSL,2000,03,6.239999999999999
194,LSL,2000,04,6.239999999999998
195,LSL,2000,05,6.239999999999999
196,LSL,2000,06,6.854090909090909
197,LSL,2000,07,6.878095238095237
198,LSL,2000,08,6.953043478260872
199,LSL,2000,09,7.160952380952378
200,LSL,2000,10,7.468636363636361
201,LSL,2000,11,7.679545454545456
202,LSL,2000,12,7.636190476190476
203,LSL,2001,01,7.757826086956523
204,LSL,2001,02,7.8
205,LSL,2001,03,7.887727272727273
206,LSL,2001,04,8.090952380952382
207,LSL,2001,05,7.983478260869567
208,LSL,2001,06,8.069523809523812
209,LSL,2001,07,8.200909090909091
210,LSL,2001,08,8.295217391304348
211,LSL,2001,09,8.530999999999999
212,LSL,2001,10,9.259565217391302
213,LSL,2001,11,9.691363636363636
214,LSL,2001,12,11.67095238095238
215,LSL,2002,01,11.573478260869566
216,LSL,2002,02,11.4665
217,LSL,2002,03,11.554761904761907
218,LSL,2002,04,11.087272727272726
219,LSL,2002,05,10.143478260869562
220,LSL,2002,06,10.141000000000002
221,LSL,2002,07,10.122608695652172
222,LSL,2002,08,10.581363636363637
223,LSL,2002,09,10.595238095238098
224,LSL,2002,10,10.34521739130435
225,LSL,2002,11,9.713333333333335
226,LSL,2002,12,8.93681818181818
227,LSL,2003,01,8.688695652173912
228,LSL,2003,02,8.364500000000001
229,LSL,2003,03,8.04809523809524
230,LSL,2003,04,7.679545454545456
