"Indicator","Time","Value (USD/AFN)"
"Currency","2018/06/08",71.33
"Currency","2018/06/07",71.15
"Currency","2018/06/06",71.45
"Currency","2018/06/05",71.20
"Currency","2018/06/04",71.05
"Currency","2018/06/02",71.22
"Currency","2018/06/01",71.22
"Currency","2018/05/31",71.00
"Currency","2018/05/30",71.29
"Currency","2018/05/29",70.99
"Currency","2018/05/28",71.30
"Currency","2018/05/26",71.72
"Currency","2018/05/25",71.72
"Currency","2018/05/24",71.50
"Currency","2018/05/23",71.43
"Currency","2018/05/22",71.13
"Currency","2018/05/21",71.10
"Currency","2018/05/20",71.13
"Currency","2018/05/19",71.13
"Currency","2018/05/18",70.90
"Currency","2018/05/17",70.90
"Currency","2018/05/16",70.86
"Currency","2018/05/15",70.87
"Currency","2018/05/14",70.94
"Currency","2018/05/13",70.45
"Currency","2018/05/12",70.77
"Currency","2018/05/11",70.38
"Currency","2018/05/10",70.45
"Currency","2018/05/09",70.45
"Currency","2018/05/08",70.35
"Currency","2018/05/07",70.50
"Currency","2018/05/06",70.35
"Currency","2018/05/05",70.41
"Currency","2018/05/04",70.35
"Currency","2018/05/03",70.35
"Currency","2018/05/02",70.15
"Currency","2018/05/01",70.00
"Currency","2018/04/30",69.93
"Currency","2018/04/29",70.00
"Currency","2018/04/28",70.15
"Currency","2018/04/27",70.00
"Currency","2018/04/26",70.00
"Currency","2018/04/25",70.05
"Currency","2018/04/24",70.05
"Currency","2018/04/23",69.88
"Currency","2018/04/22",69.90
"Currency","2018/04/21",69.90
"Currency","2018/04/20",69.90
"Currency","2018/04/19",69.90
"Currency","2018/04/18",69.90
"Currency","2018/04/17",69.97
"Currency","2018/04/16",69.95
"Currency","2018/04/15",69.90
"Currency","2018/04/14",69.70
"Currency","2018/04/13",69.70
"Currency","2018/04/12",69.70
"Currency","2018/04/11",69.70
"Currency","2018/04/10",69.70
"Currency","2018/04/09",69.50
"Currency","2018/04/08",69.30
"Currency","2018/04/07",69.41
"Currency","2018/04/06",69.30
"Currency","2018/04/05",69.30
"Currency","2018/04/04",69.25
"Currency","2018/04/03",69.15
"Currency","2018/04/02",69.15
"Currency","2018/04/01",69.17
"Currency","2018/03/31",69.17
"Currency","2018/03/30",69.10
"Currency","2018/03/29",69.10
"Currency","2018/03/28",69.10
"Currency","2018/03/27",69.10
"Currency","2018/03/26",69.08
"Currency","2018/03/25",68.93
"Currency","2018/03/24",68.93
"Currency","2018/03/23",68.90
"Currency","2018/03/22",68.90
"Currency","2018/03/21",68.90
"Currency","2018/03/20",68.83
"Currency","2018/03/19",68.90
"Currency","2018/03/18",68.97
"Currency","2018/03/17",68.97
"Currency","2018/03/16",69.00
"Currency","2018/03/15",69.00
"Currency","2018/03/14",69.00
"Currency","2018/03/13",68.94
"Currency","2018/03/12",68.90
"Currency","2018/03/11",68.88
"Currency","2018/03/10",68.88
"Currency","2018/03/09",68.96
"Currency","2018/03/08",68.96
"Currency","2018/03/07",68.96
"Currency","2018/03/06",68.85
"Currency","2018/03/05",68.85
"Currency","2018/03/04",68.70
"Currency","2018/03/03",68.70
"Currency","2018/03/02",68.70
"Currency","2018/03/01",68.75
"Currency","2018/02/28",68.80
"Currency","2018/02/27",68.90
"Currency","2018/02/26",68.69
"Currency","2018/02/25",68.82
"Currency","2018/02/24",68.82
"Currency","2018/02/23",68.82
"Currency","2018/02/22",68.85
"Currency","2018/02/21",69.00
"Currency","2018/02/20",68.95
"Currency","2018/02/19",68.97
"Currency","2018/02/18",68.89
"Currency","2018/02/17",68.89
"Currency","2018/02/16",68.89
"Currency","2018/02/15",68.90
"Currency","2018/02/14",68.90
"Currency","2018/02/13",68.87
"Currency","2018/02/12",68.83
"Currency","2018/02/11",68.74
"Currency","2018/02/10",68.74
"Currency","2018/02/09",68.74
"Currency","2018/02/08",68.75
"Currency","2018/02/07",68.65
"Currency","2018/02/06",68.86
"Currency","2018/02/05",68.88
"Currency","2018/02/04",69.09
"Currency","2018/02/03",69.09
"Currency","2018/02/02",69.25
"Currency","2018/02/01",69.24
"Currency","2018/01/31",69.24
"Currency","2018/01/30",69.19
"Currency","2018/01/29",69.11
"Currency","2018/01/28",69.11
"Currency","2018/01/27",69.11
"Currency","2018/01/26",69.11
"Currency","2018/01/25",69.11
"Currency","2018/01/24",69.09
"Currency","2018/01/23",69.78
"Currency","2018/01/22",69.35
"Currency","2018/01/21",69.33
"Currency","2018/01/20",69.33
"Currency","2018/01/19",69.33
"Currency","2018/01/18",69.35
"Currency","2018/01/17",69.27
"Currency","2018/01/16",69.22
"Currency","2018/01/15",69.22
"Currency","2018/01/14",69.73
"Currency","2018/01/13",69.73
"Currency","2018/01/12",69.73
"Currency","2018/01/11",69.74
"Currency","2018/01/10",69.77
"Currency","2018/01/09",70.10
"Currency","2018/01/08",70.20
"Currency","2018/01/07",69.59
"Currency","2018/01/06",69.59
"Currency","2018/01/05",69.59
"Currency","2018/01/04",69.60
"Currency","2018/01/03",69.50
"Currency","2018/01/02",69.52
"Currency","2017/12/29",69.41
"Currency","2017/12/28",69.40
