"Indicator","Time","Value (USD/BDT)"
"Currency","2018/06/08",84.30
"Currency","2018/06/07",84.30
"Currency","2018/06/06",83.67
"Currency","2018/06/05",84.30
"Currency","2018/06/04",84.30
"Currency","2018/06/01",84.00
"Currency","2018/05/31",84.00
"Currency","2018/05/30",83.66
"Currency","2018/05/29",84.00
"Currency","2018/05/28",84.00
"Currency","2018/05/25",84.00
"Currency","2018/05/24",84.00
"Currency","2018/05/23",83.62
"Currency","2018/05/22",83.66
"Currency","2018/05/21",84.60
"Currency","2018/05/18",84.60
"Currency","2018/05/17",84.60
"Currency","2018/05/16",84.60
"Currency","2018/05/15",83.96
"Currency","2018/05/14",83.03
"Currency","2018/05/11",84.45
"Currency","2018/05/10",84.45
"Currency","2018/05/09",84.45
"Currency","2018/05/08",84.45
"Currency","2018/05/07",82.90
"Currency","2018/05/04",84.45
"Currency","2018/05/03",84.45
"Currency","2018/05/02",84.20
"Currency","2018/05/01",84.20
"Currency","2018/04/30",84.20
"Currency","2018/04/27",84.20
"Currency","2018/04/26",84.20
"Currency","2018/04/25",84.20
"Currency","2018/04/24",84.10
"Currency","2018/04/23",84.10
"Currency","2018/04/20",82.92
"Currency","2018/04/19",82.93
"Currency","2018/04/18",82.89
"Currency","2018/04/17",82.88
"Currency","2018/04/16",82.90
"Currency","2018/04/13",82.88
"Currency","2018/04/12",82.89
"Currency","2018/04/11",82.92
"Currency","2018/04/10",82.70
"Currency","2018/04/09",82.92
"Currency","2018/04/06",82.90
"Currency","2018/04/05",82.75
"Currency","2018/04/04",82.88
"Currency","2018/04/03",82.92
"Currency","2018/04/02",82.92
"Currency","2018/03/30",82.91
"Currency","2018/03/29",82.91
"Currency","2018/03/28",83.88
"Currency","2018/03/27",82.92
"Currency","2018/03/26",82.92
"Currency","2018/03/23",82.89
"Currency","2018/03/22",82.90
"Currency","2018/03/21",82.88
"Currency","2018/03/20",82.90
"Currency","2018/03/19",82.90
"Currency","2018/03/16",83.12
"Currency","2018/03/15",82.88
"Currency","2018/03/14",82.90
"Currency","2018/03/13",82.88
"Currency","2018/03/12",82.91
"Currency","2018/03/09",82.88
"Currency","2018/03/08",82.90
"Currency","2018/03/07",82.90
"Currency","2018/03/06",82.91
"Currency","2018/03/05",82.90
"Currency","2018/03/02",82.90
"Currency","2018/03/01",82.89
"Currency","2018/02/28",82.92
"Currency","2018/02/27",82.89
"Currency","2018/02/26",82.88
"Currency","2018/02/23",82.88
"Currency","2018/02/22",82.84
"Currency","2018/02/21",82.91
"Currency","2018/02/20",82.93
"Currency","2018/02/19",82.88
"Currency","2018/02/16",82.88
"Currency","2018/02/15",82.99
"Currency","2018/02/14",82.85
"Currency","2018/02/13",82.99
"Currency","2018/02/12",82.88
"Currency","2018/02/09",82.88
"Currency","2018/02/08",82.88
"Currency","2018/02/07",82.79
"Currency","2018/02/06",82.99
"Currency","2018/02/05",82.87
"Currency","2018/02/02",82.88
"Currency","2018/02/01",82.87
"Currency","2018/01/31",82.87
"Currency","2018/01/30",82.87
"Currency","2018/01/29",82.88
"Currency","2018/01/26",82.87
"Currency","2018/01/25",82.88
"Currency","2018/01/24",82.88
"Currency","2018/01/23",82.94
"Currency","2018/01/22",82.84
"Currency","2018/01/19",82.80
"Currency","2018/01/18",82.76
"Currency","2018/01/17",82.55
"Currency","2018/01/16",82.77
"Currency","2018/01/15",82.79
"Currency","2018/01/12",82.75
"Currency","2018/01/11",82.74
"Currency","2018/01/10",82.74
"Currency","2018/01/09",82.73
"Currency","2018/01/08",82.70
"Currency","2018/01/05",82.68
"Currency","2018/01/04",82.67
"Currency","2018/01/03",82.67
"Currency","2018/01/02",82.67
"Currency","2017/12/29",82.65
"Currency","2017/12/28",82.68
"Currency","2017/12/27",82.67
"Currency","2017/12/26",82.68
"Currency","2017/12/25",82.66
"Currency","2017/12/22",82.66
"Currency","2017/12/21",82.44
"Currency","2017/12/20",82.63
"Currency","2017/12/19",82.50
"Currency","2017/12/18",82.79
"Currency","2017/12/15",82.54
"Currency","2017/12/14",82.48
"Currency","2017/12/13",82.45
"Currency","2017/12/12",82.47
"Currency","2017/12/11",82.35
"Currency","2017/12/08",82.36
"Currency","2017/12/07",82.29
"Currency","2017/12/06",82.32
"Currency","2017/12/05",82.20
"Currency","2017/12/04",82.22
"Currency","2017/12/01",82.20
"Currency","2017/11/30",82.22
"Currency","2017/11/29",81.82
"Currency","2017/11/28",84.77
"Currency","2017/11/27",84.42
"Currency","2017/11/24",84.25
"Currency","2017/11/23",81.30
"Currency","2017/11/22",83.70
"Currency","2017/11/21",83.70
"Currency","2017/11/20",82.77
"Currency","2017/11/17",83.45
"Currency","2017/11/16",83.37
"Currency","2017/11/15",83.30
"Currency","2017/11/14",83.14
"Currency","2017/11/13",83.15
"Currency","2017/11/10",83.15
"Currency","2017/11/09",82.62
"Currency","2017/11/08",83.00
"Currency","2017/11/07",82.36
"Currency","2017/11/06",82.85
"Currency","2017/11/03",82.85
"Currency","2017/11/02",82.85
"Currency","2017/11/01",82.67
"Currency","2017/10/31",82.81
"Currency","2017/10/30",82.81
"Currency","2017/10/27",82.76
"Currency","2017/10/26",82.76
"Currency","2017/10/25",82.69
"Currency","2017/10/24",82.79
"Currency","2017/10/23",82.69
"Currency","2017/10/20",82.44
"Currency","2017/10/19",82.28
"Currency","2017/10/18",82.30
"Currency","2017/10/17",80.77
"Currency","2017/10/16",80.79
"Currency","2017/10/13",80.74
"Currency","2017/10/12",80.76
"Currency","2017/10/11",81.43
"Currency","2017/10/10",81.26
"Currency","2017/10/09",81.91
"Currency","2017/10/06",81.26
"Currency","2017/10/05",80.75
"Currency","2017/10/04",82.01
"Currency","2017/10/03",81.32
"Currency","2017/10/02",81.82
"Currency","2017/09/30",82.10
"Currency","2017/09/29",82.10
"Currency","2017/09/28",81.82
"Currency","2017/09/27",82.07
"Currency","2017/09/26",80.76
"Currency","2017/09/25",80.62
"Currency","2017/09/22",81.75
"Currency","2017/09/21",81.84
"Currency","2017/09/20",80.71
"Currency","2017/09/19",81.99
"Currency","2017/09/18",80.68
"Currency","2017/09/16",80.62
"Currency","2017/09/15",80.62
"Currency","2017/09/14",80.66
"Currency","2017/09/13",81.91
"Currency","2017/09/12",81.92
"Currency","2017/09/11",81.94
"Currency","2017/09/08",81.42
"Currency","2017/09/07",81.46
"Currency","2017/09/06",81.18
"Currency","2017/09/05",81.21
"Currency","2017/09/04",81.17
"Currency","2017/09/01",80.66
"Currency","2017/08/31",80.67
"Currency","2017/08/30",81.05
"Currency","2017/08/29",81.07
"Currency","2017/08/28",80.99
"Currency","2017/08/25",80.82
"Currency","2017/08/24",81.07
"Currency","2017/08/23",81.01
"Currency","2017/08/22",81.20
"Currency","2017/08/21",81.16
"Currency","2017/08/18",80.97
"Currency","2017/08/17",80.96
"Currency","2017/08/16",80.78
"Currency","2017/08/15",80.62
"Currency","2017/08/14",80.66
"Currency","2017/08/12",80.72
"Currency","2017/08/11",80.72
"Currency","2017/08/10",80.74
"Currency","2017/08/09",80.76
"Currency","2017/08/08",80.83
"Currency","2017/08/07",80.62
"Currency","2017/08/04",80.82
"Currency","2017/08/03",80.86
"Currency","2017/08/02",80.63
"Currency","2017/08/01",81.10
"Currency","2017/07/31",81.20
"Currency","2017/07/28",80.57
"Currency","2017/07/27",80.56
"Currency","2017/07/26",80.63
"Currency","2017/07/25",81.02
"Currency","2017/07/24",80.62
"Currency","2017/07/21",80.57
"Currency","2017/07/20",80.54
"Currency","2017/07/19",80.67
"Currency","2017/07/18",80.61
"Currency","2017/07/17",80.76
"Currency","2017/07/14",81.05
"Currency","2017/07/13",80.97
"Currency","2017/07/12",81.27
"Currency","2017/07/11",81.30
"Currency","2017/07/10",81.06
"Currency","2017/07/07",81.03
"Currency","2017/07/06",81.07
"Currency","2017/07/05",80.74
"Currency","2017/07/04",80.55
"Currency","2017/07/03",80.70
"Currency","2017/06/30",80.57
"Currency","2017/06/29",80.72
"Currency","2017/06/28",80.68
"Currency","2017/06/27",80.69
"Currency","2017/06/26",80.69
"Currency","2017/06/23",80.69
"Currency","2017/06/22",80.68
"Currency","2017/06/21",80.64
"Currency","2017/06/20",80.67
"Currency","2017/06/19",80.73
"Currency","2017/06/17",80.69
"Currency","2017/06/16",80.69
"Currency","2017/06/15",80.76
"Currency","2017/06/14",80.71
"Currency","2017/06/13",80.61
"Currency","2017/06/12",80.77
