"Indicator","Time","Value (USD/BIF)"
"Currency","2018/06/08",1764.30
"Currency","2018/06/07",1759.81
"Currency","2018/06/06",1764.22
"Currency","2018/06/05",1759.67
"Currency","2018/06/04",1759.60
"Currency","2018/06/01",1759.60
"Currency","2018/05/31",1759.26
"Currency","2018/05/30",1763.98
"Currency","2018/05/29",1757.54
"Currency","2018/05/28",1759.30
"Currency","2018/05/25",1750.00
"Currency","2018/05/24",1759.22
"Currency","2018/05/23",1760.23
"Currency","2018/05/22",1749.98
"Currency","2018/05/21",1758.82
"Currency","2018/05/18",1758.82
"Currency","2018/05/17",1758.82
"Currency","2018/05/16",1758.82
"Currency","2018/05/15",1761.59
"Currency","2018/05/14",1761.52
"Currency","2018/05/11",1756.92
"Currency","2018/05/10",1758.68
"Currency","2018/05/09",1758.68
"Currency","2018/05/08",1758.56
"Currency","2018/05/07",1763.02
"Currency","2018/05/04",1758.45
"Currency","2018/05/03",1758.30
"Currency","2018/05/02",1758.24
"Currency","2018/05/01",1758.07
"Currency","2018/04/30",1756.31
"Currency","2018/04/27",1758.07
"Currency","2018/04/26",1758.07
"Currency","2018/04/25",1757.99
"Currency","2018/04/24",1757.80
"Currency","2018/04/23",1756.04
"Currency","2018/04/20",1757.70
"Currency","2018/04/19",1757.51
"Currency","2018/04/18",1757.36
"Currency","2018/04/17",1762.08
"Currency","2018/04/16",1757.19
"Currency","2018/04/13",1756.49
"Currency","2018/04/12",1756.49
"Currency","2018/04/11",1756.49
"Currency","2018/04/10",1756.24
"Currency","2018/04/09",1756.24
"Currency","2018/04/06",1756.16
"Currency","2018/04/05",1756.16
"Currency","2018/04/04",1756.09
"Currency","2018/04/03",1756.00
"Currency","2018/04/02",1755.81
"Currency","2018/03/30",1755.81
"Currency","2018/03/29",1755.81
"Currency","2018/03/28",1755.75
"Currency","2018/03/27",1755.60
"Currency","2018/03/26",1761.15
"Currency","2018/03/23",1755.59
"Currency","2018/03/22",1755.59
"Currency","2018/03/21",1755.53
"Currency","2018/03/20",1755.45
"Currency","2018/03/19",1755.40
"Currency","2018/03/16",1755.36
"Currency","2018/03/15",1755.30
"Currency","2018/03/14",1755.24
"Currency","2018/03/13",1759.45
"Currency","2018/03/12",1755.13
"Currency","2018/03/09",1755.09
"Currency","2018/03/08",1755.09
"Currency","2018/03/07",1755.09
"Currency","2018/03/06",1755.09
"Currency","2018/03/05",1754.91
"Currency","2018/03/02",1750.00
"Currency","2018/03/01",1758.45
"Currency","2018/02/28",1754.74
"Currency","2018/02/27",1754.60
"Currency","2018/02/26",1757.98
"Currency","2018/02/23",1757.79
"Currency","2018/02/22",1754.20
"Currency","2018/02/21",1754.09
"Currency","2018/02/20",1754.00
"Currency","2018/02/19",1757.08
"Currency","2018/02/16",1756.90
"Currency","2018/02/15",1754.41
"Currency","2018/02/14",1754.41
"Currency","2018/02/13",1754.28
"Currency","2018/02/12",1756.35
"Currency","2018/02/09",1756.25
"Currency","2018/02/08",1752.30
"Currency","2018/02/07",1752.01
"Currency","2018/02/06",1752.19
"Currency","2018/02/05",1751.81
"Currency","2018/02/02",1750.00
"Currency","2018/02/01",1755.60
"Currency","2018/01/31",1755.44
"Currency","2018/01/30",1749.77
"Currency","2018/01/29",1752.91
"Currency","2018/01/26",1755.20
"Currency","2018/01/25",1754.95
"Currency","2018/01/24",1754.58
"Currency","2018/01/23",1751.07
"Currency","2018/01/22",1752.11
"Currency","2018/01/19",1754.35
"Currency","2018/01/18",1751.91
"Currency","2018/01/17",1749.77
"Currency","2018/01/16",1753.88
"Currency","2018/01/15",1753.80
"Currency","2018/01/12",1753.70
"Currency","2018/01/11",1753.60
"Currency","2018/01/10",1753.42
"Currency","2018/01/09",1750.33
"Currency","2018/01/08",1750.51
"Currency","2018/01/05",1753.04
"Currency","2018/01/04",1750.51
"Currency","2018/01/03",1750.32
"Currency","2018/01/02",1750.30
"Currency","2017/12/29",1752.55
"Currency","2017/12/28",1749.97
"Currency","2017/12/27",1752.22
"Currency","2017/12/26",1748.05
"Currency","2017/12/22",1751.85
"Currency","2017/12/21",1746.23
"Currency","2017/12/20",1751.58
"Currency","2017/12/19",1747.29
"Currency","2017/12/18",1747.03
"Currency","2017/12/15",1751.12
"Currency","2017/12/14",1750.98
"Currency","2017/12/13",1750.78
"Currency","2017/12/12",1750.60
"Currency","2017/12/11",1750.48
"Currency","2017/12/08",1750.22
"Currency","2017/12/07",1750.03
"Currency","2017/12/06",1740.70
"Currency","2017/12/05",1749.60
"Currency","2017/12/04",1744.42
"Currency","2017/12/01",1749.05
"Currency","2017/11/30",1748.75
"Currency","2017/11/29",1741.20
"Currency","2017/11/28",1748.18
"Currency","2017/11/27",1747.83
"Currency","2017/11/24",1746.99
"Currency","2017/11/23",1742.67
"Currency","2017/11/22",1746.99
"Currency","2017/11/21",1742.15
"Currency","2017/11/20",1746.35
"Currency","2017/11/17",1746.10
"Currency","2017/11/16",1745.85
"Currency","2017/11/15",1740.89
"Currency","2017/11/14",1740.89
"Currency","2017/11/13",1738.93
"Currency","2017/11/10",1744.52
"Currency","2017/11/09",1738.45
"Currency","2017/11/08",1744.10
"Currency","2017/11/07",1738.02
"Currency","2017/11/06",1743.55
"Currency","2017/11/03",1743.25
"Currency","2017/11/02",1738.99
"Currency","2017/11/01",1740.55
"Currency","2017/10/31",1740.55
"Currency","2017/10/30",1740.55
"Currency","2017/10/28",1740.55
"Currency","2017/10/27",1740.55
"Currency","2017/10/26",1740.55
"Currency","2017/10/25",1740.55
"Currency","2017/10/24",1740.55
"Currency","2017/10/23",1741.05
"Currency","2017/10/21",1738.97
"Currency","2017/10/20",1738.97
"Currency","2017/10/19",1740.55
"Currency","2017/10/18",1738.97
"Currency","2017/10/17",1738.97
"Currency","2017/10/16",1731.00
"Currency","2017/10/13",1738.97
"Currency","2017/10/12",1738.97
"Currency","2017/10/11",1737.23
"Currency","2017/10/10",1735.48
"Currency","2017/10/09",1737.98
"Currency","2017/10/07",1735.48
"Currency","2017/10/06",1735.48
"Currency","2017/10/05",1735.48
"Currency","2017/10/04",1735.48
"Currency","2017/10/03",1735.48
"Currency","2017/10/02",1735.48
"Currency","2017/09/30",1735.49
"Currency","2017/09/29",1735.49
"Currency","2017/09/28",1735.49
"Currency","2017/09/27",1735.49
"Currency","2017/09/26",1720.00
"Currency","2017/09/25",1735.49
"Currency","2017/09/22",1735.05
"Currency","2017/09/21",1734.70
"Currency","2017/09/20",1734.25
"Currency","2017/09/19",1733.88
"Currency","2017/09/18",1733.55
"Currency","2017/09/16",1731.87
"Currency","2017/09/15",1731.87
"Currency","2017/09/14",1731.87
"Currency","2017/09/13",1731.87
"Currency","2017/09/12",1732.35
"Currency","2017/09/11",1731.87
"Currency","2017/09/09",1731.40
"Currency","2017/09/08",1731.40
"Currency","2017/09/07",1731.05
