"Indicator","Time","Value (USD/BOB)"
"Currency","2018/06/08",6.85
"Currency","2018/06/07",6.86
"Currency","2018/06/06",6.86
"Currency","2018/06/05",6.85
"Currency","2018/06/04",6.86
"Currency","2018/06/01",6.86
"Currency","2018/05/31",6.85
"Currency","2018/05/30",6.86
"Currency","2018/05/29",6.85
"Currency","2018/05/28",6.86
"Currency","2018/05/25",6.86
"Currency","2018/05/24",6.86
"Currency","2018/05/23",6.85
"Currency","2018/05/22",6.86
"Currency","2018/05/21",6.86
"Currency","2018/05/18",6.86
"Currency","2018/05/17",6.85
"Currency","2018/05/16",6.86
"Currency","2018/05/15",6.86
"Currency","2018/05/14",6.86
"Currency","2018/05/11",6.85
"Currency","2018/05/10",6.86
"Currency","2018/05/09",6.86
"Currency","2018/05/08",6.86
"Currency","2018/05/07",6.86
"Currency","2018/05/04",6.86
"Currency","2018/05/03",6.86
"Currency","2018/05/02",6.86
"Currency","2018/05/01",6.86
"Currency","2018/04/30",6.86
"Currency","2018/04/27",6.86
"Currency","2018/04/26",6.85
"Currency","2018/04/25",6.86
"Currency","2018/04/24",6.86
"Currency","2018/04/23",6.86
"Currency","2018/04/20",6.86
"Currency","2018/04/19",6.85
"Currency","2018/04/18",6.86
"Currency","2018/04/17",6.86
"Currency","2018/04/16",6.86
"Currency","2018/04/13",6.86
"Currency","2018/04/12",6.85
"Currency","2018/04/11",6.86
"Currency","2018/04/10",6.85
"Currency","2018/04/09",6.86
"Currency","2018/04/06",6.86
"Currency","2018/04/05",6.85
"Currency","2018/04/04",6.86
"Currency","2018/04/03",6.85
"Currency","2018/04/02",6.86
"Currency","2018/03/30",6.86
"Currency","2018/03/29",6.86
"Currency","2018/03/28",6.86
"Currency","2018/03/27",6.86
"Currency","2018/03/26",6.86
"Currency","2018/03/23",6.85
"Currency","2018/03/22",6.86
"Currency","2018/03/21",6.85
"Currency","2018/03/20",6.85
"Currency","2018/03/19",6.86
"Currency","2018/03/16",6.86
"Currency","2018/03/15",6.85
"Currency","2018/03/14",6.86
"Currency","2018/03/13",6.86
"Currency","2018/03/12",6.86
"Currency","2018/03/09",6.86
"Currency","2018/03/08",6.85
"Currency","2018/03/07",6.86
"Currency","2018/03/06",6.86
"Currency","2018/03/05",6.84
"Currency","2018/03/02",6.85
"Currency","2018/03/01",6.86
"Currency","2018/02/28",6.86
"Currency","2018/02/27",6.86
"Currency","2018/02/26",6.86
"Currency","2018/02/23",6.86
"Currency","2018/02/22",6.85
"Currency","2018/02/21",6.86
"Currency","2018/02/20",6.86
"Currency","2018/02/19",6.86
"Currency","2018/02/16",6.86
"Currency","2018/02/15",6.86
"Currency","2018/02/14",6.86
"Currency","2018/02/13",6.86
"Currency","2018/02/12",6.86
"Currency","2018/02/09",6.86
"Currency","2018/02/08",6.86
"Currency","2018/02/07",6.86
"Currency","2018/02/06",6.85
"Currency","2018/02/05",6.86
"Currency","2018/02/02",6.86
"Currency","2018/02/01",6.86
"Currency","2018/01/31",6.86
"Currency","2018/01/30",6.86
"Currency","2018/01/29",6.86
"Currency","2018/01/26",6.86
"Currency","2018/01/25",6.86
"Currency","2018/01/24",6.86
"Currency","2018/01/23",6.85
"Currency","2018/01/22",6.86
"Currency","2018/01/19",6.86
"Currency","2018/01/18",6.86
"Currency","2018/01/17",6.85
"Currency","2018/01/16",6.86
"Currency","2018/01/15",6.86
"Currency","2018/01/12",6.86
"Currency","2018/01/11",6.86
"Currency","2018/01/10",6.86
"Currency","2018/01/09",6.86
"Currency","2018/01/08",6.86
"Currency","2018/01/05",6.86
"Currency","2018/01/04",6.86
"Currency","2018/01/03",6.86
"Currency","2018/01/02",6.86
"Currency","2017/12/29",6.86
"Currency","2017/12/28",6.86
"Currency","2017/12/27",6.86
"Currency","2017/12/26",6.86
"Currency","2017/12/25",6.86
"Currency","2017/12/22",6.86
"Currency","2017/12/21",6.85
"Currency","2017/12/20",6.86
"Currency","2017/12/19",6.86
"Currency","2017/12/18",6.85
"Currency","2017/12/15",6.86
"Currency","2017/12/14",6.86
"Currency","2017/12/13",6.86
"Currency","2017/12/12",6.86
"Currency","2017/12/11",6.86
"Currency","2017/12/08",6.86
"Currency","2017/12/07",6.86
"Currency","2017/12/06",6.85
"Currency","2017/12/05",6.86
"Currency","2017/12/04",6.86
"Currency","2017/12/01",6.86
"Currency","2017/11/30",6.85
"Currency","2017/11/29",6.85
"Currency","2017/11/28",6.86
"Currency","2017/11/27",6.86
"Currency","2017/11/24",6.86
"Currency","2017/11/23",6.85
"Currency","2017/11/22",6.85
"Currency","2017/11/21",6.85
"Currency","2017/11/20",6.86
