"Indicator","Time","Value (USD/CDF)"
"Currency","2018/06/08",1599.00
"Currency","2018/06/07",1597.00
"Currency","2018/06/06",1615.40
"Currency","2018/06/05",1597.00
"Currency","2018/06/04",1597.00
"Currency","2018/06/01",1597.00
"Currency","2018/05/31",1597.00
"Currency","2018/05/30",1614.70
"Currency","2018/05/29",1597.00
"Currency","2018/05/28",1597.00
"Currency","2018/05/25",1581.00
"Currency","2018/05/24",1597.00
"Currency","2018/05/23",1613.12
"Currency","2018/05/22",1613.10
"Currency","2018/05/21",1596.00
"Currency","2018/05/18",1596.00
"Currency","2018/05/17",1596.00
"Currency","2018/05/16",1596.00
"Currency","2018/05/15",1613.10
"Currency","2018/05/14",1613.10
"Currency","2018/05/11",1596.00
"Currency","2018/05/10",1596.00
"Currency","2018/05/09",1596.00
"Currency","2018/05/08",1596.00
"Currency","2018/05/07",1613.75
"Currency","2018/05/04",1598.00
"Currency","2018/05/03",1598.00
"Currency","2018/05/02",1598.00
"Currency","2018/05/01",1596.00
"Currency","2018/04/30",1596.00
"Currency","2018/04/27",1596.00
"Currency","2018/04/26",1596.00
"Currency","2018/04/25",1596.00
"Currency","2018/04/24",1596.00
"Currency","2018/04/23",1595.00
"Currency","2018/04/20",1595.00
"Currency","2018/04/19",1595.00
"Currency","2018/04/18",1594.00
"Currency","2018/04/17",1612.25
"Currency","2018/04/16",1594.00
"Currency","2018/04/13",1594.00
"Currency","2018/04/12",1594.00
"Currency","2018/04/11",1594.00
"Currency","2018/04/10",1594.00
"Currency","2018/04/09",1594.00
"Currency","2018/04/06",1594.00
"Currency","2018/04/05",1594.00
"Currency","2018/04/04",1594.00
"Currency","2018/04/03",1594.00
"Currency","2018/04/02",1595.00
"Currency","2018/03/30",1595.00
"Currency","2018/03/29",1595.00
"Currency","2018/03/28",1594.00
"Currency","2018/03/27",1594.00
"Currency","2018/03/26",1611.17
"Currency","2018/03/23",1594.00
"Currency","2018/03/22",1595.00
"Currency","2018/03/21",1595.00
"Currency","2018/03/20",1595.00
"Currency","2018/03/19",1595.00
"Currency","2018/03/16",1595.00
"Currency","2018/03/15",1595.00
"Currency","2018/03/14",1594.00
"Currency","2018/03/13",1610.26
"Currency","2018/03/12",1594.00
"Currency","2018/03/09",1594.00
"Currency","2018/03/08",1594.00
"Currency","2018/03/07",1594.00
"Currency","2018/03/06",1594.00
"Currency","2018/03/05",1594.00
"Currency","2018/03/02",1580.00
"Currency","2018/03/01",1610.95
"Currency","2018/02/28",1594.00
"Currency","2018/02/27",1594.00
"Currency","2018/02/26",1610.02
"Currency","2018/02/23",1609.90
"Currency","2018/02/22",1594.00
"Currency","2018/02/21",1594.00
"Currency","2018/02/20",1594.00
"Currency","2018/02/19",1608.80
"Currency","2018/02/16",1608.85
"Currency","2018/02/15",1594.00
"Currency","2018/02/14",1591.00
"Currency","2018/02/13",1591.00
"Currency","2018/02/12",1606.10
"Currency","2018/02/09",1605.98
"Currency","2018/02/08",1591.00
"Currency","2018/02/07",1586.00
"Currency","2018/02/06",1603.95
"Currency","2018/02/05",1586.00
"Currency","2018/02/02",1570.00
"Currency","2018/02/01",1599.95
"Currency","2018/01/31",1600.60
"Currency","2018/01/30",1586.00
"Currency","2018/01/29",1586.00
"Currency","2018/01/26",1597.77
"Currency","2018/01/25",1597.70
"Currency","2018/01/24",1586.00
"Currency","2018/01/23",1596.95
"Currency","2018/01/22",1586.00
"Currency","2018/01/19",1596.81
"Currency","2018/01/18",1586.00
"Currency","2018/01/17",1572.00
"Currency","2018/01/16",1593.70
"Currency","2018/01/15",1593.75
"Currency","2018/01/12",1593.49
"Currency","2018/01/11",1593.65
"Currency","2018/01/10",1593.90
"Currency","2018/01/09",1566.00
"Currency","2018/01/08",1566.00
"Currency","2018/01/05",1587.60
"Currency","2018/01/04",1565.00
"Currency","2018/01/03",1565.00
"Currency","2018/01/02",1558.00
"Currency","2017/12/29",1586.90
"Currency","2017/12/28",1558.00
"Currency","2017/12/27",1585.87
"Currency","2017/12/26",1557.00
"Currency","2017/12/22",1586.60
"Currency","2017/12/21",1585.89
"Currency","2017/12/20",1585.90
"Currency","2017/12/19",1556.00
"Currency","2017/12/18",1557.00
"Currency","2017/12/15",1585.78
"Currency","2017/12/14",1585.80
"Currency","2017/12/13",1586.15
"Currency","2017/12/12",1585.70
"Currency","2017/12/11",1585.65
"Currency","2017/12/08",1585.40
"Currency","2017/12/07",1585.90
"Currency","2017/12/06",1554.00
"Currency","2017/12/05",1583.85
"Currency","2017/12/04",1547.00
"Currency","2017/12/01",1581.25
"Currency","2017/11/30",1581.25
"Currency","2017/11/29",1547.00
"Currency","2017/11/28",1580.78
"Currency","2017/11/27",1578.21
"Currency","2017/11/24",1574.27
"Currency","2017/11/23",1547.00
"Currency","2017/11/22",1574.27
"Currency","2017/11/21",1574.47
"Currency","2017/11/20",1574.45
"Currency","2017/11/17",1572.50
"Currency","2017/11/16",1572.50
"Currency","2017/11/15",1540.00
"Currency","2017/11/14",1540.00
"Currency","2017/11/13",1572.95
"Currency","2017/11/10",1572.12
"Currency","2017/11/09",1540.00
"Currency","2017/11/08",1570.45
"Currency","2017/11/07",1540.00
"Currency","2017/11/06",1570.95
"Currency","2017/11/03",1570.85
"Currency","2017/11/02",1540.00
"Currency","2017/11/01",1565.50
"Currency","2017/10/31",1565.50
"Currency","2017/10/30",1535.00
"Currency","2017/10/27",1565.50
"Currency","2017/10/26",1565.50
"Currency","2017/10/25",1565.50
"Currency","2017/10/24",1565.50
"Currency","2017/10/23",1565.88
"Currency","2017/10/20",1565.50
"Currency","2017/10/19",1565.50
"Currency","2017/10/18",1565.50
"Currency","2017/10/17",1565.50
"Currency","2017/10/16",1560.00
"Currency","2017/10/14",1565.50
"Currency","2017/10/13",1565.50
"Currency","2017/10/12",1565.50
"Currency","2017/10/11",1564.47
"Currency","2017/10/10",1565.50
"Currency","2017/10/09",1564.90
"Currency","2017/10/07",1565.50
"Currency","2017/10/06",1565.50
"Currency","2017/10/05",1564.75
"Currency","2017/10/04",1565.50
"Currency","2017/10/03",1565.51
"Currency","2017/10/02",1563.02
"Currency","2017/09/29",1559.54
"Currency","2017/09/28",1559.24
"Currency","2017/09/27",1559.24
"Currency","2017/09/26",1541.00
