"Indicator","Time","Value (USD/COP)"
"Currency","2018/06/08",2855.55
"Currency","2018/06/07",2847.10
"Currency","2018/06/06",2829.90
"Currency","2018/06/05",2852.00
"Currency","2018/06/04",2859.76
"Currency","2018/06/01",2866.28
"Currency","2018/05/31",2889.70
"Currency","2018/05/30",2876.00
"Currency","2018/05/29",2905.15
"Currency","2018/05/28",2874.00
"Currency","2018/05/25",2875.00
"Currency","2018/05/24",2852.00
"Currency","2018/05/23",2873.25
"Currency","2018/05/22",2851.80
"Currency","2018/05/21",2875.00
"Currency","2018/05/18",2918.60
"Currency","2018/05/17",2903.90
"Currency","2018/05/16",2859.14
"Currency","2018/05/15",2874.10
"Currency","2018/05/14",2834.17
"Currency","2018/05/11",2834.17
"Currency","2018/05/10",2825.07
"Currency","2018/05/09",2861.86
"Currency","2018/05/08",2870.33
"Currency","2018/05/07",2820.10
"Currency","2018/05/04",2819.45
"Currency","2018/05/03",2857.61
"Currency","2018/05/02",2832.50
"Currency","2018/05/01",2800.39
"Currency","2018/04/30",2804.00
"Currency","2018/04/29",2804.21
"Currency","2018/04/27",2804.21
"Currency","2018/04/26",2816.01
"Currency","2018/04/25",2813.25
"Currency","2018/04/24",2782.60
"Currency","2018/04/23",2811.90
"Currency","2018/04/22",2758.84
"Currency","2018/04/20",2756.08
"Currency","2018/04/19",2732.00
"Currency","2018/04/18",2710.90
"Currency","2018/04/17",2725.45
"Currency","2018/04/16",2726.55
"Currency","2018/04/13",2711.05
"Currency","2018/04/12",2705.75
"Currency","2018/04/11",2720.80
"Currency","2018/04/10",2771.60
"Currency","2018/04/09",2775.00
"Currency","2018/04/06",2791.20
"Currency","2018/04/05",2790.00
"Currency","2018/04/04",2791.26
"Currency","2018/04/03",2777.80
"Currency","2018/04/02",2806.50
"Currency","2018/03/30",2790.00
"Currency","2018/03/29",2788.00
"Currency","2018/03/28",2791.31
"Currency","2018/03/27",2783.00
"Currency","2018/03/26",2800.70
"Currency","2018/03/23",2842.50
"Currency","2018/03/22",2858.50
"Currency","2018/03/21",2851.00
"Currency","2018/03/20",2870.00
"Currency","2018/03/19",2857.00
"Currency","2018/03/16",2855.50
"Currency","2018/03/15",2845.30
"Currency","2018/03/14",2842.00
"Currency","2018/03/13",2852.98
"Currency","2018/03/12",2845.00
"Currency","2018/03/09",2865.80
"Currency","2018/03/08",2875.00
"Currency","2018/03/07",2865.50
"Currency","2018/03/06",2853.00
"Currency","2018/03/05",2851.65
"Currency","2018/03/02",2866.00
"Currency","2018/03/01",2882.00
"Currency","2018/02/28",2865.50
"Currency","2018/02/27",2855.00
"Currency","2018/02/26",2839.00
"Currency","2018/02/23",2844.00
"Currency","2018/02/22",2858.00
"Currency","2018/02/21",2876.55
"Currency","2018/02/20",2859.50
"Currency","2018/02/19",2833.25
"Currency","2018/02/16",2834.00
"Currency","2018/02/15",2854.20
"Currency","2018/02/14",2868.00
"Currency","2018/02/13",2901.30
"Currency","2018/02/12",2888.90
"Currency","2018/02/09",2936.51
"Currency","2018/02/08",2886.00
"Currency","2018/02/07",2849.40
"Currency","2018/02/06",2828.75
"Currency","2018/02/05",2840.50
"Currency","2018/02/02",2839.00
"Currency","2018/02/01",2793.80
"Currency","2018/01/31",2829.40
"Currency","2018/01/30",2851.35
"Currency","2018/01/29",2835.93
"Currency","2018/01/26",2813.00
"Currency","2018/01/25",2789.30
"Currency","2018/01/24",2810.65
"Currency","2018/01/23",2852.21
"Currency","2018/01/22",2850.45
"Currency","2018/01/19",2843.10
"Currency","2018/01/18",2843.50
"Currency","2018/01/17",2838.45
"Currency","2018/01/16",2863.00
"Currency","2018/01/15",2859.55
"Currency","2018/01/12",2855.89
"Currency","2018/01/11",2853.11
"Currency","2018/01/10",2886.11
"Currency","2018/01/09",2907.90
"Currency","2018/01/08",2906.30
"Currency","2018/01/05",2905.30
"Currency","2018/01/04",2886.00
"Currency","2018/01/03",2901.76
"Currency","2018/01/02",2928.23
"Currency","2018/01/01",2982.00
"Currency","2017/12/29",2982.00
"Currency","2017/12/28",2981.00
"Currency","2017/12/27",2974.25
"Currency","2017/12/26",2958.43
"Currency","2017/12/25",2957.00
"Currency","2017/12/22",2957.00
"Currency","2017/12/21",2963.26
"Currency","2017/12/20",2959.00
"Currency","2017/12/19",2966.23
"Currency","2017/12/18",2975.01
"Currency","2017/12/15",2993.98
"Currency","2017/12/14",2992.01
"Currency","2017/12/13",3009.16
"Currency","2017/12/12",3025.17
"Currency","2017/12/11",3012.00
"Currency","2017/12/08",3009.00
"Currency","2017/12/07",3010.20
"Currency","2017/12/06",3005.99
"Currency","2017/12/05",2992.10
"Currency","2017/12/04",2988.00
"Currency","2017/12/01",2997.35
"Currency","2017/11/30",3011.99
"Currency","2017/11/29",3003.01
"Currency","2017/11/28",2992.21
"Currency","2017/11/27",3000.90
"Currency","2017/11/24",2978.83
"Currency","2017/11/23",2976.75
"Currency","2017/11/22",2973.02
"Currency","2017/11/21",2993.00
"Currency","2017/11/20",3008.00
"Currency","2017/11/17",2997.31
"Currency","2017/11/16",3011.49
"Currency","2017/11/15",3027.05
"Currency","2017/11/14",3012.92
"Currency","2017/11/13",3006.00
"Currency","2017/11/10",3007.00
"Currency","2017/11/09",3007.67
