"Indicator","Time","Value (USD/CRC)"
"Currency","2018/06/08",566.30
"Currency","2018/06/07",565.75
"Currency","2018/06/06",565.75
"Currency","2018/06/05",565.00
"Currency","2018/06/04",565.25
"Currency","2018/06/01",566.40
"Currency","2018/05/31",564.95
"Currency","2018/05/30",561.58
"Currency","2018/05/29",562.52
"Currency","2018/05/28",563.50
"Currency","2018/05/25",561.00
"Currency","2018/05/24",563.10
"Currency","2018/05/23",561.28
"Currency","2018/05/22",560.35
"Currency","2018/05/21",562.50
"Currency","2018/05/18",562.50
"Currency","2018/05/17",562.65
"Currency","2018/05/16",564.00
"Currency","2018/05/15",561.66
"Currency","2018/05/14",562.75
"Currency","2018/05/11",564.75
"Currency","2018/05/10",564.75
"Currency","2018/05/09",564.75
"Currency","2018/05/08",564.75
"Currency","2018/05/07",562.75
"Currency","2018/05/04",564.25
"Currency","2018/05/03",564.00
"Currency","2018/05/02",563.90
"Currency","2018/05/01",562.75
"Currency","2018/04/30",562.75
"Currency","2018/04/27",563.00
"Currency","2018/04/26",562.95
"Currency","2018/04/25",562.70
"Currency","2018/04/24",562.85
"Currency","2018/04/23",563.15
"Currency","2018/04/20",562.50
"Currency","2018/04/19",562.40
"Currency","2018/04/18",562.20
"Currency","2018/04/17",562.25
"Currency","2018/04/16",563.50
"Currency","2018/04/13",563.00
"Currency","2018/04/12",563.70
"Currency","2018/04/11",564.25
"Currency","2018/04/10",564.25
"Currency","2018/04/09",565.20
"Currency","2018/04/06",565.90
"Currency","2018/04/05",564.90
"Currency","2018/04/04",564.20
"Currency","2018/04/03",563.60
"Currency","2018/04/02",563.15
"Currency","2018/03/30",563.15
"Currency","2018/03/29",563.15
"Currency","2018/03/28",563.15
"Currency","2018/03/27",563.15
"Currency","2018/03/26",562.10
"Currency","2018/03/23",562.55
"Currency","2018/03/22",562.80
"Currency","2018/03/21",562.85
"Currency","2018/03/20",562.95
"Currency","2018/03/19",563.45
"Currency","2018/03/16",563.65
"Currency","2018/03/15",565.40
"Currency","2018/03/14",566.40
"Currency","2018/03/13",565.82
"Currency","2018/03/12",567.15
"Currency","2018/03/09",567.15
"Currency","2018/03/08",567.35
"Currency","2018/03/07",567.35
"Currency","2018/03/06",567.35
"Currency","2018/03/05",567.40
"Currency","2018/03/02",567.30
"Currency","2018/03/01",566.60
