"Indicator","Time","Value (USD/DZD)"
"Currency","2018/06/08",116.40
"Currency","2018/06/07",116.07
"Currency","2018/06/06",116.05
"Currency","2018/06/05",116.38
"Currency","2018/06/04",116.29
"Currency","2018/06/03",116.41
"Currency","2018/06/01",116.41
"Currency","2018/05/31",116.16
"Currency","2018/05/30",116.52
"Currency","2018/05/29",116.87
"Currency","2018/05/28",116.63
"Currency","2018/05/25",116.47
"Currency","2018/05/24",116.30
"Currency","2018/05/23",116.40
"Currency","2018/05/22",115.82
"Currency","2018/05/21",116.04
"Currency","2018/05/18",116.00
"Currency","2018/05/17",115.93
"Currency","2018/05/16",115.96
"Currency","2018/05/15",115.76
"Currency","2018/05/14",115.34
"Currency","2018/05/11",115.37
"Currency","2018/05/10",115.57
"Currency","2018/05/09",115.66
"Currency","2018/05/08",115.69
"Currency","2018/05/07",115.25
"Currency","2018/05/04",115.40
"Currency","2018/05/03",115.30
"Currency","2018/05/02",115.14
"Currency","2018/05/01",115.05
"Currency","2018/04/30",114.76
"Currency","2018/04/27",114.78
"Currency","2018/04/26",114.68
"Currency","2018/04/25",114.46
"Currency","2018/04/24",114.28
"Currency","2018/04/23",114.32
"Currency","2018/04/20",113.99
"Currency","2018/04/19",113.73
"Currency","2018/04/18",113.70
"Currency","2018/04/17",113.63
"Currency","2018/04/16",113.70
"Currency","2018/04/13",113.94
"Currency","2018/04/12",113.69
"Currency","2018/04/11",113.71
"Currency","2018/04/10",113.78
"Currency","2018/04/09",113.93
"Currency","2018/04/06",114.18
"Currency","2018/04/05",114.22
"Currency","2018/04/04",113.98
"Currency","2018/04/03",113.99
"Currency","2018/04/02",113.79
"Currency","2018/03/30",113.81
"Currency","2018/03/29",113.81
"Currency","2018/03/28",113.81
"Currency","2018/03/27",113.63
"Currency","2018/03/26",113.49
"Currency","2018/03/23",113.58
"Currency","2018/03/22",113.91
"Currency","2018/03/21",113.94
"Currency","2018/03/20",114.09
"Currency","2018/03/19",113.70
"Currency","2018/03/16",113.96
"Currency","2018/03/15",113.82
"Currency","2018/03/14",113.62
"Currency","2018/03/13",113.55
"Currency","2018/03/12",113.73
"Currency","2018/03/09",114.02
"Currency","2018/03/08",113.87
"Currency","2018/03/07",113.57
"Currency","2018/03/06",113.45
"Currency","2018/03/05",113.91
"Currency","2018/03/02",113.90
"Currency","2018/03/01",113.77
"Currency","2018/02/28",113.99
"Currency","2018/02/27",113.85
"Currency","2018/02/26",113.89
"Currency","2018/02/23",113.84
"Currency","2018/02/22",113.78
"Currency","2018/02/21",113.89
"Currency","2018/02/20",113.67
"Currency","2018/02/19",113.43
"Currency","2018/02/16",113.20
"Currency","2018/02/15",112.89
"Currency","2018/02/14",113.33
"Currency","2018/02/13",113.79
"Currency","2018/02/12",113.90
"Currency","2018/02/09",113.76
"Currency","2018/02/08",113.65
"Currency","2018/02/07",113.63
"Currency","2018/02/06",113.49
"Currency","2018/02/05",113.17
"Currency","2018/02/02",112.99
"Currency","2018/02/01",113.01
"Currency","2018/01/31",113.25
"Currency","2018/01/30",113.06
"Currency","2018/01/29",113.49
"Currency","2018/01/26",113.02
"Currency","2018/01/25",112.99
"Currency","2018/01/24",113.39
"Currency","2018/01/23",113.88
"Currency","2018/01/22",113.84
"Currency","2018/01/19",113.89
"Currency","2018/01/18",113.80
"Currency","2018/01/17",113.91
"Currency","2018/01/16",113.64
"Currency","2018/01/15",113.94
"Currency","2018/01/12",113.84
"Currency","2018/01/11",114.32
"Currency","2018/01/10",114.50
"Currency","2018/01/09",114.71
"Currency","2018/01/08",114.41
"Currency","2018/01/05",114.23
"Currency","2018/01/04",114.39
"Currency","2018/01/03",114.38
"Currency","2018/01/02",114.19
"Currency","2018/01/01",114.65
"Currency","2017/12/29",114.65
"Currency","2017/12/28",114.83
"Currency","2017/12/27",114.91
"Currency","2017/12/26",114.74
"Currency","2017/12/25",115.10
"Currency","2017/12/22",115.13
"Currency","2017/12/21",115.05
"Currency","2017/12/20",115.07
"Currency","2017/12/19",115.13
"Currency","2017/12/18",115.11
"Currency","2017/12/15",114.88
"Currency","2017/12/14",115.11
"Currency","2017/12/13",115.29
"Currency","2017/12/12",115.11
"Currency","2017/12/11",114.94
"Currency","2017/12/08",115.34
"Currency","2017/12/07",114.80
"Currency","2017/12/06",114.70
"Currency","2017/12/05",114.57
"Currency","2017/12/04",114.45
"Currency","2017/12/01",114.38
"Currency","2017/11/30",114.84
"Currency","2017/11/29",114.92
"Currency","2017/11/28",114.46
"Currency","2017/11/27",114.12
"Currency","2017/11/24",114.13
"Currency","2017/11/23",114.61
"Currency","2017/11/22",114.58
"Currency","2017/11/21",114.66
"Currency","2017/11/20",114.76
"Currency","2017/11/17",114.45
"Currency","2017/11/16",114.61
"Currency","2017/11/15",114.23
"Currency","2017/11/14",114.46
"Currency","2017/11/13",114.74
"Currency","2017/11/10",114.97
"Currency","2017/11/09",114.84
"Currency","2017/11/08",115.00
"Currency","2017/11/07",115.28
"Currency","2017/11/06",115.20
"Currency","2017/11/03",115.10
"Currency","2017/11/02",115.00
"Currency","2017/11/01",114.98
"Currency","2017/10/31",114.99
"Currency","2017/10/30",115.07
"Currency","2017/10/27",114.95
"Currency","2017/10/26",114.85
"Currency","2017/10/25",113.99
"Currency","2017/10/24",114.07
"Currency","2017/10/23",114.24
"Currency","2017/10/20",113.99
"Currency","2017/10/19",114.01
"Currency","2017/10/18",114.11
"Currency","2017/10/17",113.94
"Currency","2017/10/16",113.61
"Currency","2017/10/13",113.71
"Currency","2017/10/12",113.30
"Currency","2017/10/11",113.32
"Currency","2017/10/10",112.94
"Currency","2017/10/09",113.52
"Currency","2017/10/06",113.53
"Currency","2017/10/05",113.30
"Currency","2017/10/04",113.17
"Currency","2017/10/03",112.87
"Currency","2017/10/02",113.16
"Currency","2017/09/29",112.99
"Currency","2017/09/28",113.03
"Currency","2017/09/27",113.25
"Currency","2017/09/26",112.75
"Currency","2017/09/25",112.40
"Currency","2017/09/22",112.02
"Currency","2017/09/21",112.00
"Currency","2017/09/20",111.41
"Currency","2017/09/19",111.17
"Currency","2017/09/18",111.05
"Currency","2017/09/16",110.96
"Currency","2017/09/15",110.96
"Currency","2017/09/14",111.18
"Currency","2017/09/13",111.14
"Currency","2017/09/12",110.76
"Currency","2017/09/11",110.75
"Currency","2017/09/08",110.49
"Currency","2017/09/07",110.54
"Currency","2017/09/06",110.78
"Currency","2017/09/05",110.84
"Currency","2017/09/04",110.90
"Currency","2017/09/01",110.99
"Currency","2017/08/31",110.94
"Currency","2017/08/30",110.56
"Currency","2017/08/29",109.90
"Currency","2017/08/28",109.53
"Currency","2017/08/25",109.48
"Currency","2017/08/24",109.73
"Currency","2017/08/23",109.43
"Currency","2017/08/22",109.74
"Currency","2017/08/21",109.73
"Currency","2017/08/18",109.60
"Currency","2017/08/17",109.75
"Currency","2017/08/16",109.43
"Currency","2017/08/15",109.70
"Currency","2017/08/14",109.27
"Currency","2017/08/12",109.39
"Currency","2017/08/11",109.39
"Currency","2017/08/10",109.31
"Currency","2017/08/09",109.55
"Currency","2017/08/08",109.30
"Currency","2017/08/07",108.98
"Currency","2017/08/04",108.20
"Currency","2017/08/03",108.10
"Currency","2017/08/02",108.13
"Currency","2017/08/01",108.18
"Currency","2017/07/31",108.10
"Currency","2017/07/28",108.28
"Currency","2017/07/27",108.29
"Currency","2017/07/26",108.66
"Currency","2017/07/25",108.64
"Currency","2017/07/24",108.77
"Currency","2017/07/21",108.85
"Currency","2017/07/20",108.36
"Currency","2017/07/19",108.84
"Currency","2017/07/18",108.75
"Currency","2017/07/17",108.76
"Currency","2017/07/14",108.84
"Currency","2017/07/13",108.93
"Currency","2017/07/12",109.07
"Currency","2017/07/11",109.05
"Currency","2017/07/10",108.00
"Currency","2017/07/08",107.89
"Currency","2017/07/07",107.89
"Currency","2017/07/06",107.80
"Currency","2017/07/05",107.98
"Currency","2017/07/04",107.83
"Currency","2017/07/03",107.42
"Currency","2017/07/01",107.59
"Currency","2017/06/30",107.59
"Currency","2017/06/29",107.93
"Currency","2017/06/28",107.70
"Currency","2017/06/27",108.30
"Currency","2017/06/26",108.42
"Currency","2017/06/24",108.17
"Currency","2017/06/23",108.17
"Currency","2017/06/22",108.36
"Currency","2017/06/21",108.46
"Currency","2017/06/20",108.23
"Currency","2017/06/19",108.33
"Currency","2017/06/17",108.48
"Currency","2017/06/16",108.48
"Currency","2017/06/15",107.91
"Currency","2017/06/14",108.26
"Currency","2017/06/13",108.27
"Currency","2017/06/12",108.05
"Currency","2017/06/09",108.00
"Currency","2017/06/08",107.97
"Currency","2017/06/07",107.91
"Currency","2017/06/06",108.07
"Currency","2017/06/05",108.14
"Currency","2017/06/02",108.25
"Currency","2017/06/01",108.20
"Currency","2017/05/31",108.37
"Currency","2017/05/30",108.42
"Currency","2017/05/29",108.08
"Currency","2017/05/26",108.19
"Currency","2017/05/25",108.28
"Currency","2017/05/24",108.23
"Currency","2017/05/23",108.09
"Currency","2017/05/22",108.10
"Currency","2017/05/20",108.28
"Currency","2017/05/19",108.10
"Currency","2017/05/18",108.51
"Currency","2017/05/17",108.30
"Currency","2017/05/15",108.96
"Currency","2017/05/12",109.27
"Currency","2017/05/11",109.22
"Currency","2017/05/10",109.26
"Currency","2017/05/09",109.23
"Currency","2017/05/08",109.01
"Currency","2017/05/05",109.05
"Currency","2017/05/04",109.05
"Currency","2017/05/03",108.91
"Currency","2017/05/02",109.11
"Currency","2017/05/01",109.13
"Currency","2017/04/28",108.99
"Currency","2017/04/27",109.00
"Currency","2017/04/26",108.83
"Currency","2017/04/21",109.57
"Currency","2017/04/20",109.37
"Currency","2017/04/19",109.52
"Currency","2017/04/18",109.74
"Currency","2017/04/17",109.74
"Currency","2017/04/14",110.13
"Currency","2017/04/13",110.02
"Currency","2017/04/12",109.93
"Currency","2017/04/11",110.07
"Currency","2017/04/10",110.03
"Currency","2017/04/07",110.14
"Currency","2017/04/06",109.76
"Currency","2017/04/05",109.70
"Currency","2017/04/04",109.77
"Currency","2017/04/03",109.65
"Currency","2017/03/31",109.69
"Currency","2017/03/30",109.35
"Currency","2017/03/29",109.43
"Currency","2017/03/28",108.93
"Currency","2017/03/27",109.03
"Currency","2017/03/24",109.10
"Currency","2017/03/23",108.99
"Currency","2017/03/22",108.93
"Currency","2017/03/21",108.95
"Currency","2017/03/20",109.13
"Currency","2017/03/17",109.10
"Currency","2017/03/16",109.16
"Currency","2017/03/15",109.70
"Currency","2017/03/14",109.90
"Currency","2017/03/13",109.67
"Currency","2017/03/10",109.48
"Currency","2017/03/09",110.02
"Currency","2017/03/08",109.90
"Currency","2017/03/07",109.92
"Currency","2017/03/06",109.81
"Currency","2017/03/03",109.92
"Currency","2017/03/02",110.29
"Currency","2017/03/01",110.24
"Currency","2017/02/28",109.64
"Currency","2017/02/27",109.93
"Currency","2017/02/24",110.21
"Currency","2017/02/23",109.96
"Currency","2017/02/22",110.05
"Currency","2017/02/21",109.95
"Currency","2017/02/20",109.74
"Currency","2017/02/17",109.52
"Currency","2017/02/16",109.51
"Currency","2017/02/15",109.97
"Currency","2017/02/14",109.59
"Currency","2017/02/13",109.54
"Currency","2017/02/10",109.77
"Currency","2017/02/09",109.28
"Currency","2017/02/08",109.43
"Currency","2017/02/07",109.39
"Currency","2017/02/06",109.13
"Currency","2017/02/03",109.26
"Currency","2017/02/02",108.69
"Currency","2017/02/01",109.01
"Currency","2017/01/31",109.20
"Currency","2017/01/30",109.54
"Currency","2017/01/27",109.55
"Currency","2017/01/26",109.43
"Currency","2017/01/25",109.15
"Currency","2017/01/24",109.07
"Currency","2017/01/23",109.19
"Currency","2017/01/20",109.53
"Currency","2017/01/19",109.55
"Currency","2017/01/18",109.68
"Currency","2017/01/17",109.32
"Currency","2017/01/16",109.90
"Currency","2017/01/13",110.01
"Currency","2017/01/12",109.43
"Currency","2017/01/11",110.22
"Currency","2017/01/10",109.91
"Currency","2017/01/09",110.20
"Currency","2017/01/06",110.08
"Currency","2017/01/05",109.95
"Currency","2017/01/04",110.41
"Currency","2017/01/03",110.52
"Currency","2017/01/02",110.30
"Currency","2016/12/30",110.17
"Currency","2016/12/29",110.51
"Currency","2016/12/28",110.72
"Currency","2016/12/27",110.76
"Currency","2016/12/26",110.64
"Currency","2016/12/23",110.89
"Currency","2016/12/22",110.96
"Currency","2016/12/21",110.87
"Currency","2016/12/20",111.10
"Currency","2016/12/19",110.90
"Currency","2016/12/16",111.08
"Currency","2016/12/15",110.92
"Currency","2016/12/14",110.17
"Currency","2016/12/13",110.28
"Currency","2016/12/12",110.63
"Currency","2016/12/10",110.72
"Currency","2016/12/09",110.72
"Currency","2016/12/08",110.90
"Currency","2016/12/07",109.89
"Currency","2016/12/06",110.05
"Currency","2016/12/05",109.93
"Currency","2016/12/02",110.47
"Currency","2016/12/01",110.43
"Currency","2016/11/30",110.25
"Currency","2016/11/29",110.45
"Currency","2016/11/28",110.48
"Currency","2016/11/26",110.54
"Currency","2016/11/25",110.54
"Currency","2016/11/24",110.67
"Currency","2016/11/23",110.67
"Currency","2016/11/22",111.01
"Currency","2016/11/21",110.82
"Currency","2016/11/19",110.65
"Currency","2016/11/18",110.65
"Currency","2016/11/17",110.70
"Currency","2016/11/16",110.83
"Currency","2016/11/15",111.01
"Currency","2016/11/14",110.75
"Currency","2016/11/12",110.25
"Currency","2016/11/11",110.25
"Currency","2016/11/10",110.24
"Currency","2016/11/09",110.05
"Currency","2016/11/08",109.68
"Currency","2016/11/07",110.00
"Currency","2016/11/04",109.35
"Currency","2016/11/03",109.40
"Currency","2016/11/02",109.30
"Currency","2016/11/01",109.50
"Currency","2016/10/31",109.65
"Currency","2016/10/28",109.65
"Currency","2016/10/27",109.77
"Currency","2016/10/26",109.65
"Currency","2016/10/25",109.76
"Currency","2016/10/24",109.80
"Currency","2016/10/21",110.05
"Currency","2016/10/20",110.54
"Currency","2016/10/19",110.42
"Currency","2016/10/18",110.41
"Currency","2016/10/17",110.32
"Currency","2016/10/14",110.50
"Currency","2016/10/13",110.33
"Currency","2016/10/12",110.46
"Currency","2016/10/11",110.30
"Currency","2016/10/10",109.92
"Currency","2016/10/07",109.94
"Currency","2016/10/06",110.06
"Currency","2016/10/05",109.69
"Currency","2016/10/04",109.72
"Currency","2016/10/03",109.63
"Currency","2016/09/30",109.62
"Currency","2016/09/29",109.57
"Currency","2016/09/28",109.61
"Currency","2016/09/27",109.60
"Currency","2016/09/26",109.13
"Currency","2016/09/24",108.76
"Currency","2016/09/23",109.55
"Currency","2016/09/22",109.31
"Currency","2016/09/21",109.38
"Currency","2016/09/20",109.51
"Currency","2016/09/19",109.41
"Currency","2016/09/17",108.77
"Currency","2016/09/16",109.31
"Currency","2016/09/15",109.11
"Currency","2016/09/14",109.09
"Currency","2016/09/13",109.18
"Currency","2016/09/12",109.13
"Currency","2016/09/10",108.38
"Currency","2016/09/09",109.17
"Currency","2016/09/08",108.92
"Currency","2016/09/07",109.14
"Currency","2016/09/06",109.11
"Currency","2016/09/05",109.40
"Currency","2016/09/03",109.00
"Currency","2016/09/02",109.00
"Currency","2016/09/01",109.18
"Currency","2016/08/31",109.17
"Currency","2016/08/30",109.08
"Currency","2016/08/29",109.00
"Currency","2016/08/26",108.39
"Currency","2016/08/25",108.59
"Currency","2016/08/24",109.06
"Currency","2016/08/23",108.81
"Currency","2016/08/22",108.78
"Currency","2016/08/19",108.69
"Currency","2016/08/18",108.62
"Currency","2016/08/17",108.89
"Currency","2016/08/16",108.89
"Currency","2016/08/15",109.71
"Currency","2016/08/12",109.81
"Currency","2016/08/11",109.85
"Currency","2016/08/10",109.70
"Currency","2016/08/09",110.07
"Currency","2016/08/08",110.24
"Currency","2016/08/05",110.21
"Currency","2016/08/04",110.02
"Currency","2016/08/03",110.05
"Currency","2016/08/02",109.74
"Currency","2016/08/01",109.93
"Currency","2016/07/29",110.19
"Currency","2016/07/28",110.50
"Currency","2016/07/27",110.62
"Currency","2016/07/26",110.86
"Currency","2016/07/25",110.84
"Currency","2016/07/22",110.78
"Currency","2016/07/21",110.66
"Currency","2016/07/20",110.73
"Currency","2016/07/19",110.78
"Currency","2016/07/18",110.62
"Currency","2016/07/15",110.57
"Currency","2016/07/14",110.45
"Currency","2016/07/13",110.55
"Currency","2016/07/12",110.61
"Currency","2016/07/11",110.69
"Currency","2016/07/08",110.50
"Currency","2016/07/07",110.42
"Currency","2016/07/06",110.49
"Currency","2016/07/05",110.53
"Currency","2016/07/04",110.21
"Currency","2016/07/01",110.24
"Currency","2016/06/30",110.31
"Currency","2016/06/29",110.29
"Currency","2016/06/28",110.56
"Currency","2016/06/27",110.83
"Currency","2016/06/24",110.47
"Currency","2016/06/23",109.57
"Currency","2016/06/22",109.86
"Currency","2016/06/21",110.01
"Currency","2016/06/20",109.66
"Currency","2016/06/17",110.04
"Currency","2016/06/16",110.30
"Currency","2016/06/15",110.07
"Currency","2016/06/14",110.33
