"Indicator","Time","Value (USD/EGP)"
"Currency","2018/06/09",17.82
"Currency","2018/06/08",17.85
"Currency","2018/06/07",17.82
"Currency","2018/06/06",17.84
"Currency","2018/06/05",17.85
"Currency","2018/06/04",17.85
"Currency","2018/06/03",17.85
"Currency","2018/06/02",17.85
"Currency","2018/06/01",17.90
"Currency","2018/05/31",17.86
"Currency","2018/05/30",17.87
"Currency","2018/05/29",17.87
"Currency","2018/05/28",17.86
"Currency","2018/05/27",17.87
"Currency","2018/05/26",17.87
"Currency","2018/05/25",17.92
"Currency","2018/05/24",17.87
"Currency","2018/05/23",17.86
"Currency","2018/05/22",17.87
"Currency","2018/05/21",17.86
"Currency","2018/05/20",17.76
"Currency","2018/05/19",17.76
"Currency","2018/05/18",17.76
"Currency","2018/05/17",17.76
"Currency","2018/05/16",17.83
"Currency","2018/05/15",17.78
"Currency","2018/05/14",17.78
"Currency","2018/05/13",17.76
"Currency","2018/05/12",17.75
"Currency","2018/05/11",17.65
"Currency","2018/05/10",17.65
"Currency","2018/05/09",17.74
"Currency","2018/05/08",17.66
"Currency","2018/05/07",17.67
"Currency","2018/05/06",17.63
"Currency","2018/05/05",17.58
"Currency","2018/05/04",17.58
"Currency","2018/05/03",17.58
"Currency","2018/05/02",17.60
"Currency","2018/05/01",17.63
"Currency","2018/04/30",17.63
"Currency","2018/04/29",17.63
"Currency","2018/04/28",17.66
"Currency","2018/04/27",17.66
"Currency","2018/04/26",17.66
"Currency","2018/04/25",17.67
"Currency","2018/04/24",17.67
"Currency","2018/04/23",17.64
"Currency","2018/04/22",17.64
"Currency","2018/04/21",17.66
"Currency","2018/04/20",17.66
"Currency","2018/04/19",17.63
"Currency","2018/04/18",17.66
"Currency","2018/04/17",17.66
"Currency","2018/04/16",17.65
"Currency","2018/04/15",17.64
"Currency","2018/04/14",17.56
"Currency","2018/04/13",17.56
"Currency","2018/04/12",17.56
"Currency","2018/04/11",17.60
"Currency","2018/04/10",17.63
"Currency","2018/04/09",17.64
"Currency","2018/04/08",17.64
"Currency","2018/04/07",17.64
"Currency","2018/04/06",17.64
"Currency","2018/04/05",17.64
"Currency","2018/04/04",17.64
"Currency","2018/04/03",17.55
"Currency","2018/04/02",17.60
"Currency","2018/04/01",17.64
"Currency","2018/03/31",17.58
"Currency","2018/03/30",17.58
"Currency","2018/03/29",17.58
"Currency","2018/03/28",17.60
"Currency","2018/03/27",17.59
"Currency","2018/03/26",17.62
"Currency","2018/03/25",17.58
"Currency","2018/03/24",17.59
"Currency","2018/03/23",17.59
"Currency","2018/03/22",17.59
"Currency","2018/03/21",17.58
"Currency","2018/03/20",17.58
"Currency","2018/03/19",17.58
"Currency","2018/03/18",17.58
"Currency","2018/03/17",17.58
"Currency","2018/03/16",17.54
"Currency","2018/03/15",17.58
"Currency","2018/03/14",17.59
"Currency","2018/03/13",17.59
"Currency","2018/03/12",17.58
"Currency","2018/03/11",17.56
"Currency","2018/03/10",17.58
"Currency","2018/03/09",17.58
"Currency","2018/03/08",17.58
"Currency","2018/03/07",17.58
"Currency","2018/03/06",17.58
"Currency","2018/03/05",17.57
"Currency","2018/03/04",17.59
"Currency","2018/03/03",17.59
"Currency","2018/03/02",17.59
"Currency","2018/03/01",17.59
"Currency","2018/02/28",17.61
"Currency","2018/02/27",17.61
"Currency","2018/02/26",17.64
"Currency","2018/02/25",17.58
"Currency","2018/02/24",17.64
"Currency","2018/02/23",17.64
"Currency","2018/02/22",17.64
"Currency","2018/02/21",17.65
"Currency","2018/02/20",17.66
"Currency","2018/02/19",17.59
"Currency","2018/02/18",17.60
"Currency","2018/02/17",17.60
"Currency","2018/02/16",17.60
"Currency","2018/02/15",17.60
"Currency","2018/02/14",17.66
"Currency","2018/02/13",17.66
"Currency","2018/02/12",17.69
"Currency","2018/02/11",17.65
"Currency","2018/02/10",17.65
"Currency","2018/02/09",17.65
"Currency","2018/02/08",17.65
"Currency","2018/02/07",17.63
"Currency","2018/02/06",17.60
"Currency","2018/02/05",17.62
"Currency","2018/02/04",17.62
"Currency","2018/02/03",17.63
"Currency","2018/02/02",17.63
"Currency","2018/02/01",17.63
"Currency","2018/01/31",17.63
"Currency","2018/01/30",17.63
"Currency","2018/01/29",17.63
"Currency","2018/01/28",17.66
"Currency","2018/01/27",17.66
"Currency","2018/01/26",17.64
"Currency","2018/01/25",17.64
"Currency","2018/01/24",17.64
"Currency","2018/01/23",17.67
"Currency","2018/01/22",17.70
"Currency","2018/01/21",17.69
"Currency","2018/01/20",17.67
"Currency","2018/01/19",17.67
"Currency","2018/01/18",17.67
"Currency","2018/01/17",17.67
"Currency","2018/01/16",17.69
"Currency","2018/01/15",17.68
"Currency","2018/01/14",17.67
"Currency","2018/01/13",17.66
"Currency","2018/01/12",17.66
"Currency","2018/01/11",17.66
"Currency","2018/01/10",17.68
"Currency","2018/01/09",17.65
"Currency","2018/01/08",17.64
"Currency","2018/01/07",17.66
"Currency","2018/01/06",17.66
"Currency","2018/01/05",17.66
"Currency","2018/01/04",17.66
"Currency","2018/01/03",17.66
"Currency","2018/01/02",17.69
"Currency","2017/12/29",17.78
"Currency","2017/12/28",17.81
"Currency","2017/12/27",17.82
"Currency","2017/12/26",17.81
"Currency","2017/12/25",17.85
"Currency","2017/12/24",17.85
"Currency","2017/12/22",17.86
"Currency","2017/12/21",17.87
"Currency","2017/12/20",17.87
"Currency","2017/12/19",17.87
"Currency","2017/12/18",17.86
"Currency","2017/12/15",17.87
"Currency","2017/12/14",17.86
