"Indicator","Time","Value (USD/ETB)"
"Currency","2018/06/08",27.25
"Currency","2018/06/08",27.25
"Currency","2018/06/07",27.25
"Currency","2018/06/07",27.25
"Currency","2018/06/06",27.25
"Currency","2018/06/06",27.25
"Currency","2018/06/05",27.25
"Currency","2018/06/05",27.25
"Currency","2018/06/04",27.25
"Currency","2018/06/04",27.25
"Currency","2018/06/01",27.25
"Currency","2018/06/01",27.25
"Currency","2018/05/31",27.25
"Currency","2018/05/31",27.25
"Currency","2018/05/30",27.25
"Currency","2018/05/30",27.25
"Currency","2018/05/29",27.25
"Currency","2018/05/29",27.25
"Currency","2018/05/28",27.25
"Currency","2018/05/28",27.25
"Currency","2018/05/25",27.25
"Currency","2018/05/25",27.25
"Currency","2018/05/24",27.25
"Currency","2018/05/24",27.25
"Currency","2018/05/23",27.20
"Currency","2018/05/23",27.20
"Currency","2018/05/22",27.25
"Currency","2018/05/22",27.25
"Currency","2018/05/21",27.25
"Currency","2018/05/21",27.25
"Currency","2018/05/18",27.25
"Currency","2018/05/18",27.25
"Currency","2018/05/17",27.26
"Currency","2018/05/17",27.26
"Currency","2018/05/16",27.25
"Currency","2018/05/16",27.25
"Currency","2018/05/15",27.25
"Currency","2018/05/15",27.25
"Currency","2018/05/14",27.15
"Currency","2018/05/14",27.15
"Currency","2018/05/11",27.25
"Currency","2018/05/11",27.25
"Currency","2018/05/10",27.25
"Currency","2018/05/10",27.25
"Currency","2018/05/09",27.25
"Currency","2018/05/09",27.25
"Currency","2018/05/08",27.25
"Currency","2018/05/08",27.25
"Currency","2018/05/07",27.25
"Currency","2018/05/07",27.25
"Currency","2018/05/04",27.25
"Currency","2018/05/04",27.25
"Currency","2018/05/03",27.25
"Currency","2018/05/03",27.25
"Currency","2018/05/02",27.25
"Currency","2018/05/02",27.25
"Currency","2018/05/01",27.25
"Currency","2018/05/01",27.25
"Currency","2018/04/30",27.25
"Currency","2018/04/30",27.25
"Currency","2018/04/27",27.25
"Currency","2018/04/27",27.25
"Currency","2018/04/26",27.24
"Currency","2018/04/26",27.24
"Currency","2018/04/25",27.24
"Currency","2018/04/25",27.24
"Currency","2018/04/24",27.24
"Currency","2018/04/24",27.24
"Currency","2018/04/23",27.24
"Currency","2018/04/23",27.24
"Currency","2018/04/20",27.24
"Currency","2018/04/20",27.24
"Currency","2018/04/19",27.24
"Currency","2018/04/19",27.24
"Currency","2018/04/18",27.24
"Currency","2018/04/18",27.24
"Currency","2018/04/17",27.24
"Currency","2018/04/17",27.24
"Currency","2018/04/16",27.24
"Currency","2018/04/16",27.24
"Currency","2018/04/13",27.24
"Currency","2018/04/13",27.24
"Currency","2018/04/12",27.24
"Currency","2018/04/12",27.24
"Currency","2018/04/11",27.24
"Currency","2018/04/11",27.24
"Currency","2018/04/10",27.24
"Currency","2018/04/10",27.24
"Currency","2018/04/09",27.24
"Currency","2018/04/09",27.24
"Currency","2018/04/06",27.24
"Currency","2018/04/06",27.24
"Currency","2018/04/05",27.24
"Currency","2018/04/05",27.24
"Currency","2018/04/04",27.24
"Currency","2018/04/04",27.24
"Currency","2018/04/03",27.24
"Currency","2018/04/03",27.24
"Currency","2018/04/02",27.24
"Currency","2018/04/02",27.24
"Currency","2018/03/30",27.24
"Currency","2018/03/30",27.24
"Currency","2018/03/29",27.24
"Currency","2018/03/29",27.24
"Currency","2018/03/28",27.24
