"Indicator","Time","Value (USD/GMD)"
"Currency","2018/06/09",46.95
"Currency","2018/06/08",46.95
"Currency","2018/06/07",47.50
"Currency","2018/06/06",47.50
"Currency","2018/06/05",47.45
"Currency","2018/06/04",47.45
"Currency","2018/06/02",46.90
"Currency","2018/06/01",46.90
"Currency","2018/05/31",47.45
"Currency","2018/05/30",46.55
"Currency","2018/05/29",47.15
"Currency","2018/05/28",47.02
"Currency","2018/05/26",46.88
"Currency","2018/05/25",46.83
"Currency","2018/05/24",47.45
"Currency","2018/05/23",47.45
"Currency","2018/05/22",46.77
"Currency","2018/05/21",47.45
"Currency","2018/05/20",47.48
"Currency","2018/05/19",47.48
"Currency","2018/05/18",47.45
"Currency","2018/05/17",47.45
"Currency","2018/05/16",47.45
"Currency","2018/05/15",47.27
"Currency","2018/05/14",47.37
"Currency","2018/05/13",47.45
"Currency","2018/05/12",47.40
"Currency","2018/05/11",47.45
"Currency","2018/05/10",47.45
"Currency","2018/05/09",47.45
"Currency","2018/05/08",47.45
"Currency","2018/05/07",46.78
"Currency","2018/05/06",47.45
"Currency","2018/05/05",46.82
"Currency","2018/05/04",47.45
"Currency","2018/05/03",47.45
"Currency","2018/05/02",47.45
"Currency","2018/05/01",47.45
"Currency","2018/04/30",47.45
"Currency","2018/04/29",47.45
"Currency","2018/04/28",46.97
"Currency","2018/04/27",47.45
"Currency","2018/04/26",47.45
"Currency","2018/04/25",47.45
"Currency","2018/04/24",47.45
"Currency","2018/04/23",47.45
"Currency","2018/04/22",47.45
"Currency","2018/04/21",47.45
"Currency","2018/04/20",47.45
"Currency","2018/04/19",47.45
"Currency","2018/04/18",47.45
"Currency","2018/04/17",47.45
"Currency","2018/04/16",47.45
"Currency","2018/04/15",46.60
"Currency","2018/04/14",47.45
"Currency","2018/04/13",47.45
"Currency","2018/04/12",47.45
"Currency","2018/04/11",47.45
"Currency","2018/04/10",47.45
"Currency","2018/04/09",47.45
"Currency","2018/04/08",47.45
"Currency","2018/04/07",46.77
"Currency","2018/04/06",47.45
"Currency","2018/04/05",47.45
"Currency","2018/04/04",47.40
"Currency","2018/04/03",47.40
"Currency","2018/04/02",47.40
"Currency","2018/04/01",46.79
"Currency","2018/03/31",46.79
"Currency","2018/03/30",47.40
"Currency","2018/03/29",47.40
"Currency","2018/03/28",47.40
"Currency","2018/03/27",47.40
"Currency","2018/03/26",46.77
"Currency","2018/03/25",46.80
"Currency","2018/03/24",46.80
"Currency","2018/03/23",47.40
"Currency","2018/03/22",47.40
"Currency","2018/03/21",47.40
"Currency","2018/03/20",47.40
"Currency","2018/03/19",47.40
"Currency","2018/03/18",46.35
"Currency","2018/03/17",46.35
"Currency","2018/03/16",47.40
"Currency","2018/03/15",47.40
"Currency","2018/03/14",47.40
"Currency","2018/03/13",47.39
"Currency","2018/03/12",47.40
"Currency","2018/03/11",47.48
"Currency","2018/03/10",47.48
"Currency","2018/03/09",47.40
"Currency","2018/03/08",47.40
"Currency","2018/03/07",47.40
"Currency","2018/03/06",47.40
"Currency","2018/03/05",47.40
"Currency","2018/03/04",46.80
"Currency","2018/03/03",46.80
"Currency","2018/03/02",46.80
"Currency","2018/03/01",47.40
"Currency","2018/02/28",47.40
"Currency","2018/02/27",47.40
"Currency","2018/02/26",46.30
"Currency","2018/02/25",47.27
"Currency","2018/02/24",47.27
"Currency","2018/02/23",47.27
"Currency","2018/02/22",47.35
"Currency","2018/02/21",47.40
"Currency","2018/02/20",47.40
"Currency","2018/02/19",47.44
"Currency","2018/02/18",47.39
"Currency","2018/02/17",47.39
"Currency","2018/02/16",47.39
"Currency","2018/02/15",47.40
"Currency","2018/02/14",47.40
"Currency","2018/02/13",47.50
"Currency","2018/02/12",47.48
"Currency","2018/02/11",47.47
"Currency","2018/02/10",46.79
"Currency","2018/02/09",47.47
"Currency","2018/02/08",47.50
