"Indicator","Time","Value (USD/GNF)"
"Currency","2018/06/08",9005.00
"Currency","2018/06/07",9005.00
"Currency","2018/06/06",9005.00
"Currency","2018/06/05",9000.00
"Currency","2018/06/04",8953.00
"Currency","2018/06/01",9000.00
"Currency","2018/05/31",8996.00
"Currency","2018/05/30",8997.00
"Currency","2018/05/29",8984.01
"Currency","2018/05/28",8990.00
"Currency","2018/05/25",9002.00
"Currency","2018/05/24",9002.00
"Currency","2018/05/23",8980.01
"Currency","2018/05/22",8916.15
"Currency","2018/05/21",8999.00
"Currency","2018/05/18",9000.00
"Currency","2018/05/17",9000.00
"Currency","2018/05/16",8993.00
"Currency","2018/05/15",8985.01
"Currency","2018/05/14",8985.01
"Currency","2018/05/11",8994.00
"Currency","2018/05/10",9002.00
"Currency","2018/05/09",9004.00
"Currency","2018/05/08",9003.00
"Currency","2018/05/07",8999.00
"Currency","2018/05/04",9000.00
"Currency","2018/05/03",9002.00
"Currency","2018/05/02",9002.00
"Currency","2018/05/01",9002.00
"Currency","2018/04/30",8993.00
"Currency","2018/04/27",9001.00
"Currency","2018/04/26",9001.00
"Currency","2018/04/25",8998.00
"Currency","2018/04/24",9000.00
"Currency","2018/04/23",8991.00
"Currency","2018/04/20",9000.00
"Currency","2018/04/19",8998.00
"Currency","2018/04/18",9000.00
"Currency","2018/04/17",8997.00
"Currency","2018/04/16",9000.00
"Currency","2018/04/13",9000.00
"Currency","2018/04/12",9001.00
"Currency","2018/04/11",9001.00
"Currency","2018/04/10",8985.00
"Currency","2018/04/09",9005.00
"Currency","2018/04/06",9005.00
"Currency","2018/04/05",9005.00
"Currency","2018/04/04",9000.00
"Currency","2018/04/03",8995.00
"Currency","2018/04/02",8995.00
"Currency","2018/03/30",8995.00
"Currency","2018/03/29",8995.00
"Currency","2018/03/28",9001.00
"Currency","2018/03/27",9001.00
"Currency","2018/03/26",9001.00
"Currency","2018/03/23",9003.00
"Currency","2018/03/22",9003.00
"Currency","2018/03/21",9002.00
"Currency","2018/03/20",9004.00
"Currency","2018/03/19",9003.00
"Currency","2018/03/16",9003.00
"Currency","2018/03/15",9003.00
"Currency","2018/03/14",9000.00
"Currency","2018/03/13",9004.00
"Currency","2018/03/12",9006.00
"Currency","2018/03/09",9006.00
"Currency","2018/03/08",9003.00
"Currency","2018/03/07",9005.00
"Currency","2018/03/06",9006.00
"Currency","2018/03/05",9005.00
"Currency","2018/03/02",8900.00
"Currency","2018/03/01",8995.00
