"Indicator","Time","Value (USD/HTG)"
"Currency","2018/06/08",65.98
"Currency","2018/06/07",63.01
"Currency","2018/06/06",63.01
"Currency","2018/06/05",63.01
"Currency","2018/06/04",63.20
"Currency","2018/06/01",63.71
"Currency","2018/05/31",63.90
"Currency","2018/05/30",64.16
"Currency","2018/05/29",64.35
"Currency","2018/05/28",64.55
"Currency","2018/05/25",64.55
"Currency","2018/05/24",64.81
"Currency","2018/05/23",62.95
"Currency","2018/05/22",63.08
"Currency","2018/05/21",62.45
"Currency","2018/05/18",62.95
"Currency","2018/05/17",63.20
"Currency","2018/05/16",63.08
"Currency","2018/05/15",63.49
"Currency","2018/05/14",63.87
"Currency","2018/05/11",64.39
"Currency","2018/05/10",65.03
"Currency","2018/05/09",65.03
"Currency","2018/05/08",64.84
"Currency","2018/05/07",65.10
"Currency","2018/05/04",63.20
"Currency","2018/05/03",63.14
"Currency","2018/05/02",63.10
"Currency","2018/05/01",63.87
"Currency","2018/04/30",63.48
"Currency","2018/04/27",63.87
"Currency","2018/04/26",64.25
"Currency","2018/04/25",64.70
"Currency","2018/04/24",65.18
"Currency","2018/04/23",65.18
"Currency","2018/04/20",64.32
"Currency","2018/04/19",64.64
"Currency","2018/04/18",64.77
"Currency","2018/04/17",64.77
"Currency","2018/04/16",64.57
"Currency","2018/04/13",64.70
"Currency","2018/04/12",64.70
"Currency","2018/04/11",64.73
"Currency","2018/04/10",64.73
"Currency","2018/04/09",64.54
"Currency","2018/04/06",64.60
"Currency","2018/04/05",64.67
"Currency","2018/04/04",63.64
"Currency","2018/04/03",63.96
"Currency","2018/04/02",64.34
"Currency","2018/03/30",64.32
"Currency","2018/03/29",64.39
"Currency","2018/03/28",64.32
"Currency","2018/03/27",64.39
"Currency","2018/03/26",64.54
"Currency","2018/03/23",64.60
"Currency","2018/03/22",64.67
"Currency","2018/03/21",64.60
"Currency","2018/03/20",64.73
"Currency","2018/03/19",63.21
"Currency","2018/03/16",64.58
"Currency","2018/03/15",64.32
"Currency","2018/03/14",63.84
"Currency","2018/03/13",63.65
"Currency","2018/03/12",63.84
"Currency","2018/03/09",63.78
"Currency","2018/03/08",63.84
"Currency","2018/03/07",63.84
"Currency","2018/03/06",63.75
"Currency","2018/03/05",63.84
"Currency","2018/03/02",63.78
"Currency","2018/03/01",63.84
"Currency","2018/02/28",63.75
"Currency","2018/02/27",63.75
"Currency","2018/02/26",63.72
"Currency","2018/02/23",63.84
"Currency","2018/02/22",63.84
"Currency","2018/02/21",63.84
"Currency","2018/02/20",63.40
"Currency","2018/02/19",63.40
"Currency","2018/02/16",63.40
"Currency","2018/02/15",63.40
"Currency","2018/02/14",63.27
"Currency","2018/02/13",63.27
"Currency","2018/02/12",63.40
"Currency","2018/02/09",63.27
