"Indicator","Time","Value (USD/IDR)"
"Currency","2018/06/08",13925.00
"Currency","2018/06/07",13865.00
"Currency","2018/06/06",13850.00
"Currency","2018/06/05",13874.00
"Currency","2018/06/04",13867.00
"Currency","2018/06/01",13890.00
"Currency","2018/05/31",13890.00
"Currency","2018/05/30",13985.00
"Currency","2018/05/29",13985.00
"Currency","2018/05/28",13985.00
"Currency","2018/05/25",14115.00
"Currency","2018/05/24",14130.00
"Currency","2018/05/23",14202.00
"Currency","2018/05/22",14185.00
"Currency","2018/05/21",14180.00
"Currency","2018/05/18",14150.00
"Currency","2018/05/17",14047.00
"Currency","2018/05/16",14088.00
"Currency","2018/05/15",14032.00
"Currency","2018/05/14",13965.00
"Currency","2018/05/11",13945.00
"Currency","2018/05/10",14075.00
"Currency","2018/05/09",14075.00
"Currency","2018/05/08",14045.00
"Currency","2018/05/07",13995.00
"Currency","2018/05/04",13935.00
"Currency","2018/05/03",13935.00
"Currency","2018/05/02",13940.00
"Currency","2018/05/01",13910.00
"Currency","2018/04/30",13910.00
"Currency","2018/04/27",13885.00
"Currency","2018/04/26",13885.00
"Currency","2018/04/25",13918.00
"Currency","2018/04/24",13885.00
"Currency","2018/04/23",13890.00
"Currency","2018/04/20",13875.00
"Currency","2018/04/19",13780.00
"Currency","2018/04/18",13773.00
"Currency","2018/04/17",13765.00
"Currency","2018/04/16",13772.00
"Currency","2018/04/13",13750.00
"Currency","2018/04/12",13769.00
"Currency","2018/04/11",13757.00
"Currency","2018/04/10",13748.00
"Currency","2018/04/09",13760.00
"Currency","2018/04/06",13770.00
"Currency","2018/04/05",13764.00
"Currency","2018/04/04",13763.00
"Currency","2018/04/03",13763.00
"Currency","2018/04/02",13753.00
"Currency","2018/03/30",13760.00
"Currency","2018/03/29",13760.00
"Currency","2018/03/28",13760.00
"Currency","2018/03/27",13740.00
"Currency","2018/03/26",13735.00
"Currency","2018/03/23",13780.00
"Currency","2018/03/22",13750.00
"Currency","2018/03/21",13760.00
"Currency","2018/03/20",13745.00
"Currency","2018/03/19",13764.00
"Currency","2018/03/16",13745.00
"Currency","2018/03/15",13745.00
"Currency","2018/03/14",13735.00
