"Indicator","Time","Value (USD/INR)"
"Currency","2018/06/08",67.52
"Currency","2018/06/07",67.41
"Currency","2018/06/06",66.83
"Currency","2018/06/05",67.09
"Currency","2018/06/04",67.06
"Currency","2018/06/01",66.99
"Currency","2018/05/31",67.42
"Currency","2018/05/30",67.43
"Currency","2018/05/29",67.83
"Currency","2018/05/28",67.40
"Currency","2018/05/25",67.72
"Currency","2018/05/24",68.33
"Currency","2018/05/23",68.36
"Currency","2018/05/22",68.01
"Currency","2018/05/21",68.12
"Currency","2018/05/18",67.99
"Currency","2018/05/17",67.76
"Currency","2018/05/16",67.77
"Currency","2018/05/15",68.07
"Currency","2018/05/14",67.55
"Currency","2018/05/11",67.36
"Currency","2018/05/10",67.24
"Currency","2018/05/09",67.35
"Currency","2018/05/08",67.13
"Currency","2018/05/07",67.13
"Currency","2018/05/04",66.81
"Currency","2018/05/03",66.66
"Currency","2018/05/02",66.68
"Currency","2018/05/01",66.79
"Currency","2018/04/30",66.45
"Currency","2018/04/27",66.61
"Currency","2018/04/26",66.80
"Currency","2018/04/25",66.91
"Currency","2018/04/24",66.40
"Currency","2018/04/23",66.52
"Currency","2018/04/20",66.20
"Currency","2018/04/19",65.86
"Currency","2018/04/18",65.71
"Currency","2018/04/17",65.67
"Currency","2018/04/16",65.46
"Currency","2018/04/13",65.25
"Currency","2018/04/12",65.28
"Currency","2018/04/11",65.26
"Currency","2018/04/10",64.94
"Currency","2018/04/09",64.95
"Currency","2018/04/06",64.92
"Currency","2018/04/05",64.88
"Currency","2018/04/04",65.04
"Currency","2018/04/03",64.99
"Currency","2018/04/02",65.12
"Currency","2018/03/30",65.11
"Currency","2018/03/29",65.11
"Currency","2018/03/28",65.15
"Currency","2018/03/27",64.94
"Currency","2018/03/26",64.82
"Currency","2018/03/23",64.98
"Currency","2018/03/22",65.10
"Currency","2018/03/21",65.17
"Currency","2018/03/20",65.20
"Currency","2018/03/19",65.21
"Currency","2018/03/16",64.98
"Currency","2018/03/15",64.98
"Currency","2018/03/14",64.83
"Currency","2018/03/13",64.85
"Currency","2018/03/12",64.98
"Currency","2018/03/09",65.12
"Currency","2018/03/08",65.10
"Currency","2018/03/07",64.87
"Currency","2018/03/06",64.90
"Currency","2018/03/05",65.02
"Currency","2018/03/02",65.21
"Currency","2018/03/01",65.22
"Currency","2018/02/28",65.20
"Currency","2018/02/27",64.91
"Currency","2018/02/26",64.76
"Currency","2018/02/23",64.70
"Currency","2018/02/22",64.97
"Currency","2018/02/21",64.80
"Currency","2018/02/20",64.85
"Currency","2018/02/19",64.24
"Currency","2018/02/16",64.21
"Currency","2018/02/15",63.89
"Currency","2018/02/14",64.10
"Currency","2018/02/13",64.26
"Currency","2018/02/12",64.27
"Currency","2018/02/09",64.37
"Currency","2018/02/08",64.29
"Currency","2018/02/07",64.27
"Currency","2018/02/06",64.22
"Currency","2018/02/05",64.13
"Currency","2018/02/02",64.12
"Currency","2018/02/01",63.97
"Currency","2018/01/31",63.54
"Currency","2018/01/30",63.68
"Currency","2018/01/29",63.59
"Currency","2018/01/26",63.58
"Currency","2018/01/25",63.51
"Currency","2018/01/24",63.65
"Currency","2018/01/23",63.75
"Currency","2018/01/22",63.88
"Currency","2018/01/19",63.82
"Currency","2018/01/18",63.86
"Currency","2018/01/17",63.88
"Currency","2018/01/16",64.01
"Currency","2018/01/15",63.51
"Currency","2018/01/12",63.60
"Currency","2018/01/11",63.68
"Currency","2018/01/10",63.62
"Currency","2018/01/09",63.67
"Currency","2018/01/08",63.47
"Currency","2018/01/05",63.33
"Currency","2018/01/04",63.40
"Currency","2018/01/03",63.50
"Currency","2018/01/02",63.45
"Currency","2017/12/29",63.87
"Currency","2017/12/28",64.08
"Currency","2017/12/27",64.16
"Currency","2017/12/26",64.08
"Currency","2017/12/25",64.01
"Currency","2017/12/22",64.05
"Currency","2017/12/21",64.06
"Currency","2017/12/20",64.12
"Currency","2017/12/19",64.04
"Currency","2017/12/18",64.20
"Currency","2017/12/15",64.05
"Currency","2017/12/14",64.33
"Currency","2017/12/13",64.44
"Currency","2017/12/12",64.40
"Currency","2017/12/11",64.37
"Currency","2017/12/08",64.47
"Currency","2017/12/07",64.57
"Currency","2017/12/06",64.52
"Currency","2017/12/05",64.39
"Currency","2017/12/04",64.37
"Currency","2017/12/01",64.51
"Currency","2017/11/30",64.48
"Currency","2017/11/29",64.32
"Currency","2017/11/28",64.40
"Currency","2017/11/27",64.50
