"Indicator","Time","Value (USD/IQD)"
"Currency","2018/06/09",1190.00
"Currency","2018/06/08",1190.00
"Currency","2018/06/07",1186.43
"Currency","2018/06/06",1190.00
"Currency","2018/06/05",1186.43
"Currency","2018/06/04",1186.43
"Currency","2018/06/02",1190.00
"Currency","2018/06/01",1190.00
"Currency","2018/05/31",1186.43
"Currency","2018/05/30",1184.00
"Currency","2018/05/29",1182.82
"Currency","2018/05/28",1186.43
"Currency","2018/05/26",1184.00
"Currency","2018/05/25",1184.00
"Currency","2018/05/24",1186.43
"Currency","2018/05/23",1182.88
"Currency","2018/05/22",1184.00
"Currency","2018/05/21",1186.43
"Currency","2018/05/20",1184.00
"Currency","2018/05/19",1184.00
"Currency","2018/05/18",1186.43
"Currency","2018/05/17",1186.43
"Currency","2018/05/16",1185.24
"Currency","2018/05/15",1182.82
"Currency","2018/05/14",1182.82
"Currency","2018/05/13",1186.43
"Currency","2018/05/12",1184.00
"Currency","2018/05/11",1185.24
"Currency","2018/05/10",1186.43
"Currency","2018/05/09",1186.43
"Currency","2018/05/08",1186.43
"Currency","2018/05/07",1184.00
"Currency","2018/05/06",1186.43
"Currency","2018/05/05",1184.00
"Currency","2018/05/04",1186.43
"Currency","2018/05/03",1186.43
"Currency","2018/05/02",1186.43
"Currency","2018/05/01",1186.43
"Currency","2018/04/30",1185.24
"Currency","2018/04/29",1186.43
"Currency","2018/04/28",1184.00
"Currency","2018/04/27",1186.43
"Currency","2018/04/26",1186.43
"Currency","2018/04/25",1186.43
"Currency","2018/04/24",1186.43
"Currency","2018/04/23",1185.24
"Currency","2018/04/22",1186.43
"Currency","2018/04/21",1186.43
"Currency","2018/04/20",1186.43
"Currency","2018/04/19",1186.43
"Currency","2018/04/18",1186.43
"Currency","2018/04/17",1186.43
"Currency","2018/04/16",1186.43
"Currency","2018/04/15",1184.00
"Currency","2018/04/14",1186.43
"Currency","2018/04/13",1186.43
"Currency","2018/04/12",1186.43
"Currency","2018/04/11",1186.43
"Currency","2018/04/10",1186.43
"Currency","2018/04/09",1186.43
"Currency","2018/04/08",1186.43
"Currency","2018/04/07",1184.00
"Currency","2018/04/06",1186.43
"Currency","2018/04/05",1186.43
"Currency","2018/04/04",1186.43
"Currency","2018/04/03",1186.43
"Currency","2018/04/02",1186.43
"Currency","2018/04/01",1184.00
"Currency","2018/03/31",1184.00
"Currency","2018/03/30",1186.43
"Currency","2018/03/29",1186.43
"Currency","2018/03/28",1186.43
"Currency","2018/03/27",1186.43
"Currency","2018/03/26",1184.00
"Currency","2018/03/25",1184.00
"Currency","2018/03/24",1184.00
"Currency","2018/03/23",1186.43
"Currency","2018/03/22",1186.43
"Currency","2018/03/21",1186.43
"Currency","2018/03/20",1185.24
"Currency","2018/03/19",1186.43
"Currency","2018/03/18",1184.00
"Currency","2018/03/17",1184.00
"Currency","2018/03/16",1186.43
"Currency","2018/03/15",1186.43
"Currency","2018/03/14",1184.05
"Currency","2018/03/13",1184.00
"Currency","2018/03/12",1184.05
"Currency","2018/03/11",1180.00
"Currency","2018/03/10",1180.00
"Currency","2018/03/09",1184.05
"Currency","2018/03/08",1184.05
"Currency","2018/03/07",1184.05
"Currency","2018/03/06",1184.05
"Currency","2018/03/05",1184.05
"Currency","2018/03/04",1181.00
"Currency","2018/03/03",1181.00
"Currency","2018/03/02",1184.05
"Currency","2018/03/01",1184.00
"Currency","2018/02/28",1184.05
"Currency","2018/02/27",1184.05
"Currency","2018/02/26",1184.00
"Currency","2018/02/25",1184.00
"Currency","2018/02/24",1184.00
"Currency","2018/02/23",1180.00
"Currency","2018/02/22",1184.05
"Currency","2018/02/21",1184.05
"Currency","2018/02/20",1184.05
"Currency","2018/02/19",1184.00
"Currency","2018/02/18",1184.05
"Currency","2018/02/17",1184.05
"Currency","2018/02/16",1181.00
"Currency","2018/02/15",1184.05
"Currency","2018/02/14",1184.05
"Currency","2018/02/13",1184.05
"Currency","2018/02/12",1184.00
"Currency","2018/02/11",1184.00
"Currency","2018/02/10",1180.00
"Currency","2018/02/09",1184.00
"Currency","2018/02/08",1184.05
"Currency","2018/02/07",1184.05
"Currency","2018/02/06",1181.64
"Currency","2018/02/05",1184.05
"Currency","2018/02/04",1184.00
"Currency","2018/02/03",1184.00
"Currency","2018/02/02",1184.00
"Currency","2018/02/01",1184.00
"Currency","2018/01/31",1184.05
"Currency","2018/01/30",1182.87
"Currency","2018/01/29",1184.00
"Currency","2018/01/28",1184.00
"Currency","2018/01/27",1184.00
"Currency","2018/01/26",1184.00
"Currency","2018/01/25",1184.00
"Currency","2018/01/24",1181.00
"Currency","2018/01/23",1181.82
"Currency","2018/01/22",1184.05
"Currency","2018/01/21",1184.00
"Currency","2018/01/20",1184.00
"Currency","2018/01/19",1184.00
"Currency","2018/01/18",1184.05
"Currency","2018/01/17",1178.28
"Currency","2018/01/16",1184.00
"Currency","2018/01/15",1184.00
"Currency","2018/01/14",1184.00
"Currency","2018/01/13",1184.00
"Currency","2018/01/12",1181.00
"Currency","2018/01/11",1184.00
"Currency","2018/01/10",1184.00
"Currency","2018/01/09",1184.05
"Currency","2018/01/08",1184.05
"Currency","2018/01/07",1184.00
"Currency","2018/01/06",1181.00
"Currency","2018/01/05",1184.00
"Currency","2018/01/04",1184.05
"Currency","2018/01/03",1184.05
"Currency","2018/01/02",1184.05
"Currency","2017/12/29",1184.00
"Currency","2017/12/28",1184.05
"Currency","2017/12/27",1184.00
"Currency","2017/12/26",1184.05
"Currency","2017/12/24",1184.00
"Currency","2017/12/22",1185.00
"Currency","2017/12/21",1184.05
"Currency","2017/12/20",1181.00
"Currency","2017/12/19",1184.05
"Currency","2017/12/18",1184.05
"Currency","2017/12/15",1184.00
"Currency","2017/12/14",1184.00
"Currency","2017/12/13",1184.00
"Currency","2017/12/12",1184.00
"Currency","2017/12/11",1184.05
"Currency","2017/12/08",1184.00
"Currency","2017/12/07",1184.00
"Currency","2017/12/06",1178.96
"Currency","2017/12/05",1183.00
"Currency","2017/12/04",1184.05
