"Indicator","Time","Value (USD/KES)"
"Currency","2018/06/08",100.75
"Currency","2018/06/07",100.80
"Currency","2018/06/06",100.90
"Currency","2018/06/05",101.00
"Currency","2018/06/04",100.80
"Currency","2018/06/01",101.30
"Currency","2018/05/31",101.20
"Currency","2018/05/30",101.30
"Currency","2018/05/29",101.42
"Currency","2018/05/28",101.45
"Currency","2018/05/25",101.10
"Currency","2018/05/24",101.00
"Currency","2018/05/23",100.85
"Currency","2018/05/22",100.70
"Currency","2018/05/21",100.35
"Currency","2018/05/18",100.35
"Currency","2018/05/17",100.30
"Currency","2018/05/16",100.20
"Currency","2018/05/15",100.30
"Currency","2018/05/14",100.20
"Currency","2018/05/11",100.30
"Currency","2018/05/10",100.30
"Currency","2018/05/09",100.45
"Currency","2018/05/08",100.40
"Currency","2018/05/07",100.20
"Currency","2018/05/04",100.20
"Currency","2018/05/03",100.10
"Currency","2018/05/02",100.30
"Currency","2018/05/01",100.30
"Currency","2018/04/30",100.20
"Currency","2018/04/27",100.30
"Currency","2018/04/26",100.15
"Currency","2018/04/25",100.00
"Currency","2018/04/24",99.90
"Currency","2018/04/23",99.79
"Currency","2018/04/20",99.95
"Currency","2018/04/19",100.20
"Currency","2018/04/18",100.30
"Currency","2018/04/17",100.30
"Currency","2018/04/16",100.50
"Currency","2018/04/13",100.60
"Currency","2018/04/12",100.80
"Currency","2018/04/11",100.85
"Currency","2018/04/10",101.00
"Currency","2018/04/09",100.95
"Currency","2018/04/06",100.90
"Currency","2018/04/05",100.90
"Currency","2018/04/04",101.00
"Currency","2018/04/03",101.00
"Currency","2018/04/02",101.00
"Currency","2018/03/30",100.90
"Currency","2018/03/29",100.85
"Currency","2018/03/28",100.75
"Currency","2018/03/27",100.70
"Currency","2018/03/26",100.80
"Currency","2018/03/23",100.85
"Currency","2018/03/22",100.85
"Currency","2018/03/21",101.00
"Currency","2018/03/20",101.10
"Currency","2018/03/19",101.20
"Currency","2018/03/16",101.20
"Currency","2018/03/15",101.20
"Currency","2018/03/14",101.20
"Currency","2018/03/13",101.20
"Currency","2018/03/12",101.20
"Currency","2018/03/09",101.05
"Currency","2018/03/08",101.05
"Currency","2018/03/07",101.20
"Currency","2018/03/06",101.20
"Currency","2018/03/05",101.30
"Currency","2018/03/02",101.30
"Currency","2018/03/01",101.20
"Currency","2018/02/28",101.30
"Currency","2018/02/27",101.50
"Currency","2018/02/26",101.70
"Currency","2018/02/23",101.80
"Currency","2018/02/22",101.70
"Currency","2018/02/21",101.40
"Currency","2018/02/20",101.20
"Currency","2018/02/19",101.15
"Currency","2018/02/16",101.30
"Currency","2018/02/15",101.20
"Currency","2018/02/14",101.20
"Currency","2018/02/13",101.20
"Currency","2018/02/12",101.00
"Currency","2018/02/09",100.70
"Currency","2018/02/08",100.70
"Currency","2018/02/07",100.90
"Currency","2018/02/06",101.20
"Currency","2018/02/05",101.40
"Currency","2018/02/02",101.70
"Currency","2018/02/01",101.80
"Currency","2018/01/31",102.00
"Currency","2018/01/30",102.30
"Currency","2018/01/29",102.30
"Currency","2018/01/26",102.20
"Currency","2018/01/25",102.30
"Currency","2018/01/24",102.20
"Currency","2018/01/23",102.35
"Currency","2018/01/22",102.60
"Currency","2018/01/19",102.70
"Currency","2018/01/18",102.80
"Currency","2018/01/17",102.80
"Currency","2018/01/16",102.90
"Currency","2018/01/15",102.90
"Currency","2018/01/12",102.95
"Currency","2018/01/11",103.00
"Currency","2018/01/10",103.00
"Currency","2018/01/09",103.10
"Currency","2018/01/08",103.10
"Currency","2018/01/05",103.20
"Currency","2018/01/04",103.30
"Currency","2018/01/03",103.40
"Currency","2018/01/02",103.20
"Currency","2017/12/29",103.10
"Currency","2017/12/28",103.20
"Currency","2017/12/27",103.20
"Currency","2017/12/26",102.90
"Currency","2017/12/25",102.90
"Currency","2017/12/22",102.90
"Currency","2017/12/21",102.95
"Currency","2017/12/20",103.00
"Currency","2017/12/19",103.00
"Currency","2017/12/18",103.05
"Currency","2017/12/15",103.10
"Currency","2017/12/14",103.20
"Currency","2017/12/13",103.10
"Currency","2017/12/12",103.00
"Currency","2017/12/11",103.00
"Currency","2017/12/08",103.10
"Currency","2017/12/07",102.80
"Currency","2017/12/06",102.80
"Currency","2017/12/05",103.00
"Currency","2017/12/04",103.10
"Currency","2017/12/01",102.90
"Currency","2017/11/30",102.95
"Currency","2017/11/29",103.15
"Currency","2017/11/28",103.30
"Currency","2017/11/27",103.30
"Currency","2017/11/24",103.20
"Currency","2017/11/23",103.20
"Currency","2017/11/22",103.35
"Currency","2017/11/21",103.25
"Currency","2017/11/20",103.45
"Currency","2017/11/17",103.60
"Currency","2017/11/16",103.70
"Currency","2017/11/15",103.65
"Currency","2017/11/14",103.60
"Currency","2017/11/13",103.60
"Currency","2017/11/10",103.50
"Currency","2017/11/09",103.50
"Currency","2017/11/08",103.42
"Currency","2017/11/07",103.55
"Currency","2017/11/06",103.50
"Currency","2017/11/03",103.60
"Currency","2017/11/02",103.65
"Currency","2017/11/01",103.55
"Currency","2017/10/31",103.45
"Currency","2017/10/30",103.70
"Currency","2017/10/27",103.55
"Currency","2017/10/26",103.55
"Currency","2017/10/25",103.55
"Currency","2017/10/24",103.55
"Currency","2017/10/23",103.45
"Currency","2017/10/20",103.25
"Currency","2017/10/19",103.05
"Currency","2017/10/18",103.05
"Currency","2017/10/17",103.05
"Currency","2017/10/16",103.15
"Currency","2017/10/13",103.05
"Currency","2017/10/12",103.05
"Currency","2017/10/11",103.30
"Currency","2017/10/10",102.95
"Currency","2017/10/09",103.00
"Currency","2017/10/06",102.95
"Currency","2017/10/05",102.95
"Currency","2017/10/04",102.95
"Currency","2017/10/03",102.95
"Currency","2017/10/02",103.05
"Currency","2017/09/29",102.95
"Currency","2017/09/28",103.00
"Currency","2017/09/27",103.15
"Currency","2017/09/26",103.15
"Currency","2017/09/25",102.70
"Currency","2017/09/22",103.00
"Currency","2017/09/21",103.05
"Currency","2017/09/20",103.15
"Currency","2017/09/19",103.05
"Currency","2017/09/18",102.70
"Currency","2017/09/16",102.85
"Currency","2017/09/15",102.85
"Currency","2017/09/14",102.70
"Currency","2017/09/13",102.70
"Currency","2017/09/12",102.65
"Currency","2017/09/11",102.55
"Currency","2017/09/08",102.65
"Currency","2017/09/07",103.05
"Currency","2017/09/06",103.05
"Currency","2017/09/05",103.05
"Currency","2017/09/04",102.93
"Currency","2017/09/01",102.85
"Currency","2017/08/31",102.80
"Currency","2017/08/30",102.95
"Currency","2017/08/29",102.95
"Currency","2017/08/28",102.98
"Currency","2017/08/25",103.13
"Currency","2017/08/24",103.10
"Currency","2017/08/23",102.98
"Currency","2017/08/22",102.98
"Currency","2017/08/21",102.98
"Currency","2017/08/18",102.90
"Currency","2017/08/17",103.20
"Currency","2017/08/16",103.50
