"Indicator","Time","Value (USD/LKR)"
"Currency","2018/06/08",159.00
"Currency","2018/06/07",158.80
"Currency","2018/06/06",158.60
"Currency","2018/06/05",158.20
"Currency","2018/06/04",158.45
"Currency","2018/06/01",158.55
"Currency","2018/05/31",158.15
"Currency","2018/05/30",158.00
"Currency","2018/05/29",157.85
"Currency","2018/05/28",157.85
"Currency","2018/05/25",157.90
"Currency","2018/05/24",157.90
"Currency","2018/05/23",157.75
"Currency","2018/05/21",157.80
"Currency","2018/05/18",157.65
"Currency","2018/05/17",157.70
"Currency","2018/05/16",158.00
"Currency","2018/05/15",158.00
"Currency","2018/05/14",157.95
"Currency","2018/05/11",157.70
"Currency","2018/05/10",157.70
"Currency","2018/05/09",157.85
"Currency","2018/05/08",157.45
"Currency","2018/05/07",157.43
"Currency","2018/05/04",157.43
"Currency","2018/05/03",157.50
"Currency","2018/05/02",157.40
"Currency","2018/05/01",157.55
"Currency","2018/04/30",157.60
"Currency","2018/04/27",157.60
"Currency","2018/04/26",157.50
"Currency","2018/04/25",157.60
"Currency","2018/04/24",156.85
"Currency","2018/04/23",156.75
"Currency","2018/04/20",156.30
"Currency","2018/04/19",156.00
"Currency","2018/04/18",156.30
"Currency","2018/04/17",156.20
"Currency","2018/04/16",155.80
"Currency","2018/04/13",155.60
"Currency","2018/04/12",155.60
"Currency","2018/04/11",155.60
"Currency","2018/04/10",155.45
"Currency","2018/04/09",155.45
"Currency","2018/04/06",155.40
"Currency","2018/04/05",155.40
"Currency","2018/04/04",155.85
"Currency","2018/04/03",155.75
"Currency","2018/04/02",155.15
"Currency","2018/03/30",155.60
"Currency","2018/03/29",155.60
"Currency","2018/03/28",155.60
"Currency","2018/03/27",156.00
"Currency","2018/03/26",156.00
"Currency","2018/03/23",156.10
"Currency","2018/03/22",156.10
"Currency","2018/03/21",156.00
"Currency","2018/03/20",156.05
"Currency","2018/03/19",156.00
"Currency","2018/03/16",155.95
"Currency","2018/03/15",155.95
"Currency","2018/03/14",155.80
"Currency","2018/03/13",155.65
"Currency","2018/03/12",155.60
"Currency","2018/03/09",155.40
"Currency","2018/03/08",155.35
"Currency","2018/03/07",155.30
"Currency","2018/03/06",155.00
"Currency","2018/03/05",154.90
"Currency","2018/03/02",155.15
"Currency","2018/03/01",154.95
"Currency","2018/02/28",154.95
"Currency","2018/02/27",154.80
"Currency","2018/02/26",154.80
"Currency","2018/02/23",155.10
"Currency","2018/02/22",155.15
"Currency","2018/02/21",155.15
"Currency","2018/02/20",155.40
"Currency","2018/02/19",155.40
"Currency","2018/02/16",155.10
"Currency","2018/02/15",154.85
"Currency","2018/02/14",155.50
"Currency","2018/02/13",154.85
"Currency","2018/02/12",154.85
"Currency","2018/02/09",154.30
"Currency","2018/02/08",154.30
"Currency","2018/02/07",154.50
"Currency","2018/02/06",154.65
"Currency","2018/02/05",154.20
"Currency","2018/02/02",154.20
"Currency","2018/02/01",154.05
"Currency","2018/01/31",153.90
"Currency","2018/01/30",153.90
"Currency","2018/01/29",153.65
"Currency","2018/01/26",153.65
"Currency","2018/01/25",153.70
"Currency","2018/01/24",153.70
"Currency","2018/01/23",154.10
"Currency","2018/01/22",154.00
"Currency","2018/01/19",153.80
"Currency","2018/01/18",153.75
"Currency","2018/01/17",153.90
"Currency","2018/01/16",153.85
"Currency","2018/01/15",153.90
"Currency","2018/01/12",153.90
"Currency","2018/01/11",153.70
"Currency","2018/01/10",153.75
"Currency","2018/01/09",153.70
"Currency","2018/01/08",153.70
"Currency","2018/01/05",153.45
"Currency","2018/01/04",153.60
"Currency","2018/01/03",153.60
"Currency","2018/01/02",153.40
"Currency","2017/12/29",153.40
"Currency","2017/12/28",153.30
"Currency","2017/12/27",152.35
"Currency","2017/12/26",152.60
"Currency","2017/12/25",152.85
"Currency","2017/12/22",152.85
"Currency","2017/12/21",152.85
"Currency","2017/12/20",153.00
