"Indicator","Time","Value (USD/MMK)"
"Currency","2018/06/08",1344.00
"Currency","2018/06/07",1345.00
"Currency","2018/06/06",1345.00
"Currency","2018/06/05",1346.00
"Currency","2018/06/04",1345.00
"Currency","2018/06/01",1346.00
"Currency","2018/05/31",1345.00
"Currency","2018/05/30",1345.00
"Currency","2018/05/29",1346.00
"Currency","2018/05/28",1356.00
"Currency","2018/05/25",1346.00
"Currency","2018/05/24",1343.00
"Currency","2018/05/23",1343.00
"Currency","2018/05/22",1341.00
"Currency","2018/05/21",1348.00
"Currency","2018/05/18",1350.00
"Currency","2018/05/17",1348.00
"Currency","2018/05/16",1350.00
"Currency","2018/05/15",1332.00
"Currency","2018/05/14",1332.00
"Currency","2018/05/11",1332.00
"Currency","2018/05/10",1332.00
"Currency","2018/05/09",1330.00
"Currency","2018/05/08",1335.00
"Currency","2018/05/07",1340.00
"Currency","2018/05/04",1333.00
"Currency","2018/05/03",1333.00
"Currency","2018/05/02",1330.00
"Currency","2018/05/01",1330.00
"Currency","2018/04/30",1330.00
"Currency","2018/04/27",1325.00
"Currency","2018/04/26",1331.00
"Currency","2018/04/25",1325.00
"Currency","2018/04/24",1320.00
"Currency","2018/04/23",1320.00
"Currency","2018/04/20",1320.00
"Currency","2018/04/19",1320.00
"Currency","2018/04/18",1320.00
"Currency","2018/04/17",1322.00
"Currency","2018/04/16",1322.00
"Currency","2018/04/13",1320.00
"Currency","2018/04/12",1321.00
"Currency","2018/04/11",1318.00
"Currency","2018/04/10",1326.00
"Currency","2018/04/09",1329.00
"Currency","2018/04/06",1325.00
"Currency","2018/04/05",1326.00
"Currency","2018/04/04",1327.00
"Currency","2018/04/03",1328.00
"Currency","2018/04/02",1331.00
"Currency","2018/03/30",1331.00
"Currency","2018/03/29",1330.00
"Currency","2018/03/28",1332.00
"Currency","2018/03/27",1335.00
"Currency","2018/03/26",1335.00
"Currency","2018/03/23",1337.00
"Currency","2018/03/22",1339.00
"Currency","2018/03/21",1340.00
"Currency","2018/03/20",1340.00
"Currency","2018/03/19",1338.50
"Currency","2018/03/16",1339.00
"Currency","2018/03/15",1337.00
"Currency","2018/03/14",1340.00
"Currency","2018/03/13",1338.00
"Currency","2018/03/12",1337.00
"Currency","2018/03/09",1340.00
"Currency","2018/03/08",1336.00
"Currency","2018/03/07",1335.00
"Currency","2018/03/06",1336.00
"Currency","2018/03/05",1336.00
"Currency","2018/03/02",1338.00
"Currency","2018/03/01",1338.00
"Currency","2018/02/28",1338.00
"Currency","2018/02/27",1339.50
"Currency","2018/02/26",1338.00
"Currency","2018/02/23",1337.00
"Currency","2018/02/22",1339.00
"Currency","2018/02/21",1329.00
"Currency","2018/02/20",1318.00
"Currency","2018/02/19",1324.00
"Currency","2018/02/16",1328.00
"Currency","2018/02/15",1328.00
"Currency","2018/02/14",1325.00
"Currency","2018/02/13",1325.00
"Currency","2018/02/12",1328.00
"Currency","2018/02/09",1328.00
"Currency","2018/02/08",1330.00
"Currency","2018/02/07",1329.00
"Currency","2018/02/06",1325.00
"Currency","2018/02/05",1328.00
"Currency","2018/02/02",1328.50
