"Indicator","Time","Value (USD/MZN)"
"Currency","2018/06/08",58.80
"Currency","2018/06/07",58.97
"Currency","2018/06/06",58.92
"Currency","2018/06/05",58.92
"Currency","2018/06/04",59.19
"Currency","2018/06/01",59.53
"Currency","2018/05/31",60.00
"Currency","2018/05/30",59.31
"Currency","2018/05/29",59.40
"Currency","2018/05/28",60.35
"Currency","2018/05/25",59.30
"Currency","2018/05/24",60.30
"Currency","2018/05/23",59.34
"Currency","2018/05/22",59.40
"Currency","2018/05/21",60.00
"Currency","2018/05/18",60.00
"Currency","2018/05/17",59.46
"Currency","2018/05/16",59.95
"Currency","2018/05/15",59.32
"Currency","2018/05/14",59.47
"Currency","2018/05/11",59.49
"Currency","2018/05/10",59.37
"Currency","2018/05/09",59.20
"Currency","2018/05/08",59.20
"Currency","2018/05/07",59.20
"Currency","2018/05/04",59.13
"Currency","2018/05/03",58.90
"Currency","2018/05/02",58.90
"Currency","2018/05/01",58.90
"Currency","2018/04/30",59.10
"Currency","2018/04/27",58.90
"Currency","2018/04/26",59.07
"Currency","2018/04/25",58.95
"Currency","2018/04/24",59.00
"Currency","2018/04/23",59.10
"Currency","2018/04/20",59.69
"Currency","2018/04/19",60.10
"Currency","2018/04/18",60.10
"Currency","2018/04/17",60.15
"Currency","2018/04/16",60.10
"Currency","2018/04/13",60.00
"Currency","2018/04/12",60.10
"Currency","2018/04/11",60.40
"Currency","2018/04/10",60.70
"Currency","2018/04/09",60.80
"Currency","2018/04/06",60.20
"Currency","2018/04/05",61.00
"Currency","2018/04/04",60.90
"Currency","2018/04/03",61.20
"Currency","2018/04/02",61.25
"Currency","2018/03/30",61.25
"Currency","2018/03/29",61.25
"Currency","2018/03/28",61.50
"Currency","2018/03/27",61.80
"Currency","2018/03/26",61.29
"Currency","2018/03/23",62.20
"Currency","2018/03/22",62.20
"Currency","2018/03/21",62.25
"Currency","2018/03/20",61.65
"Currency","2018/03/19",61.65
"Currency","2018/03/16",62.70
"Currency","2018/03/15",61.65
"Currency","2018/03/14",62.50
"Currency","2018/03/13",61.58
"Currency","2018/03/12",62.40
"Currency","2018/03/09",62.20
"Currency","2018/03/08",62.90
"Currency","2018/03/07",62.80
"Currency","2018/03/06",61.55
"Currency","2018/03/05",62.50
"Currency","2018/03/02",61.00
"Currency","2018/03/01",61.25
"Currency","2018/02/28",61.70
"Currency","2018/02/27",61.70
"Currency","2018/02/26",60.92
"Currency","2018/02/23",60.73
"Currency","2018/02/22",61.45
"Currency","2018/02/21",61.40
"Currency","2018/02/20",61.35
"Currency","2018/02/19",60.90
"Currency","2018/02/16",60.36
"Currency","2018/02/15",60.24
"Currency","2018/02/14",60.30
"Currency","2018/02/13",61.30
"Currency","2018/02/12",60.30
"Currency","2018/02/09",60.29
"Currency","2018/02/08",60.30
"Currency","2018/02/07",61.30
"Currency","2018/02/06",60.34
"Currency","2018/02/05",60.30
"Currency","2018/02/02",60.17
"Currency","2018/02/01",60.30
"Currency","2018/01/31",59.83
"Currency","2018/01/30",59.90
"Currency","2018/01/29",59.50
"Currency","2018/01/26",59.13
"Currency","2018/01/25",59.15
"Currency","2018/01/24",59.00
"Currency","2018/01/23",58.85
"Currency","2018/01/22",58.58
"Currency","2018/01/19",58.39
"Currency","2018/01/18",58.20
"Currency","2018/01/17",58.20
"Currency","2018/01/16",58.15
"Currency","2018/01/15",58.32
"Currency","2018/01/12",58.25
"Currency","2018/01/11",58.25
"Currency","2018/01/10",58.00
"Currency","2018/01/09",58.00
"Currency","2018/01/08",58.00
"Currency","2018/01/05",58.33
"Currency","2018/01/04",58.00
"Currency","2018/01/03",58.10
"Currency","2018/01/02",58.10
"Currency","2017/12/29",58.43
"Currency","2017/12/28",58.45
"Currency","2017/12/27",58.49
"Currency","2017/12/26",58.54
"Currency","2017/12/25",58.63
"Currency","2017/12/22",58.63
"Currency","2017/12/21",58.74
"Currency","2017/12/20",58.00
"Currency","2017/12/19",59.00
"Currency","2017/12/18",59.10
"Currency","2017/12/15",59.12
"Currency","2017/12/14",59.19
"Currency","2017/12/13",59.27
"Currency","2017/12/12",59.35
"Currency","2017/12/11",59.43
"Currency","2017/12/08",59.53
"Currency","2017/12/07",59.65
"Currency","2017/12/06",60.04
"Currency","2017/12/05",59.83
"Currency","2017/12/04",60.00
"Currency","2017/12/01",60.04
"Currency","2017/11/30",60.05
"Currency","2017/11/29",60.22
"Currency","2017/11/28",60.08
"Currency","2017/11/27",60.40
"Currency","2017/11/24",60.27
"Currency","2017/11/23",60.50
"Currency","2017/11/22",60.27
"Currency","2017/11/21",60.00
"Currency","2017/11/20",60.23
"Currency","2017/11/17",60.22
"Currency","2017/11/16",60.19
"Currency","2017/11/15",60.10
"Currency","2017/11/14",60.50
"Currency","2017/11/13",60.44
"Currency","2017/11/10",60.29
"Currency","2017/11/09",60.07
"Currency","2017/11/08",60.29
"Currency","2017/11/07",60.10
"Currency","2017/11/06",60.30
"Currency","2017/11/03",60.27
"Currency","2017/11/02",60.50
"Currency","2017/11/01",60.19
"Currency","2017/10/31",60.20
"Currency","2017/10/30",60.30
"Currency","2017/10/27",60.18
"Currency","2017/10/26",60.23
"Currency","2017/10/25",60.00
"Currency","2017/10/24",60.42
"Currency","2017/10/23",60.46
"Currency","2017/10/20",60.49
"Currency","2017/10/19",60.80
"Currency","2017/10/18",60.63
"Currency","2017/10/17",60.63
"Currency","2017/10/16",61.00
"Currency","2017/10/13",60.64
"Currency","2017/10/12",60.70
"Currency","2017/10/11",60.61
"Currency","2017/10/10",60.69
"Currency","2017/10/09",60.68
"Currency","2017/10/07",60.70
"Currency","2017/10/06",60.70
"Currency","2017/10/05",60.67
"Currency","2017/10/04",60.67
"Currency","2017/10/03",60.29
"Currency","2017/10/02",60.68
"Currency","2017/09/30",60.73
"Currency","2017/09/29",60.73
"Currency","2017/09/28",60.67
"Currency","2017/09/27",60.68
"Currency","2017/09/26",60.00
"Currency","2017/09/25",60.73
"Currency","2017/09/22",60.64
"Currency","2017/09/21",60.69
"Currency","2017/09/20",60.71
"Currency","2017/09/19",60.70
"Currency","2017/09/18",60.70
"Currency","2017/09/16",60.73
"Currency","2017/09/15",60.73
"Currency","2017/09/14",60.72
"Currency","2017/09/13",60.60
"Currency","2017/09/12",60.82
"Currency","2017/09/11",60.70
"Currency","2017/09/08",60.83
"Currency","2017/09/07",60.80
"Currency","2017/09/06",60.70
"Currency","2017/09/05",60.85
"Currency","2017/09/04",60.86
"Currency","2017/09/01",60.86
"Currency","2017/08/31",60.80
"Currency","2017/08/30",60.80
"Currency","2017/08/29",60.70
"Currency","2017/08/28",60.70
"Currency","2017/08/25",60.60
"Currency","2017/08/24",60.60
"Currency","2017/08/23",60.77
"Currency","2017/08/22",60.50
"Currency","2017/08/21",60.74
"Currency","2017/08/18",60.78
"Currency","2017/08/17",60.70
"Currency","2017/08/16",60.68
"Currency","2017/08/15",60.68
"Currency","2017/08/14",60.68
"Currency","2017/08/12",60.65
"Currency","2017/08/11",60.65
"Currency","2017/08/10",60.66
"Currency","2017/08/09",60.67
"Currency","2017/08/08",60.55
"Currency","2017/08/07",60.71
"Currency","2017/08/04",60.68
"Currency","2017/08/03",60.66
"Currency","2017/08/02",60.65
"Currency","2017/08/01",60.63
"Currency","2017/07/31",60.00
"Currency","2017/07/28",60.55
"Currency","2017/07/27",60.94
"Currency","2017/07/26",60.10
"Currency","2017/07/25",60.50
"Currency","2017/07/24",60.34
"Currency","2017/07/21",60.50
"Currency","2017/07/20",60.28
"Currency","2017/07/19",60.35
"Currency","2017/07/18",60.27
"Currency","2017/07/17",60.14
"Currency","2017/07/14",60.01
"Currency","2017/07/13",60.07
"Currency","2017/07/12",60.09
"Currency","2017/07/11",59.98
"Currency","2017/07/10",59.99
"Currency","2017/07/07",59.80
"Currency","2017/07/06",59.96
"Currency","2017/07/05",59.50
"Currency","2017/07/04",59.50
"Currency","2017/07/03",59.60
"Currency","2017/06/30",59.85
"Currency","2017/06/29",59.60
"Currency","2017/06/28",59.00
"Currency","2017/06/27",59.87
"Currency","2017/06/26",59.69
"Currency","2017/06/23",59.80
"Currency","2017/06/22",59.68
"Currency","2017/06/21",59.78
"Currency","2017/06/20",59.70
"Currency","2017/06/19",59.87
"Currency","2017/06/17",59.78
"Currency","2017/06/16",59.78
"Currency","2017/06/15",60.20
"Currency","2017/06/14",59.86
"Currency","2017/06/13",59.95
"Currency","2017/06/12",59.98
"Currency","2017/06/09",59.95
"Currency","2017/06/08",60.02
"Currency","2017/06/07",60.03
"Currency","2017/06/06",59.85
"Currency","2017/06/05",59.49
"Currency","2017/06/02",59.50
"Currency","2017/06/01",59.50
"Currency","2017/05/31",58.70
"Currency","2017/05/30",58.70
"Currency","2017/05/29",59.06
"Currency","2017/05/26",59.15
"Currency","2017/05/25",59.59
"Currency","2017/05/24",59.30
"Currency","2017/05/23",59.50
"Currency","2017/05/22",70.44
"Currency","2017/05/20",70.44
"Currency","2017/05/19",70.44
"Currency","2017/05/18",70.44
"Currency","2017/05/17",70.44
"Currency","2017/05/15",61.00
"Currency","2017/05/12",61.63
"Currency","2017/05/11",62.21
"Currency","2017/05/10",62.21
"Currency","2017/05/09",62.76
"Currency","2017/05/08",62.94
"Currency","2017/05/05",63.03
"Currency","2017/05/04",63.00
"Currency","2017/05/03",63.90
"Currency","2017/05/02",63.83
"Currency","2017/05/01",64.05
"Currency","2017/04/28",64.05
"Currency","2017/04/27",65.00
"Currency","2017/04/26",65.00
"Currency","2017/04/21",64.86
"Currency","2017/04/20",65.05
"Currency","2017/04/19",70.44
