"Indicator","Time","Value (USD/NGN)"
"Currency","2018/06/08",305.45
"Currency","2018/06/07",305.95
"Currency","2018/06/06",305.70
"Currency","2018/06/05",305.50
"Currency","2018/06/04",305.50
"Currency","2018/06/01",305.50
"Currency","2018/05/31",305.70
"Currency","2018/05/30",314.50
"Currency","2018/05/29",305.40
"Currency","2018/05/28",305.40
"Currency","2018/05/25",305.40
"Currency","2018/05/24",315.00
"Currency","2018/05/23",305.40
"Currency","2018/05/21",305.35
"Currency","2018/05/18",305.35
"Currency","2018/05/17",314.00
"Currency","2018/05/16",305.35
"Currency","2018/05/15",305.30
"Currency","2018/05/14",305.30
"Currency","2018/05/11",305.75
"Currency","2018/05/10",305.25
"Currency","2018/05/09",305.25
"Currency","2018/05/08",305.25
"Currency","2018/05/07",305.25
"Currency","2018/05/04",305.20
"Currency","2018/05/03",305.20
"Currency","2018/05/02",305.20
"Currency","2018/05/01",305.20
"Currency","2018/04/30",305.20
"Currency","2018/04/27",305.15
"Currency","2018/04/26",305.15
"Currency","2018/04/25",305.15
"Currency","2018/04/24",305.15
"Currency","2018/04/23",305.60
"Currency","2018/04/20",305.10
"Currency","2018/04/19",305.10
"Currency","2018/04/18",305.10
"Currency","2018/04/17",305.10
"Currency","2018/04/16",305.10
"Currency","2018/04/13",305.05
"Currency","2018/04/12",305.05
"Currency","2018/04/11",305.05
"Currency","2018/04/10",305.10
"Currency","2018/04/09",305.10
"Currency","2018/04/06",305.10
"Currency","2018/04/05",305.10
"Currency","2018/04/04",305.10
"Currency","2018/04/03",305.15
"Currency","2018/04/02",305.15
"Currency","2018/03/30",305.15
"Currency","2018/03/29",305.15
"Currency","2018/03/28",305.15
"Currency","2018/03/27",305.15
"Currency","2018/03/26",305.15
"Currency","2018/03/23",305.20
"Currency","2018/03/22",314.50
"Currency","2018/03/21",305.75
"Currency","2018/03/20",305.20
"Currency","2018/03/19",305.75
"Currency","2018/03/16",305.80
"Currency","2018/03/15",305.75
"Currency","2018/03/14",314.50
"Currency","2018/03/13",314.80
"Currency","2018/03/12",314.80
"Currency","2018/03/09",305.30
"Currency","2018/03/08",305.85
"Currency","2018/03/07",305.30
"Currency","2018/03/06",305.85
