"Indicator","Time","Value (USD/NPR)"
"Currency","2018/06/08",108.00
"Currency","2018/06/07",107.39
"Currency","2018/06/06",107.06
"Currency","2018/06/05",107.43
"Currency","2018/06/04",107.38
"Currency","2018/06/01",107.29
"Currency","2018/05/31",107.85
"Currency","2018/05/30",107.88
"Currency","2018/05/29",108.58
"Currency","2018/05/28",107.89
"Currency","2018/05/25",108.44
"Currency","2018/05/24",109.35
"Currency","2018/05/23",109.47
"Currency","2018/05/22",108.86
"Currency","2018/05/21",109.00
"Currency","2018/05/18",108.81
"Currency","2018/05/17",108.32
"Currency","2018/05/16",108.47
"Currency","2018/05/15",108.91
"Currency","2018/05/14",108.02
"Currency","2018/05/11",107.72
"Currency","2018/05/10",107.69
"Currency","2018/05/09",107.62
"Currency","2018/05/08",107.32
"Currency","2018/05/07",107.41
"Currency","2018/05/04",106.98
"Currency","2018/05/03",106.63
"Currency","2018/05/02",106.65
"Currency","2018/05/01",106.66
"Currency","2018/04/30",106.66
"Currency","2018/04/27",106.66
"Currency","2018/04/26",106.80
"Currency","2018/04/25",107.04
"Currency","2018/04/24",106.20
"Currency","2018/04/23",106.36
"Currency","2018/04/20",105.79
"Currency","2018/04/19",105.26
"Currency","2018/04/18",105.06
"Currency","2018/04/17",105.03
"Currency","2018/04/16",104.78
"Currency","2018/04/13",104.32
"Currency","2018/04/12",104.41
"Currency","2018/04/11",104.50
"Currency","2018/04/10",103.98
"Currency","2018/04/09",104.03
"Currency","2018/04/06",103.94
"Currency","2018/04/05",103.94
"Currency","2018/04/04",104.23
"Currency","2018/04/03",104.02
"Currency","2018/04/02",104.27
"Currency","2018/03/30",104.27
"Currency","2018/03/29",104.27
"Currency","2018/03/28",104.27
"Currency","2018/03/27",103.96
"Currency","2018/03/26",103.78
"Currency","2018/03/23",104.01
"Currency","2018/03/22",104.16
"Currency","2018/03/21",104.33
"Currency","2018/03/20",104.30
"Currency","2018/03/19",104.27
"Currency","2018/03/16",103.89
"Currency","2018/03/15",103.89
"Currency","2018/03/14",103.71
"Currency","2018/03/13",103.82
"Currency","2018/03/12",104.06
"Currency","2018/03/09",104.26
"Currency","2018/03/08",104.22
"Currency","2018/03/07",103.81
"Currency","2018/03/06",103.93
"Currency","2018/03/05",104.17
"Currency","2018/03/02",104.27
"Currency","2018/03/01",104.27
"Currency","2018/02/28",104.29
"Currency","2018/02/27",103.79
"Currency","2018/02/26",103.66
"Currency","2018/02/23",103.57
"Currency","2018/02/22",104.06
"Currency","2018/02/21",103.61
"Currency","2018/02/20",103.66
"Currency","2018/02/19",102.74
"Currency","2018/02/16",102.74
"Currency","2018/02/15",102.26
"Currency","2018/02/14",102.54
"Currency","2018/02/13",102.89
"Currency","2018/02/12",102.89
"Currency","2018/02/09",103.04
"Currency","2018/02/08",102.81
"Currency","2018/02/07",102.84
"Currency","2018/02/06",102.78
"Currency","2018/02/05",102.50
"Currency","2018/02/02",102.49
"Currency","2018/02/01",102.42
"Currency","2018/01/31",101.73
"Currency","2018/01/30",101.76
"Currency","2018/01/29",101.72
"Currency","2018/01/26",101.67
"Currency","2018/01/25",101.67
"Currency","2018/01/24",101.90
"Currency","2018/01/23",102.03
"Currency","2018/01/22",102.18
"Currency","2018/01/19",102.15
"Currency","2018/01/18",102.16
"Currency","2018/01/17",102.21
"Currency","2018/01/16",102.45
"Currency","2018/01/15",101.58
"Currency","2018/01/12",101.81
"Currency","2018/01/11",101.85
"Currency","2018/01/10",101.74
"Currency","2018/01/09",101.93
"Currency","2018/01/08",101.61
"Currency","2018/01/05",101.38
"Currency","2018/01/04",101.44
"Currency","2018/01/03",101.65
"Currency","2018/01/02",101.56
"Currency","2017/12/29",102.19
"Currency","2017/12/28",102.52
"Currency","2017/12/27",102.64
"Currency","2017/12/26",102.53
"Currency","2017/12/22",102.47
"Currency","2017/12/21",102.48
"Currency","2017/12/20",102.58
"Currency","2017/12/19",102.44
"Currency","2017/12/18",102.78
"Currency","2017/12/15",102.46
"Currency","2017/12/14",102.94
"Currency","2017/12/13",103.09
"Currency","2017/12/12",103.04
"Currency","2017/12/11",102.98
"Currency","2017/12/08",103.11
"Currency","2017/12/07",103.31
"Currency","2017/12/06",103.23
"Currency","2017/12/05",103.01
"Currency","2017/12/04",102.99
"Currency","2017/12/01",103.14
"Currency","2017/11/30",103.14
"Currency","2017/11/29",102.90
"Currency","2017/11/28",103.06
"Currency","2017/11/27",103.20
"Currency","2017/11/24",103.52
"Currency","2017/11/23",103.33
"Currency","2017/11/22",103.86
"Currency","2017/11/21",103.82
"Currency","2017/11/20",104.17
"Currency","2017/11/17",104.02
"Currency","2017/11/16",104.51
"Currency","2017/11/15",104.50
"Currency","2017/11/14",104.66
"Currency","2017/11/13",104.67
"Currency","2017/11/10",104.26
"Currency","2017/11/09",103.90
"Currency","2017/11/08",103.92
"Currency","2017/11/07",104.04
"Currency","2017/11/06",103.48
"Currency","2017/11/03",103.27
"Currency","2017/11/02",103.37
"Currency","2017/11/01",103.55
"Currency","2017/10/31",103.55
"Currency","2017/10/30",103.76
"Currency","2017/10/27",103.55
"Currency","2017/10/26",103.55
"Currency","2017/10/25",103.55
"Currency","2017/10/24",103.55
"Currency","2017/10/23",104.03
"Currency","2017/10/21",103.55
"Currency","2017/10/20",103.55
"Currency","2017/10/19",103.55
"Currency","2017/10/18",103.55
"Currency","2017/10/17",103.55
"Currency","2017/10/16",103.59
"Currency","2017/10/13",103.90
"Currency","2017/10/12",103.90
"Currency","2017/10/11",104.22
"Currency","2017/10/10",104.15
"Currency","2017/10/09",104.20
"Currency","2017/10/06",104.25
"Currency","2017/10/05",104.25
"Currency","2017/10/04",104.25
"Currency","2017/10/03",104.60
"Currency","2017/09/30",104.05
"Currency","2017/09/29",104.46
"Currency","2017/09/28",104.05
"Currency","2017/09/27",104.05
"Currency","2017/09/26",104.05
"Currency","2017/09/25",103.30
"Currency","2017/09/22",103.80
"Currency","2017/09/21",102.55
"Currency","2017/09/20",102.55
"Currency","2017/09/19",102.15
"Currency","2017/09/18",102.15
"Currency","2017/09/16",102.30
"Currency","2017/09/15",102.30
"Currency","2017/09/14",102.30
"Currency","2017/09/13",102.10
"Currency","2017/09/12",102.10
"Currency","2017/09/11",101.90
"Currency","2017/09/08",102.15
"Currency","2017/09/07",102.15
"Currency","2017/09/06",102.50
"Currency","2017/09/05",102.00
"Currency","2017/09/04",102.48
"Currency","2017/09/01",102.00
"Currency","2017/08/31",102.00
"Currency","2017/08/30",102.00
"Currency","2017/08/29",101.95
"Currency","2017/08/28",101.95
"Currency","2017/08/26",102.25
"Currency","2017/08/25",102.25
"Currency","2017/08/24",102.30
"Currency","2017/08/23",102.25
"Currency","2017/08/22",102.25
"Currency","2017/08/21",102.20
"Currency","2017/08/19",102.35
"Currency","2017/08/18",102.35
"Currency","2017/08/17",102.35
"Currency","2017/08/16",102.60
"Currency","2017/08/15",102.30
"Currency","2017/08/14",102.30
"Currency","2017/08/12",102.20
"Currency","2017/08/11",102.20
"Currency","2017/08/10",102.20
"Currency","2017/08/09",101.75
"Currency","2017/08/08",101.60
"Currency","2017/08/07",101.60
"Currency","2017/08/04",101.50
"Currency","2017/08/03",101.50
"Currency","2017/08/02",102.30
"Currency","2017/08/01",102.40
"Currency","2017/07/31",102.69
"Currency","2017/07/28",102.60
"Currency","2017/07/27",102.55
"Currency","2017/07/26",103.04
"Currency","2017/07/25",102.90
"Currency","2017/07/24",102.80
"Currency","2017/07/21",102.91
"Currency","2017/07/20",103.00
"Currency","2017/07/19",102.65
"Currency","2017/07/18",102.65
"Currency","2017/07/17",102.70
"Currency","2017/07/14",103.00
"Currency","2017/07/13",102.85
"Currency","2017/07/12",103.60
"Currency","2017/07/11",103.20
"Currency","2017/07/10",103.30
"Currency","2017/07/07",103.25
"Currency","2017/07/06",103.25
"Currency","2017/07/05",103.50
"Currency","2017/07/04",103.90
"Currency","2017/07/03",103.05
"Currency","2017/06/30",102.80
"Currency","2017/06/29",102.80
"Currency","2017/06/28",102.80
"Currency","2017/06/27",103.50
"Currency","2017/06/26",102.95
"Currency","2017/06/24",102.95
"Currency","2017/06/23",102.95
"Currency","2017/06/22",103.10
"Currency","2017/06/21",102.65
"Currency","2017/06/20",102.80
"Currency","2017/06/19",102.80
"Currency","2017/06/17",102.55
"Currency","2017/06/16",102.55
