"Indicator","Time","Value (USD/PEN)"
"Currency","2018/06/08",3.26
"Currency","2018/06/07",3.26
"Currency","2018/06/06",3.26
"Currency","2018/06/05",3.26
"Currency","2018/06/04",3.26
"Currency","2018/06/01",3.27
"Currency","2018/05/31",3.27
"Currency","2018/05/30",3.27
"Currency","2018/05/29",3.27
"Currency","2018/05/28",3.28
"Currency","2018/05/25",3.27
"Currency","2018/05/24",3.26
"Currency","2018/05/23",3.26
"Currency","2018/05/21",3.27
"Currency","2018/05/18",3.29
"Currency","2018/05/17",3.27
"Currency","2018/05/16",3.26
"Currency","2018/05/15",3.27
"Currency","2018/05/14",3.25
"Currency","2018/05/11",3.25
"Currency","2018/05/10",3.27
"Currency","2018/05/09",3.29
"Currency","2018/05/08",3.28
"Currency","2018/05/07",3.27
"Currency","2018/05/04",3.27
"Currency","2018/05/03",3.27
"Currency","2018/05/02",3.26
"Currency","2018/05/01",3.25
"Currency","2018/04/30",3.25
"Currency","2018/04/27",3.23
"Currency","2018/04/26",3.23
"Currency","2018/04/25",3.23
"Currency","2018/04/24",3.23
"Currency","2018/04/23",3.23
"Currency","2018/04/20",3.22
"Currency","2018/04/19",3.21
"Currency","2018/04/18",3.21
"Currency","2018/04/17",3.22
"Currency","2018/04/16",3.22
"Currency","2018/04/13",3.22
"Currency","2018/04/12",3.22
"Currency","2018/04/11",3.23
"Currency","2018/04/10",3.24
"Currency","2018/04/09",3.24
"Currency","2018/04/06",3.23
"Currency","2018/04/05",3.22
"Currency","2018/04/04",3.22
"Currency","2018/04/03",3.22
"Currency","2018/04/02",3.22
"Currency","2018/03/30",3.23
"Currency","2018/03/29",3.22
"Currency","2018/03/28",3.22
"Currency","2018/03/27",3.22
"Currency","2018/03/26",3.21
"Currency","2018/03/23",3.22
"Currency","2018/03/22",3.24
"Currency","2018/03/21",3.25
"Currency","2018/03/20",3.26
"Currency","2018/03/19",3.27
"Currency","2018/03/16",3.27
"Currency","2018/03/15",3.26
"Currency","2018/03/14",3.25
"Currency","2018/03/13",3.26
"Currency","2018/03/12",3.26
"Currency","2018/03/09",3.26
"Currency","2018/03/08",3.26
"Currency","2018/03/07",3.25
"Currency","2018/03/06",3.25
"Currency","2018/03/05",3.25
"Currency","2018/03/02",3.25
"Currency","2018/03/01",3.26
"Currency","2018/02/28",3.26
"Currency","2018/02/27",3.25
"Currency","2018/02/26",3.25
"Currency","2018/02/23",3.25
"Currency","2018/02/22",3.24
"Currency","2018/02/21",3.25
"Currency","2018/02/20",3.25
"Currency","2018/02/19",3.25
"Currency","2018/02/16",3.25
"Currency","2018/02/15",3.24
"Currency","2018/02/14",3.26
"Currency","2018/02/13",3.27
"Currency","2018/02/12",3.27
"Currency","2018/02/09",3.27
"Currency","2018/02/08",3.27
"Currency","2018/02/07",3.25
"Currency","2018/02/06",3.24
"Currency","2018/02/05",3.23
"Currency","2018/02/02",3.21
"Currency","2018/02/01",3.21
"Currency","2018/01/31",3.21
"Currency","2018/01/30",3.21
"Currency","2018/01/29",3.21
"Currency","2018/01/26",3.21
"Currency","2018/01/25",3.21
"Currency","2018/01/24",3.21
"Currency","2018/01/23",3.21
"Currency","2018/01/22",3.21
"Currency","2018/01/19",3.21
"Currency","2018/01/18",3.21
"Currency","2018/01/17",3.21
"Currency","2018/01/16",3.21
"Currency","2018/01/15",3.21
"Currency","2018/01/12",3.21
"Currency","2018/01/11",3.21
"Currency","2018/01/10",3.22
"Currency","2018/01/09",3.22
"Currency","2018/01/08",3.21
"Currency","2018/01/05",3.21
"Currency","2018/01/04",3.21
"Currency","2018/01/03",3.22
"Currency","2018/01/02",3.23
"Currency","2018/01/01",3.24
"Currency","2017/12/29",3.24
"Currency","2017/12/28",3.24
"Currency","2017/12/27",3.24
"Currency","2017/12/26",3.24
"Currency","2017/12/25",3.23
"Currency","2017/12/22",3.23
"Currency","2017/12/21",3.26
"Currency","2017/12/20",3.26
"Currency","2017/12/19",3.28
"Currency","2017/12/18",3.28
"Currency","2017/12/15",3.29
"Currency","2017/12/14",3.24
"Currency","2017/12/13",3.23
"Currency","2017/12/12",3.23
"Currency","2017/12/11",3.23
"Currency","2017/12/08",3.23
"Currency","2017/12/07",3.23
"Currency","2017/12/06",3.23
"Currency","2017/12/05",3.23
"Currency","2017/12/04",3.23
"Currency","2017/12/01",3.23
"Currency","2017/11/30",3.23
"Currency","2017/11/29",3.23
"Currency","2017/11/28",3.23
"Currency","2017/11/27",3.23
"Currency","2017/11/24",3.23
"Currency","2017/11/23",3.24
"Currency","2017/11/22",3.23
"Currency","2017/11/21",3.24
"Currency","2017/11/20",3.23
"Currency","2017/11/17",3.24
"Currency","2017/11/16",3.24
"Currency","2017/11/15",3.25
"Currency","2017/11/14",3.24
"Currency","2017/11/13",3.24
"Currency","2017/11/10",3.24
"Currency","2017/11/09",3.24
"Currency","2017/11/08",3.24
"Currency","2017/11/07",3.24
"Currency","2017/11/06",3.23
"Currency","2017/11/03",3.24
"Currency","2017/11/02",3.23
"Currency","2017/11/01",3.26
"Currency","2017/10/31",3.25
"Currency","2017/10/30",3.24
"Currency","2017/10/27",3.24
"Currency","2017/10/26",3.24
"Currency","2017/10/25",3.23
"Currency","2017/10/24",3.23
"Currency","2017/10/23",3.24
"Currency","2017/10/20",3.23
"Currency","2017/10/19",3.23
"Currency","2017/10/18",3.23
"Currency","2017/10/17",3.24
"Currency","2017/10/16",3.24
