"Indicator","Time","Value (USD/PHP)"
"Currency","2018/06/08",52.87
"Currency","2018/06/07",52.49
"Currency","2018/06/06",52.39
"Currency","2018/06/05",52.35
"Currency","2018/06/04",52.54
"Currency","2018/06/01",52.49
"Currency","2018/05/31",52.54
"Currency","2018/05/30",52.50
"Currency","2018/05/29",52.65
"Currency","2018/05/28",52.59
"Currency","2018/05/25",52.60
"Currency","2018/05/24",52.48
"Currency","2018/05/23",52.46
"Currency","2018/05/22",52.24
"Currency","2018/05/21",52.30
"Currency","2018/05/18",52.28
"Currency","2018/05/17",52.25
"Currency","2018/05/16",52.22
"Currency","2018/05/15",52.47
"Currency","2018/05/14",52.45
"Currency","2018/05/11",52.40
"Currency","2018/05/10",51.90
"Currency","2018/05/09",51.99
"Currency","2018/05/08",51.89
"Currency","2018/05/07",51.93
"Currency","2018/05/04",51.64
"Currency","2018/05/03",51.76
"Currency","2018/05/02",51.93
"Currency","2018/05/01",51.70
"Currency","2018/04/30",51.65
"Currency","2018/04/27",51.62
"Currency","2018/04/26",51.93
"Currency","2018/04/25",52.22
"Currency","2018/04/24",52.19
"Currency","2018/04/23",52.37
"Currency","2018/04/20",52.13
"Currency","2018/04/19",52.14
"Currency","2018/04/18",52.04
"Currency","2018/04/17",52.07
"Currency","2018/04/16",52.03
"Currency","2018/04/13",51.96
"Currency","2018/04/12",52.00
"Currency","2018/04/11",51.98
"Currency","2018/04/10",51.79
"Currency","2018/04/09",52.00
"Currency","2018/04/06",52.01
"Currency","2018/04/05",52.01
"Currency","2018/04/04",52.00
"Currency","2018/04/03",51.88
"Currency","2018/04/02",52.08
"Currency","2018/03/30",52.12
"Currency","2018/03/29",52.21
"Currency","2018/03/28",52.29
"Currency","2018/03/27",52.36
"Currency","2018/03/26",52.13
"Currency","2018/03/23",52.37
"Currency","2018/03/22",52.42
"Currency","2018/03/21",52.07
"Currency","2018/03/20",52.06
"Currency","2018/03/19",52.06
"Currency","2018/03/16",51.90
"Currency","2018/03/15",52.14
"Currency","2018/03/14",52.02
"Currency","2018/03/13",51.99
"Currency","2018/03/12",52.03
"Currency","2018/03/09",51.96
"Currency","2018/03/08",52.13
"Currency","2018/03/07",52.01
"Currency","2018/03/06",51.94
"Currency","2018/03/05",51.92
"Currency","2018/03/02",51.95
"Currency","2018/03/01",51.80
"Currency","2018/02/28",52.08
"Currency","2018/02/27",52.09
"Currency","2018/02/26",51.86
"Currency","2018/02/23",51.80
"Currency","2018/02/22",51.86
"Currency","2018/02/21",52.10
"Currency","2018/02/20",52.26
"Currency","2018/02/19",52.32
"Currency","2018/02/16",52.20
"Currency","2018/02/15",52.28
"Currency","2018/02/14",52.12
"Currency","2018/02/13",52.02
"Currency","2018/02/12",51.90
"Currency","2018/02/09",51.64
"Currency","2018/02/08",51.72
"Currency","2018/02/07",51.24
"Currency","2018/02/06",51.39
"Currency","2018/02/05",51.64
"Currency","2018/02/02",51.63
"Currency","2018/02/01",51.58
"Currency","2018/01/31",51.34
"Currency","2018/01/30",51.35
"Currency","2018/01/29",51.26
"Currency","2018/01/26",50.94
"Currency","2018/01/25",50.94
"Currency","2018/01/24",50.77
"Currency","2018/01/23",51.06
"Currency","2018/01/22",51.00
"Currency","2018/01/19",50.67
"Currency","2018/01/18",50.77
"Currency","2018/01/17",50.71
"Currency","2018/01/16",50.53
"Currency","2018/01/15",50.35
"Currency","2018/01/12",50.33
"Currency","2018/01/11",50.35
"Currency","2018/01/10",50.45
"Currency","2018/01/09",50.34
"Currency","2018/01/08",50.16
"Currency","2018/01/05",49.77
"Currency","2018/01/04",49.84
"Currency","2018/01/03",49.80
"Currency","2018/01/02",49.81
"Currency","2017/12/29",49.98
"Currency","2017/12/28",49.99
"Currency","2017/12/27",49.98
"Currency","2017/12/26",49.91
"Currency","2017/12/25",49.92
"Currency","2017/12/22",49.99
"Currency","2017/12/21",50.16
"Currency","2017/12/20",50.10
"Currency","2017/12/19",50.25
"Currency","2017/12/18",50.37
"Currency","2017/12/15",50.38
"Currency","2017/12/14",50.46
"Currency","2017/12/13",50.33
"Currency","2017/12/12",50.40
"Currency","2017/12/11",50.35
"Currency","2017/12/08",50.45
"Currency","2017/12/07",50.61
"Currency","2017/12/06",50.71
"Currency","2017/12/05",50.60
"Currency","2017/12/04",50.62
"Currency","2017/12/01",50.22
"Currency","2017/11/30",50.31
"Currency","2017/11/29",50.27
"Currency","2017/11/28",50.27
"Currency","2017/11/27",50.26
"Currency","2017/11/24",50.61
"Currency","2017/11/23",50.48
"Currency","2017/11/22",50.49
"Currency","2017/11/21",50.58
"Currency","2017/11/20",50.77
"Currency","2017/11/17",50.80
"Currency","2017/11/16",50.70
"Currency","2017/11/15",50.83
"Currency","2017/11/14",51.17
"Currency","2017/11/13",51.19
"Currency","2017/11/10",51.20
"Currency","2017/11/09",51.27
"Currency","2017/11/08",51.24
"Currency","2017/11/07",51.37
"Currency","2017/11/06",51.12
"Currency","2017/11/03",51.24
"Currency","2017/11/02",51.36
"Currency","2017/11/01",51.48
"Currency","2017/10/31",51.60
"Currency","2017/10/30",51.65
"Currency","2017/10/27",51.59
"Currency","2017/10/26",51.99
"Currency","2017/10/25",51.66
"Currency","2017/10/24",51.75
"Currency","2017/10/23",51.48
"Currency","2017/10/20",51.49
"Currency","2017/10/19",51.50
"Currency","2017/10/18",51.37
"Currency","2017/10/17",51.33
"Currency","2017/10/16",51.24
"Currency","2017/10/13",51.14
"Currency","2017/10/12",51.46
"Currency","2017/10/11",51.39
"Currency","2017/10/10",51.42
"Currency","2017/10/09",51.20
"Currency","2017/10/06",51.12
"Currency","2017/10/05",51.01
"Currency","2017/10/04",50.98
"Currency","2017/10/03",51.05
"Currency","2017/10/02",51.07
"Currency","2017/09/29",50.88
"Currency","2017/09/28",50.87
"Currency","2017/09/27",50.92
"Currency","2017/09/26",50.90
"Currency","2017/09/25",50.78
"Currency","2017/09/22",50.62
"Currency","2017/09/21",51.05
"Currency","2017/09/20",50.92
"Currency","2017/09/19",50.94
"Currency","2017/09/18",51.20
"Currency","2017/09/16",51.27
"Currency","2017/09/15",51.27
"Currency","2017/09/14",51.27
"Currency","2017/09/13",50.93
"Currency","2017/09/12",50.97
"Currency","2017/09/11",50.88
"Currency","2017/09/08",50.87
"Currency","2017/09/07",50.61
"Currency","2017/09/06",51.02
"Currency","2017/09/05",51.03
"Currency","2017/09/04",51.16
"Currency","2017/09/01",51.05
"Currency","2017/08/31",51.15
"Currency","2017/08/30",51.23
"Currency","2017/08/29",51.18
"Currency","2017/08/28",50.92
"Currency","2017/08/25",51.08
"Currency","2017/08/24",50.97
"Currency","2017/08/23",51.12
"Currency","2017/08/22",51.27
"Currency","2017/08/21",51.47
"Currency","2017/08/18",51.39
"Currency","2017/08/17",51.41
"Currency","2017/08/16",51.27
"Currency","2017/08/15",51.49
"Currency","2017/08/14",51.22
"Currency","2017/08/12",51.00
"Currency","2017/08/11",51.00
"Currency","2017/08/10",50.92
"Currency","2017/08/09",50.66
"Currency","2017/08/08",50.60
"Currency","2017/08/07",50.41
"Currency","2017/08/04",50.33
"Currency","2017/08/03",50.20
"Currency","2017/08/02",50.33
"Currency","2017/08/01",50.40
"Currency","2017/07/31",50.45
"Currency","2017/07/28",50.50
"Currency","2017/07/27",50.48
"Currency","2017/07/26",50.65
"Currency","2017/07/25",50.57
"Currency","2017/07/24",50.67
"Currency","2017/07/21",50.70
"Currency","2017/07/20",50.65
"Currency","2017/07/19",50.79
"Currency","2017/07/18",50.74
"Currency","2017/07/17",50.63
"Currency","2017/07/14",50.60
"Currency","2017/07/13",50.69
"Currency","2017/07/12",50.53
"Currency","2017/07/11",50.85
"Currency","2017/07/10",50.85
"Currency","2017/07/08",50.62
"Currency","2017/07/07",50.62
"Currency","2017/07/06",50.70
"Currency","2017/07/05",50.59
"Currency","2017/07/04",50.52
"Currency","2017/07/03",50.46
"Currency","2017/06/30",50.45
"Currency","2017/06/29",50.53
"Currency","2017/06/28",50.46
"Currency","2017/06/27",50.26
"Currency","2017/06/26",50.15
"Currency","2017/06/24",50.23
"Currency","2017/06/23",50.23
"Currency","2017/06/22",50.38
"Currency","2017/06/21",50.28
"Currency","2017/06/20",50.20
"Currency","2017/06/19",49.85
"Currency","2017/06/17",49.89
"Currency","2017/06/16",49.89
"Currency","2017/06/15",49.47
"Currency","2017/06/14",49.49
"Currency","2017/06/13",49.56
"Currency","2017/06/12",49.49
"Currency","2017/06/09",49.52
"Currency","2017/06/08",49.56
"Currency","2017/06/07",49.43
"Currency","2017/06/06",49.36
"Currency","2017/06/05",49.50
"Currency","2017/06/03",49.70
"Currency","2017/06/02",49.48
"Currency","2017/06/01",49.76
"Currency","2017/05/31",49.77
"Currency","2017/05/30",49.84
"Currency","2017/05/29",49.78
"Currency","2017/05/26",49.85
"Currency","2017/05/25",49.90
"Currency","2017/05/24",49.94
"Currency","2017/05/23",49.77
"Currency","2017/05/22",49.75
"Currency","2017/05/20",49.63
"Currency","2017/05/19",49.63
"Currency","2017/05/18",49.86
"Currency","2017/05/17",49.74
"Currency","2017/05/15",49.68
"Currency","2017/05/12",49.79
"Currency","2017/05/11",49.92
"Currency","2017/05/10",49.94
"Currency","2017/05/09",50.00
"Currency","2017/05/08",49.90
"Currency","2017/05/05",49.84
"Currency","2017/05/04",49.90
"Currency","2017/05/03",49.94
"Currency","2017/05/02",49.99
"Currency","2017/05/01",50.13
"Currency","2017/04/28",50.09
"Currency","2017/04/27",50.05
"Currency","2017/04/26",49.89
"Currency","2017/04/21",49.84
"Currency","2017/04/20",49.80
"Currency","2017/04/19",49.75
"Currency","2017/04/18",49.60
"Currency","2017/04/17",49.50
"Currency","2017/04/14",49.47
"Currency","2017/04/13",49.41
"Currency","2017/04/12",49.33
"Currency","2017/04/11",49.62
"Currency","2017/04/10",49.57
"Currency","2017/04/07",49.78
"Currency","2017/04/06",50.18
"Currency","2017/04/05",50.17
"Currency","2017/04/04",50.17
"Currency","2017/04/03",50.10
"Currency","2017/03/31",50.17
"Currency","2017/03/30",50.18
"Currency","2017/03/29",50.18
"Currency","2017/03/28",50.16
"Currency","2017/03/27",50.08
"Currency","2017/03/24",50.20
"Currency","2017/03/23",50.30
"Currency","2017/03/22",50.30
"Currency","2017/03/21",50.16
"Currency","2017/03/20",50.09
"Currency","2017/03/17",50.19
"Currency","2017/03/16",49.94
"Currency","2017/03/15",50.20
"Currency","2017/03/14",50.30
"Currency","2017/03/13",50.28
"Currency","2017/03/11",50.21
"Currency","2017/03/10",50.21
"Currency","2017/03/09",50.33
"Currency","2017/03/08",50.36
"Currency","2017/03/07",50.27
"Currency","2017/03/06",50.30
"Currency","2017/03/03",50.24
"Currency","2017/03/02",50.46
"Currency","2017/03/01",50.32
"Currency","2017/02/28",50.25
"Currency","2017/02/27",50.27
"Currency","2017/02/24",50.16
"Currency","2017/02/23",50.09
"Currency","2017/02/22",50.10
"Currency","2017/02/21",50.26
"Currency","2017/02/20",50.44
"Currency","2017/02/18",50.04
"Currency","2017/02/17",50.04
"Currency","2017/02/16",50.03
"Currency","2017/02/15",49.93
"Currency","2017/02/14",49.86
"Currency","2017/02/13",49.91
"Currency","2017/02/10",49.95
"Currency","2017/02/09",49.94
"Currency","2017/02/08",49.87
"Currency","2017/02/07",49.74
"Currency","2017/02/06",49.48
"Currency","2017/02/03",49.69
"Currency","2017/02/02",49.73
"Currency","2017/02/01",49.72
"Currency","2017/01/31",49.70
"Currency","2017/01/30",49.72
"Currency","2017/01/27",49.77
"Currency","2017/01/26",49.80
"Currency","2017/01/25",49.63
"Currency","2017/01/24",49.71
"Currency","2017/01/23",49.92
"Currency","2017/01/20",49.97
"Currency","2017/01/19",50.00
"Currency","2017/01/18",50.02
"Currency","2017/01/17",49.69
"Currency","2017/01/16",49.98
"Currency","2017/01/13",49.82
"Currency","2017/01/12",49.65
"Currency","2017/01/11",49.56
"Currency","2017/01/10",49.58
"Currency","2017/01/09",49.55
"Currency","2017/01/06",49.50
"Currency","2017/01/05",49.29
"Currency","2017/01/04",49.67
"Currency","2017/01/03",49.74
"Currency","2017/01/02",49.60
"Currency","2016/12/30",49.56
"Currency","2016/12/29",49.55
"Currency","2016/12/28",49.78
"Currency","2016/12/27",49.79
"Currency","2016/12/26",49.70
"Currency","2016/12/23",49.75
"Currency","2016/12/22",49.80
"Currency","2016/12/21",49.83
"Currency","2016/12/20",49.97
"Currency","2016/12/19",49.85
"Currency","2016/12/16",49.94
"Currency","2016/12/15",49.93
"Currency","2016/12/14",49.77
"Currency","2016/12/13",49.74
"Currency","2016/12/12",49.74
"Currency","2016/12/10",49.75
"Currency","2016/12/09",49.87
"Currency","2016/12/08",49.69
"Currency","2016/12/07",49.60
"Currency","2016/12/06",49.57
"Currency","2016/12/05",49.51
"Currency","2016/12/02",49.61
"Currency","2016/12/01",49.73
"Currency","2016/11/30",49.92
"Currency","2016/11/29",49.73
"Currency","2016/11/28",49.75
"Currency","2016/11/25",49.82
"Currency","2016/11/24",50.07
"Currency","2016/11/23",49.95
"Currency","2016/11/22",49.80
"Currency","2016/11/21",49.76
"Currency","2016/11/19",49.66
"Currency","2016/11/18",49.66
"Currency","2016/11/17",49.55
"Currency","2016/11/16",49.47
"Currency","2016/11/15",49.17
"Currency","2016/11/14",49.16
"Currency","2016/11/12",49.08
"Currency","2016/11/11",49.08
"Currency","2016/11/10",48.94
"Currency","2016/11/09",48.83
"Currency","2016/11/08",48.52
"Currency","2016/11/07",48.71
"Currency","2016/11/04",48.52
"Currency","2016/11/03",48.40
"Currency","2016/11/02",48.30
"Currency","2016/11/01",48.38
"Currency","2016/10/31",48.44
"Currency","2016/10/29",48.47
"Currency","2016/10/28",48.47
"Currency","2016/10/27",48.50
"Currency","2016/10/26",48.44
"Currency","2016/10/25",48.16
"Currency","2016/10/24",48.23
"Currency","2016/10/21",48.24
"Currency","2016/10/20",48.08
"Currency","2016/10/19",47.99
"Currency","2016/10/18",48.18
"Currency","2016/10/17",48.58
"Currency","2016/10/14",48.39
"Currency","2016/10/13",48.53
"Currency","2016/10/12",48.65
"Currency","2016/10/11",48.69
"Currency","2016/10/10",48.33
"Currency","2016/10/07",48.25
"Currency","2016/10/06",48.28
"Currency","2016/10/05",48.28
"Currency","2016/10/04",48.26
"Currency","2016/10/03",48.16
"Currency","2016/10/01",48.30
"Currency","2016/09/30",48.47
"Currency","2016/09/29",48.31
"Currency","2016/09/28",48.26
"Currency","2016/09/27",48.32
"Currency","2016/09/26",48.25
"Currency","2016/09/24",48.13
"Currency","2016/09/23",48.04
"Currency","2016/09/22",47.81
"Currency","2016/09/21",47.87
"Currency","2016/09/20",47.80
"Currency","2016/09/19",47.88
"Currency","2016/09/17",47.95
"Currency","2016/09/16",47.85
"Currency","2016/09/15",47.74
"Currency","2016/09/14",47.45
"Currency","2016/09/13",47.63
"Currency","2016/09/12",47.57
"Currency","2016/09/10",47.39
"Currency","2016/09/09",47.21
"Currency","2016/09/08",46.84
"Currency","2016/09/07",46.68
"Currency","2016/09/06",46.59
"Currency","2016/09/05",47.00
"Currency","2016/09/03",46.57
"Currency","2016/09/02",46.57
"Currency","2016/09/01",46.68
"Currency","2016/08/31",46.63
"Currency","2016/08/30",46.47
"Currency","2016/08/29",46.35
"Currency","2016/08/26",46.30
"Currency","2016/08/25",46.34
