"Indicator","Time","Value (USD/RWF)"
"Currency","2018/06/08",870.76
"Currency","2018/06/07",870.62
"Currency","2018/06/06",848.24
"Currency","2018/06/05",870.45
"Currency","2018/06/04",870.32
"Currency","2018/06/01",870.08
"Currency","2018/05/31",870.08
"Currency","2018/05/30",848.64
"Currency","2018/05/29",847.69
"Currency","2018/05/28",869.71
"Currency","2018/05/25",869.60
"Currency","2018/05/24",869.50
"Currency","2018/05/23",846.39
"Currency","2018/05/22",847.99
"Currency","2018/05/21",869.14
"Currency","2018/05/18",869.00
"Currency","2018/05/17",868.89
"Currency","2018/05/16",868.75
"Currency","2018/05/15",844.84
"Currency","2018/05/14",847.25
"Currency","2018/05/11",868.39
"Currency","2018/05/10",868.28
"Currency","2018/05/09",868.14
"Currency","2018/05/08",868.13
"Currency","2018/05/07",846.72
"Currency","2018/05/04",867.77
"Currency","2018/05/03",867.77
"Currency","2018/05/02",867.84
"Currency","2018/05/01",867.76
"Currency","2018/04/30",867.76
"Currency","2018/04/27",867.66
"Currency","2018/04/26",867.45
"Currency","2018/04/25",867.45
"Currency","2018/04/24",867.33
"Currency","2018/04/23",867.20
"Currency","2018/04/20",867.04
"Currency","2018/04/19",866.92
"Currency","2018/04/18",866.82
"Currency","2018/04/17",866.74
"Currency","2018/04/16",866.61
"Currency","2018/04/13",866.42
"Currency","2018/04/12",866.42
"Currency","2018/04/11",866.29
"Currency","2018/04/10",866.08
"Currency","2018/04/09",866.08
"Currency","2018/04/06",865.94
"Currency","2018/04/05",865.82
"Currency","2018/04/04",865.68
"Currency","2018/04/03",865.57
"Currency","2018/04/02",865.43
"Currency","2018/03/30",865.43
"Currency","2018/03/29",865.43
"Currency","2018/03/28",865.29
"Currency","2018/03/27",865.16
"Currency","2018/03/26",843.88
"Currency","2018/03/23",864.91
"Currency","2018/03/22",864.81
"Currency","2018/03/21",864.65
"Currency","2018/03/20",864.48
"Currency","2018/03/19",864.37
"Currency","2018/03/16",864.25
"Currency","2018/03/15",864.12
"Currency","2018/03/14",863.99
"Currency","2018/03/13",842.70
"Currency","2018/03/12",863.78
"Currency","2018/03/09",863.67
"Currency","2018/03/08",863.53
"Currency","2018/03/07",863.40
"Currency","2018/03/06",863.29
"Currency","2018/03/05",863.16
"Currency","2018/03/02",841.00
"Currency","2018/03/01",841.78
"Currency","2018/02/28",862.71
"Currency","2018/02/27",862.56
"Currency","2018/02/26",841.30
"Currency","2018/02/23",840.65
"Currency","2018/02/22",862.07
"Currency","2018/02/21",861.94
"Currency","2018/02/20",861.83
"Currency","2018/02/19",840.63
"Currency","2018/02/16",840.50
"Currency","2018/02/15",861.44
"Currency","2018/02/14",861.36
"Currency","2018/02/13",861.27
"Currency","2018/02/12",840.07
"Currency","2018/02/09",839.94
"Currency","2018/02/08",860.90
"Currency","2018/02/07",860.79
"Currency","2018/02/06",838.73
"Currency","2018/02/05",860.54
"Currency","2018/02/02",839.30
"Currency","2018/02/01",839.19
"Currency","2018/01/31",839.19
"Currency","2018/01/30",859.29
"Currency","2018/01/29",859.97
"Currency","2018/01/26",838.91
"Currency","2018/01/25",838.78
"Currency","2018/01/24",825.00
"Currency","2018/01/23",835.96
"Currency","2018/01/22",859.44
"Currency","2018/01/19",838.29
"Currency","2018/01/18",859.20
"Currency","2018/01/17",846.15
"Currency","2018/01/16",837.91
"Currency","2018/01/15",837.80
"Currency","2018/01/12",837.64
"Currency","2018/01/11",837.52
"Currency","2018/01/10",834.40
"Currency","2018/01/09",858.27
"Currency","2018/01/08",825.00
"Currency","2018/01/05",837.07
"Currency","2018/01/04",857.94
"Currency","2018/01/03",857.79
"Currency","2018/01/02",857.63
"Currency","2017/12/29",836.62
"Currency","2017/12/28",857.46
"Currency","2017/12/27",836.31
"Currency","2017/12/26",857.21
"Currency","2017/12/25",836.22
"Currency","2017/12/22",836.22
"Currency","2017/12/21",844.45
"Currency","2017/12/20",835.00
"Currency","2017/12/19",856.92
"Currency","2017/12/18",856.86
"Currency","2017/12/15",835.82
"Currency","2017/12/14",835.75
"Currency","2017/12/13",835.64
"Currency","2017/12/12",835.55
"Currency","2017/12/11",835.48
"Currency","2017/12/08",835.38
"Currency","2017/12/07",835.30
"Currency","2017/12/06",846.15
"Currency","2017/12/05",835.11
"Currency","2017/12/04",855.99
"Currency","2017/12/01",834.92
"Currency","2017/11/30",834.84
"Currency","2017/11/29",854.85
"Currency","2017/11/28",834.62
"Currency","2017/11/27",855.43
"Currency","2017/11/24",834.13
"Currency","2017/11/23",855.15
"Currency","2017/11/22",834.13
"Currency","2017/11/21",834.02
"Currency","2017/11/20",833.84
"Currency","2017/11/17",833.70
"Currency","2017/11/16",833.61
"Currency","2017/11/15",854.21
"Currency","2017/11/14",854.21
"Currency","2017/11/13",833.19
"Currency","2017/11/10",833.06
"Currency","2017/11/09",849.30
"Currency","2017/11/08",832.60
"Currency","2017/11/07",851.00
"Currency","2017/11/06",832.54
"Currency","2017/11/03",832.41
"Currency","2017/11/02",853.19
"Currency","2017/11/01",831.27
"Currency","2017/10/31",831.27
"Currency","2017/10/30",852.80
"Currency","2017/10/27",831.27
"Currency","2017/10/26",831.27
"Currency","2017/10/25",831.27
"Currency","2017/10/24",831.27
"Currency","2017/10/23",831.46
"Currency","2017/10/21",830.48
"Currency","2017/10/20",830.48
"Currency","2017/10/19",831.27
"Currency","2017/10/18",830.48
"Currency","2017/10/17",830.48
"Currency","2017/10/16",830.72
"Currency","2017/10/13",830.48
"Currency","2017/10/12",830.48
"Currency","2017/10/11",829.65
"Currency","2017/10/10",828.85
"Currency","2017/10/09",830.18
"Currency","2017/10/06",828.85
"Currency","2017/10/05",828.85
"Currency","2017/10/04",828.85
"Currency","2017/10/03",828.85
"Currency","2017/10/02",828.85
"Currency","2017/09/30",828.87
"Currency","2017/09/29",828.87
"Currency","2017/09/28",828.87
"Currency","2017/09/27",828.87
"Currency","2017/09/26",828.87
"Currency","2017/09/25",828.85
"Currency","2017/09/22",828.75
"Currency","2017/09/21",828.65
"Currency","2017/09/20",828.50
"Currency","2017/09/19",828.40
"Currency","2017/09/18",828.30
"Currency","2017/09/16",827.40
"Currency","2017/09/15",827.40
"Currency","2017/09/14",827.40
"Currency","2017/09/13",827.40
"Currency","2017/09/12",827.60
"Currency","2017/09/11",827.40
"Currency","2017/09/09",827.25
"Currency","2017/09/08",827.25
"Currency","2017/09/07",827.04
"Currency","2017/09/06",826.84
"Currency","2017/09/05",826.61
"Currency","2017/09/04",826.29
"Currency","2017/09/01",826.52
"Currency","2017/08/31",826.29
"Currency","2017/08/30",837.16
"Currency","2017/08/29",826.29
"Currency","2017/08/28",826.10
"Currency","2017/08/25",836.32
"Currency","2017/08/24",825.72
"Currency","2017/08/23",825.72
"Currency","2017/08/22",825.56
"Currency","2017/08/21",825.33
"Currency","2017/08/19",825.40
"Currency","2017/08/18",825.40
"Currency","2017/08/17",825.40
"Currency","2017/08/16",825.38
"Currency","2017/08/15",825.25
"Currency","2017/08/14",825.25
"Currency","2017/08/11",824.97
"Currency","2017/08/10",824.95
"Currency","2017/08/09",824.86
"Currency","2017/08/08",824.66
"Currency","2017/08/07",824.47
"Currency","2017/08/04",824.22
"Currency","2017/08/03",824.25
"Currency","2017/08/02",824.16
"Currency","2017/08/01",824.00
"Currency","2017/07/31",821.00
"Currency","2017/07/28",823.60
"Currency","2017/07/27",831.00
"Currency","2017/07/26",823.18
"Currency","2017/07/25",818.36
"Currency","2017/07/24",819.18
"Currency","2017/07/21",823.21
"Currency","2017/07/20",830.97
"Currency","2017/07/19",822.86
"Currency","2017/07/18",822.56
"Currency","2017/07/17",823.06
"Currency","2017/07/14",822.66
"Currency","2017/07/13",822.66
"Currency","2017/07/12",822.66
"Currency","2017/07/11",834.16
"Currency","2017/07/10",822.00
"Currency","2017/07/08",822.00
"Currency","2017/07/07",822.00
"Currency","2017/07/06",822.00
"Currency","2017/07/05",841.16
"Currency","2017/07/04",822.00
"Currency","2017/07/03",838.96
"Currency","2017/06/30",821.80
"Currency","2017/06/29",821.61
"Currency","2017/06/28",821.45
"Currency","2017/06/27",821.30
"Currency","2017/06/26",821.30
"Currency","2017/06/24",821.00
"Currency","2017/06/23",821.00
"Currency","2017/06/22",821.27
"Currency","2017/06/21",821.12
"Currency","2017/06/20",821.01
"Currency","2017/06/19",821.12
"Currency","2017/06/17",821.02
"Currency","2017/06/16",821.02
"Currency","2017/06/15",820.85
"Currency","2017/06/14",843.00
"Currency","2017/06/13",820.66
"Currency","2017/06/12",820.33
"Currency","2017/06/09",820.33
"Currency","2017/06/08",820.33
"Currency","2017/06/07",820.33
"Currency","2017/06/06",820.22
"Currency","2017/06/05",819.98
"Currency","2017/06/03",819.98
"Currency","2017/06/02",819.98
"Currency","2017/06/01",819.78
"Currency","2017/05/31",819.67
"Currency","2017/05/30",819.58
"Currency","2017/05/29",819.58
"Currency","2017/05/26",819.49
"Currency","2017/05/25",819.49
"Currency","2017/05/24",819.25
"Currency","2017/05/23",819.25
"Currency","2017/05/22",819.25
"Currency","2017/05/20",819.25
"Currency","2017/05/19",819.25
"Currency","2017/05/18",819.25
"Currency","2017/05/17",819.25
"Currency","2017/05/16",826.00
"Currency","2017/05/15",825.00
"Currency","2017/05/12",825.00
"Currency","2017/05/11",826.58
"Currency","2017/05/10",833.78
"Currency","2017/05/09",819.42
"Currency","2017/05/08",815.10
"Currency","2017/05/05",819.25
"Currency","2017/05/04",811.00
"Currency","2017/05/03",819.20
"Currency","2017/05/02",819.17
"Currency","2017/05/01",819.02
"Currency","2017/04/28",819.02
"Currency","2017/04/27",818.89
"Currency","2017/04/26",811.00
"Currency","2017/04/25",825.00
"Currency","2017/04/24",825.00
"Currency","2017/04/21",825.00
"Currency","2017/04/20",818.64
"Currency","2017/04/19",818.60
"Currency","2017/04/18",818.41
"Currency","2017/04/17",818.50
"Currency","2017/04/14",818.36
"Currency","2017/04/13",818.37
"Currency","2017/04/12",818.37
"Currency","2017/04/11",818.42
"Currency","2017/04/10",818.28
"Currency","2017/04/07",818.45
"Currency","2017/04/06",818.45
"Currency","2017/04/05",818.36
"Currency","2017/04/04",814.75
"Currency","2017/04/03",818.03
"Currency","2017/03/31",871.93
"Currency","2017/03/30",818.01
"Currency","2017/03/29",817.77
"Currency","2017/03/28",817.74
"Currency","2017/03/27",817.80
"Currency","2017/03/24",817.28
"Currency","2017/03/23",817.28
"Currency","2017/03/22",817.10
"Currency","2017/03/21",817.02
"Currency","2017/03/20",816.88
"Currency","2017/03/17",816.90
"Currency","2017/03/16",816.79
"Currency","2017/03/15",816.65
"Currency","2017/03/14",816.46
"Currency","2017/03/13",816.49
"Currency","2017/03/10",816.55
"Currency","2017/03/09",816.36
"Currency","2017/03/08",816.17
"Currency","2017/03/07",815.92
"Currency","2017/03/06",815.91
"Currency","2017/03/03",816.14
"Currency","2017/03/02",816.01
"Currency","2017/03/01",815.75
"Currency","2017/02/28",815.67
"Currency","2017/02/27",810.00
"Currency","2017/02/24",815.57
"Currency","2017/02/23",815.43
"Currency","2017/02/22",815.19
"Currency","2017/02/21",815.11
"Currency","2017/02/20",814.93
"Currency","2017/02/18",810.00
"Currency","2017/02/17",810.00
"Currency","2017/02/16",814.86
"Currency","2017/02/15",814.75
"Currency","2017/02/14",814.66
"Currency","2017/02/13",814.40
"Currency","2017/02/11",814.39
"Currency","2017/02/10",814.39
"Currency","2017/02/09",814.28
"Currency","2017/02/08",814.18
"Currency","2017/02/07",814.15
"Currency","2017/02/06",813.92
"Currency","2017/02/04",813.76
"Currency","2017/02/03",813.76
"Currency","2017/02/02",813.62
"Currency","2017/02/01",813.61
"Currency","2017/01/31",816.00
"Currency","2017/01/30",813.50
"Currency","2017/01/27",813.44
"Currency","2017/01/26",813.23
"Currency","2017/01/25",812.97
"Currency","2017/01/24",813.00
"Currency","2017/01/23",813.06
"Currency","2017/01/21",812.58
"Currency","2017/01/20",812.58
"Currency","2017/01/19",812.58
"Currency","2017/01/18",812.58
"Currency","2017/01/17",812.58
"Currency","2017/01/16",812.49
"Currency","2017/01/13",812.59
"Currency","2017/01/12",812.33
"Currency","2017/01/11",812.26
"Currency","2017/01/10",812.15
"Currency","2017/01/09",822.00
"Currency","2017/01/06",821.00
"Currency","2017/01/05",822.00
"Currency","2017/01/04",822.00
"Currency","2017/01/03",822.00
"Currency","2017/01/02",822.00
"Currency","2016/12/30",822.00
"Currency","2016/12/29",822.00
"Currency","2016/12/28",822.00
"Currency","2016/12/27",815.12
"Currency","2016/12/26",814.89
"Currency","2016/12/23",814.89
"Currency","2016/12/22",814.77
"Currency","2016/12/21",814.61
"Currency","2016/12/20",814.47
"Currency","2016/12/19",814.12
"Currency","2016/12/16",814.09
"Currency","2016/12/15",813.91
"Currency","2016/12/14",813.66
"Currency","2016/12/13",813.62
"Currency","2016/12/12",813.48
"Currency","2016/12/10",809.51
"Currency","2016/12/09",813.34
"Currency","2016/12/08",813.10
"Currency","2016/12/07",813.01
"Currency","2016/12/06",812.85
"Currency","2016/12/05",812.73
"Currency","2016/12/02",812.52
"Currency","2016/12/01",812.36
"Currency","2016/11/30",812.31
"Currency","2016/11/29",812.08
"Currency","2016/11/28",811.85
"Currency","2016/11/25",811.72
"Currency","2016/11/24",811.40
"Currency","2016/11/23",811.41
