"Indicator","Time","Value (USD/SDG)"
"Currency","2018/06/09",17.96
"Currency","2018/06/08",17.96
"Currency","2018/06/07",17.96
"Currency","2018/06/06",17.96
"Currency","2018/06/05",17.90
"Currency","2018/06/04",17.96
"Currency","2018/06/02",17.96
"Currency","2018/06/01",17.96
"Currency","2018/05/31",17.81
"Currency","2018/05/30",17.96
"Currency","2018/05/29",17.96
"Currency","2018/05/28",17.96
"Currency","2018/05/26",17.96
"Currency","2018/05/25",17.91
"Currency","2018/05/24",17.96
"Currency","2018/05/23",17.96
"Currency","2018/05/22",17.96
"Currency","2018/05/21",17.96
"Currency","2018/05/20",17.96
"Currency","2018/05/19",17.96
"Currency","2018/05/18",17.96
"Currency","2018/05/17",17.96
"Currency","2018/05/16",17.96
"Currency","2018/05/15",17.96
"Currency","2018/05/14",17.96
"Currency","2018/05/13",17.95
"Currency","2018/05/12",17.95
"Currency","2018/05/11",17.95
"Currency","2018/05/10",17.96
"Currency","2018/05/09",17.96
"Currency","2018/05/08",18.05
"Currency","2018/05/07",18.05
"Currency","2018/05/06",18.05
"Currency","2018/05/05",18.05
"Currency","2018/05/04",18.05
"Currency","2018/05/03",17.90
"Currency","2018/05/02",17.90
"Currency","2018/05/01",18.05
"Currency","2018/04/30",18.05
"Currency","2018/04/29",18.05
"Currency","2018/04/28",18.05
"Currency","2018/04/27",17.90
"Currency","2018/04/26",18.05
"Currency","2018/04/25",18.05
"Currency","2018/04/24",18.05
"Currency","2018/04/23",18.05
"Currency","2018/04/22",18.05
"Currency","2018/04/21",18.05
"Currency","2018/04/20",18.05
"Currency","2018/04/19",18.05
"Currency","2018/04/18",18.05
"Currency","2018/04/17",18.05
"Currency","2018/04/16",18.05
"Currency","2018/04/15",18.05
"Currency","2018/04/14",18.05
"Currency","2018/04/13",18.05
"Currency","2018/04/12",17.90
"Currency","2018/04/11",18.05
"Currency","2018/04/10",18.05
"Currency","2018/04/09",18.05
"Currency","2018/04/08",18.05
"Currency","2018/04/07",18.05
"Currency","2018/04/06",18.05
"Currency","2018/04/05",17.90
"Currency","2018/04/04",18.05
"Currency","2018/04/03",18.05
"Currency","2018/04/02",18.05
"Currency","2018/04/01",18.05
"Currency","2018/03/31",18.05
"Currency","2018/03/30",18.05
