"Indicator","Time","Value (USD/SOS)"
"Currency","2018/06/09",575.00
"Currency","2018/06/08",575.00
"Currency","2018/06/07",575.00
"Currency","2018/06/06",575.00
"Currency","2018/06/05",575.00
"Currency","2018/06/04",575.00
"Currency","2018/06/02",575.00
"Currency","2018/06/01",575.00
"Currency","2018/05/31",575.00
"Currency","2018/05/30",575.00
"Currency","2018/05/29",575.00
"Currency","2018/05/28",575.00
"Currency","2018/05/26",575.00
"Currency","2018/05/25",575.00
"Currency","2018/05/24",575.00
"Currency","2018/05/23",575.00
"Currency","2018/05/22",575.00
"Currency","2018/05/21",575.00
"Currency","2018/05/20",575.00
"Currency","2018/05/19",575.00
"Currency","2018/05/18",575.00
"Currency","2018/05/17",575.00
"Currency","2018/05/16",575.00
"Currency","2018/05/15",575.00
"Currency","2018/05/14",575.00
"Currency","2018/05/13",575.00
"Currency","2018/05/12",575.00
"Currency","2018/05/11",575.00
"Currency","2018/05/10",575.00
"Currency","2018/05/09",575.00
"Currency","2018/05/08",575.00
"Currency","2018/05/07",575.00
"Currency","2018/05/06",575.00
"Currency","2018/05/05",575.00
"Currency","2018/05/04",575.00
"Currency","2018/05/03",575.00
"Currency","2018/05/02",576.00
"Currency","2018/05/01",575.00
"Currency","2018/04/30",575.00
"Currency","2018/04/29",575.00
"Currency","2018/04/28",575.00
"Currency","2018/04/27",575.00
"Currency","2018/04/26",575.00
"Currency","2018/04/25",575.00
"Currency","2018/04/24",575.00
"Currency","2018/04/23",575.00
"Currency","2018/04/22",575.00
"Currency","2018/04/21",575.00
"Currency","2018/04/20",575.00
"Currency","2018/04/19",575.00
"Currency","2018/04/18",575.00
"Currency","2018/04/17",575.00
"Currency","2018/04/16",575.00
"Currency","2018/04/15",575.00
"Currency","2018/04/14",575.00
"Currency","2018/04/13",575.00
"Currency","2018/04/12",575.00
"Currency","2018/04/11",575.00
"Currency","2018/04/10",575.00
"Currency","2018/04/09",575.00
"Currency","2018/04/08",575.00
"Currency","2018/04/07",575.00
"Currency","2018/04/06",575.00
"Currency","2018/04/05",575.00
"Currency","2018/04/04",575.00
"Currency","2018/04/03",575.00
"Currency","2018/04/02",575.00
"Currency","2018/04/01",575.00
"Currency","2018/03/31",575.00
"Currency","2018/03/30",575.00
"Currency","2018/03/29",575.00
"Currency","2018/03/28",575.00
"Currency","2018/03/27",575.00
"Currency","2018/03/26",575.00
