"Indicator","Time","Value (USD/SSP)"
"Currency","2018/06/09",137.45
"Currency","2018/06/08",137.36
"Currency","2018/06/07",137.24
"Currency","2018/06/06",137.30
"Currency","2018/06/05",137.30
"Currency","2018/06/04",137.22
"Currency","2018/06/02",137.22
"Currency","2018/06/01",136.03
"Currency","2018/05/31",136.94
"Currency","2018/05/30",136.64
"Currency","2018/05/29",137.36
"Currency","2018/05/28",136.13
"Currency","2018/05/26",136.13
"Currency","2018/05/25",136.03
"Currency","2018/05/24",136.78
"Currency","2018/05/23",136.00
"Currency","2018/05/22",136.87
"Currency","2018/05/21",136.87
"Currency","2018/05/20",133.75
"Currency","2017/12/29",129.26
"Currency","2017/12/28",129.26
"Currency","2017/12/27",129.27
"Currency","2017/12/26",129.26
"Currency","2017/12/24",129.26
"Currency","2017/12/22",129.26
"Currency","2017/12/21",129.26
"Currency","2017/12/20",129.27
"Currency","2017/12/19",129.28
"Currency","2017/12/18",129.26
"Currency","2017/12/15",129.27
"Currency","2017/12/14",129.26
"Currency","2017/12/13",129.26
"Currency","2017/12/12",129.26
"Currency","2017/12/11",129.27
"Currency","2017/12/08",129.27
"Currency","2017/12/07",129.27
"Currency","2017/12/06",129.26
"Currency","2017/12/05",129.27
"Currency","2017/12/04",129.26
"Currency","2017/12/01",129.26
"Currency","2017/11/30",129.27
"Currency","2017/11/29",129.26
"Currency","2017/11/28",129.26
"Currency","2017/11/27",129.26
"Currency","2017/11/24",129.26
"Currency","2017/11/23",129.26
"Currency","2017/11/22",129.26
"Currency","2017/11/21",129.21
"Currency","2017/11/20",129.20
"Currency","2017/11/17",129.21
"Currency","2017/11/16",129.20
"Currency","2017/11/15",129.00
"Currency","2017/11/14",129.00
"Currency","2017/11/13",129.26
"Currency","2017/11/10",129.26
"Currency","2017/11/09",129.26
"Currency","2017/11/08",129.26
"Currency","2017/11/07",129.26
"Currency","2017/11/06",129.26
"Currency","2017/11/03",129.26
"Currency","2017/11/02",129.26
"Currency","2017/10/31",129.26
"Currency","2017/10/30",129.26
"Currency","2017/10/27",129.26
"Currency","2017/10/26",129.26
"Currency","2017/10/25",129.26
"Currency","2017/10/24",129.26
"Currency","2017/10/23",129.26
"Currency","2017/10/20",129.41
"Currency","2017/10/19",129.22
"Currency","2017/10/18",129.31
"Currency","2017/10/17",129.08
"Currency","2017/10/16",128.68
"Currency","2017/10/13",128.68
"Currency","2017/10/12",128.02
"Currency","2017/10/11",127.87
"Currency","2017/10/10",127.13
"Currency","2017/10/09",126.87
"Currency","2017/10/06",126.87
"Currency","2017/10/05",126.42
"Currency","2017/10/04",126.51
"Currency","2017/10/03",126.47
"Currency","2017/10/02",125.85
"Currency","2017/09/29",125.85
"Currency","2017/09/28",125.83
"Currency","2017/09/27",125.49
"Currency","2017/09/26",125.49
"Currency","2017/09/25",125.68
"Currency","2017/09/22",125.49
"Currency","2017/09/21",125.47
"Currency","2017/09/20",125.18
"Currency","2017/09/19",125.27
"Currency","2017/09/18",125.05
"Currency","2017/09/15",124.88
"Currency","2017/09/14",124.74
"Currency","2017/09/13",124.72
"Currency","2017/09/12",124.25
"Currency","2017/09/11",124.35
"Currency","2017/09/08",124.17
"Currency","2017/09/07",124.21
"Currency","2017/09/06",123.96
"Currency","2017/09/05",124.21
"Currency","2017/09/04",124.26
"Currency","2017/09/03",123.94
"Currency","2017/09/01",123.94
"Currency","2017/08/31",123.94
"Currency","2017/08/30",123.94
"Currency","2017/08/29",124.53
"Currency","2017/08/28",124.45
"Currency","2017/08/25",124.46
"Currency","2017/08/24",124.45
"Currency","2017/08/23",124.22
"Currency","2017/08/22",124.55
"Currency","2017/08/21",124.39
"Currency","2017/08/18",124.65
"Currency","2017/08/17",124.44
"Currency","2017/08/16",124.74
"Currency","2017/08/15",124.96
"Currency","2017/08/14",125.40
"Currency","2017/08/11",125.40
"Currency","2017/08/10",124.89
"Currency","2017/08/09",124.64
"Currency","2017/08/08",124.62
"Currency","2017/08/07",124.60
"Currency","2017/08/04",124.92
"Currency","2017/08/03",124.82
"Currency","2017/08/02",124.57
"Currency","2017/08/01",124.35
"Currency","2017/07/31",124.53
"Currency","2017/07/28",124.53
"Currency","2017/07/27",124.70
"Currency","2017/07/26",124.40
"Currency","2017/07/25",124.40
"Currency","2017/07/24",124.40
"Currency","2017/07/21",124.21
"Currency","2017/07/20",124.17
"Currency","2017/07/19",124.11
"Currency","2017/07/18",124.13
"Currency","2017/07/17",124.13
"Currency","2017/07/14",124.51
"Currency","2017/07/13",124.80
"Currency","2017/07/12",124.66
"Currency","2017/07/11",124.64
"Currency","2017/07/10",123.85
"Currency","2017/07/07",123.85
"Currency","2017/07/06",123.54
"Currency","2017/07/05",123.33
"Currency","2017/07/04",122.71
"Currency","2017/07/03",123.12
"Currency","2017/07/02",123.12
"Currency","2017/06/30",123.12
"Currency","2017/06/29",123.08
"Currency","2017/06/28",122.93
"Currency","2017/06/27",123.47
"Currency","2017/06/26",123.47
"Currency","2017/06/23",123.47
"Currency","2017/06/22",123.32
"Currency","2017/06/21",123.32
"Currency","2017/06/20",122.48
"Currency","2017/06/19",122.36
"Currency","2017/06/16",122.03
"Currency","2017/06/15",122.03
"Currency","2017/06/13",121.11
"Currency","2017/06/09",121.85
"Currency","2017/06/08",121.22
"Currency","2017/06/07",120.96
"Currency","2017/06/06",121.67
"Currency","2017/06/05",121.74
"Currency","2017/06/02",121.48
"Currency","2017/06/01",121.23
"Currency","2017/05/31",121.02
"Currency","2017/05/30",121.31
"Currency","2017/05/29",118.70
"Currency","2017/05/26",118.70
"Currency","2017/05/25",117.96
"Currency","2017/05/24",117.91
"Currency","2017/05/23",117.91
"Currency","2017/05/22",117.33
"Currency","2017/05/19",116.43
"Currency","2017/05/18",117.37
"Currency","2017/05/17",117.33
"Currency","2017/05/15",117.33
"Currency","2017/05/12",116.44
"Currency","2017/05/11",117.40
"Currency","2017/05/10",117.40
"Currency","2017/05/09",116.34
"Currency","2017/05/08",117.61
"Currency","2017/05/05",117.38
"Currency","2017/05/04",116.76
"Currency","2017/05/03",116.63
"Currency","2017/05/02",117.05
"Currency","2017/05/01",116.90
"Currency","2017/04/28",116.90
"Currency","2017/04/27",115.97
"Currency","2017/04/26",114.93
"Currency","2017/04/21",114.98
"Currency","2017/04/20",114.54
"Currency","2017/04/19",116.35
"Currency","2017/04/18",113.84
"Currency","2017/04/17",113.84
"Currency","2017/04/14",113.84
"Currency","2017/04/13",113.84
"Currency","2017/04/12",113.14
"Currency","2017/04/11",100.00
"Currency","2017/04/07",111.14
"Currency","2017/04/05",109.35
"Currency","2017/04/04",109.35
"Currency","2017/04/03",108.80
"Currency","2017/03/31",110.04
"Currency","2017/03/30",110.32
"Currency","2017/03/29",110.20
"Currency","2017/03/28",105.98
"Currency","2017/03/27",104.85
"Currency","2017/03/24",73.04
"Currency","2017/03/23",73.04
"Currency","2017/03/22",73.04
"Currency","2017/03/20",73.04
"Currency","2017/03/17",73.04
"Currency","2017/03/16",73.04
"Currency","2017/03/15",73.04
"Currency","2017/03/14",73.04
"Currency","2017/03/10",73.04
"Currency","2017/03/09",73.04
"Currency","2017/03/08",73.04
"Currency","2017/03/07",73.04
"Currency","2017/03/06",73.04
"Currency","2017/03/03",73.04
"Currency","2017/03/02",73.04
"Currency","2017/03/01",73.04
"Currency","2017/02/28",73.04
"Currency","2017/02/27",73.04
"Currency","2017/02/24",73.04
"Currency","2017/02/23",73.04
"Currency","2017/02/22",73.04
"Currency","2017/02/21",73.04
"Currency","2017/02/20",73.04
"Currency","2017/02/17",73.04
"Currency","2017/02/16",73.04
"Currency","2017/02/15",73.04
"Currency","2017/02/14",73.04
"Currency","2017/02/13",73.04
"Currency","2017/02/10",73.04
"Currency","2017/02/09",73.04
"Currency","2017/02/08",73.04
"Currency","2017/02/07",73.04
"Currency","2017/01/31",73.05
"Currency","2017/01/30",73.05
"Currency","2017/01/27",73.05
"Currency","2017/01/26",73.04
"Currency","2017/01/24",73.05
"Currency","2017/01/23",73.05
"Currency","2017/01/20",73.04
"Currency","2017/01/19",73.05
"Currency","2017/01/18",73.03
"Currency","2017/01/17",73.03
"Currency","2017/01/16",73.03
"Currency","2017/01/13",86.59
"Currency","2017/01/12",86.38
"Currency","2017/01/11",85.99
"Currency","2017/01/10",85.62
"Currency","2017/01/09",85.34
"Currency","2017/01/06",84.92
"Currency","2017/01/05",84.34
"Currency","2017/01/04",84.00
"Currency","2017/01/03",83.85
"Currency","2017/01/02",73.00
"Currency","2016/12/30",83.91
"Currency","2016/12/29",83.12
"Currency","2016/12/28",82.84
"Currency","2016/12/23",73.05
"Currency","2016/12/22",81.57
"Currency","2016/12/21",73.05
"Currency","2016/12/20",81.23
"Currency","2016/12/19",73.05
"Currency","2016/12/16",79.81
"Currency","2016/12/15",79.34
"Currency","2016/12/14",73.05
"Currency","2016/12/13",73.05
"Currency","2016/12/12",73.05
"Currency","2016/12/09",77.59
"Currency","2016/12/08",73.05
"Currency","2016/12/07",73.05
"Currency","2016/12/06",73.05
"Currency","2016/12/05",73.05
"Currency","2016/12/02",74.32
"Currency","2016/12/01",74.28
"Currency","2016/11/30",73.21
"Currency","2016/11/29",73.05
"Currency","2016/11/28",73.15
"Currency","2016/11/25",73.32
"Currency","2016/11/24",73.51
"Currency","2016/11/23",73.36
"Currency","2016/11/22",72.42
"Currency","2016/11/21",72.40
"Currency","2016/11/18",72.70
"Currency","2016/11/17",72.48
"Currency","2016/11/16",33.00
"Currency","2016/11/15",72.82
"Currency","2016/11/14",72.80
"Currency","2016/11/11",72.48
"Currency","2016/11/10",72.45
"Currency","2016/11/09",70.08
"Currency","2016/11/08",70.13
"Currency","2016/11/07",71.98
"Currency","2016/11/04",72.11
"Currency","2016/10/21",70.78
"Currency","2016/10/20",70.36
"Currency","2016/10/19",70.33
"Currency","2016/10/18",70.28
"Currency","2016/10/17",45.50
"Currency","2016/10/14",50.56
"Currency","2016/10/13",50.56
"Currency","2016/10/12",50.56
"Currency","2016/10/11",50.57
"Currency","2016/10/07",50.59
"Currency","2016/10/06",50.56
"Currency","2016/10/05",50.60
"Currency","2016/10/04",50.53
"Currency","2016/10/03",46.99
"Currency","2016/09/30",50.58
"Currency","2016/09/29",50.58
"Currency","2016/09/28",50.60
"Currency","2016/09/27",50.61
"Currency","2016/09/26",50.64
"Currency","2016/09/23",50.64
"Currency","2016/09/22",50.66
"Currency","2016/09/21",50.68
"Currency","2016/09/20",50.65
"Currency","2016/09/19",50.68
"Currency","2016/09/16",50.69
"Currency","2016/09/15",50.65
"Currency","2016/09/14",50.68
"Currency","2016/09/13",50.68
"Currency","2016/09/12",50.68
"Currency","2016/09/09",50.66
"Currency","2016/09/08",50.64
"Currency","2016/09/07",50.66
"Currency","2016/09/06",50.68
"Currency","2016/09/05",45.50
"Currency","2016/09/02",50.66
"Currency","2016/09/01",50.71
"Currency","2016/08/31",50.70
"Currency","2016/08/30",50.72
"Currency","2016/08/29",50.82
"Currency","2016/08/26",50.97
"Currency","2016/08/25",50.88
"Currency","2016/08/24",50.94
"Currency","2016/08/23",50.92
"Currency","2016/08/22",50.96
"Currency","2016/08/19",51.00
"Currency","2016/08/18",50.86
"Currency","2016/08/17",50.88
"Currency","2016/08/16",50.92
"Currency","2016/08/15",50.98
"Currency","2016/08/12",54.55
"Currency","2016/08/11",50.89
"Currency","2016/08/10",50.94
"Currency","2016/08/09",50.98
"Currency","2016/08/08",50.94
"Currency","2016/08/05",53.61
"Currency","2016/08/04",45.50
"Currency","2016/08/03",45.59
"Currency","2016/08/02",45.59
