"Indicator","Time","Value (USD/SYP)"
"Currency","2018/06/09",515.00
"Currency","2018/06/08",515.00
"Currency","2018/06/07",515.00
"Currency","2018/06/06",515.00
"Currency","2018/06/05",515.00
"Currency","2018/06/04",515.00
"Currency","2018/06/02",515.00
"Currency","2018/06/01",515.00
"Currency","2018/05/31",515.00
"Currency","2018/05/30",515.00
"Currency","2018/05/29",515.00
"Currency","2018/05/28",515.00
"Currency","2018/05/26",515.00
"Currency","2018/05/25",515.00
"Currency","2018/05/24",515.00
"Currency","2018/05/23",515.00
"Currency","2018/05/22",515.00
"Currency","2018/05/21",515.00
"Currency","2018/05/20",515.00
"Currency","2018/05/19",515.00
"Currency","2018/05/18",515.00
"Currency","2018/05/17",515.00
"Currency","2018/05/16",515.00
"Currency","2018/05/15",515.00
"Currency","2018/05/14",515.00
"Currency","2018/05/13",515.00
"Currency","2018/05/12",515.00
"Currency","2018/05/11",515.00
"Currency","2018/05/10",515.00
"Currency","2018/05/09",515.00
"Currency","2018/05/08",515.00
"Currency","2018/05/07",515.00
"Currency","2018/05/06",515.00
"Currency","2018/05/05",515.00
"Currency","2018/05/04",515.00
"Currency","2018/05/03",515.00
"Currency","2018/05/02",515.00
"Currency","2018/05/01",515.00
"Currency","2018/04/30",515.00
"Currency","2018/04/29",515.00
"Currency","2018/04/28",515.00
"Currency","2018/04/27",515.00
"Currency","2018/04/26",515.00
"Currency","2018/04/25",515.00
"Currency","2018/04/24",515.00
"Currency","2018/04/23",515.00
"Currency","2018/04/22",515.00
"Currency","2018/04/21",515.00
"Currency","2018/04/20",515.00
"Currency","2018/04/19",515.00
"Currency","2018/04/18",515.00
"Currency","2018/04/17",515.00
"Currency","2018/04/16",515.00
"Currency","2018/04/15",515.00
"Currency","2018/04/14",515.00
"Currency","2018/04/13",515.00
"Currency","2018/04/12",515.00
"Currency","2018/04/11",515.00
"Currency","2018/04/10",515.00
"Currency","2018/04/09",515.00
"Currency","2018/04/08",515.00
"Currency","2018/04/07",515.00
"Currency","2018/04/06",515.00
"Currency","2018/04/05",515.00
"Currency","2018/04/04",515.00
"Currency","2018/04/03",515.00
"Currency","2018/04/02",515.00
"Currency","2018/04/01",515.00
"Currency","2018/03/31",515.00
"Currency","2018/03/30",515.00
"Currency","2018/03/29",515.00
"Currency","2018/03/28",515.00
"Currency","2018/03/27",515.00
"Currency","2018/03/26",515.00
"Currency","2018/03/25",515.00
"Currency","2018/03/24",515.00
"Currency","2018/03/23",515.00
"Currency","2018/03/22",515.00
"Currency","2018/03/21",515.00
"Currency","2018/03/20",515.00
"Currency","2018/03/19",515.00
"Currency","2018/03/18",515.00
"Currency","2018/03/17",515.00
"Currency","2018/03/16",515.00
"Currency","2018/03/15",515.00
"Currency","2018/03/14",515.00
"Currency","2018/03/13",515.00
"Currency","2018/03/12",515.00
"Currency","2018/03/11",515.00
"Currency","2018/03/10",515.00
"Currency","2018/03/09",515.00
"Currency","2018/03/08",515.00
"Currency","2018/03/07",515.00
"Currency","2018/03/06",515.00
"Currency","2018/03/05",515.00
"Currency","2018/03/04",515.00
"Currency","2018/03/03",515.00
"Currency","2018/03/02",515.00
"Currency","2018/03/01",515.00
"Currency","2018/02/28",515.00
"Currency","2018/02/27",515.00
"Currency","2018/02/26",515.00
"Currency","2018/02/25",515.00
"Currency","2018/02/24",515.00
"Currency","2018/02/23",515.00
"Currency","2018/02/22",515.00
"Currency","2018/02/21",515.00
"Currency","2018/02/20",515.00
"Currency","2018/02/19",515.00
"Currency","2018/02/18",515.00
"Currency","2018/02/17",515.00
"Currency","2018/02/16",515.00
"Currency","2018/02/15",515.00
"Currency","2018/02/14",515.00
"Currency","2018/02/13",515.00
"Currency","2018/02/12",515.00
"Currency","2018/02/11",515.00
"Currency","2018/02/10",515.00
"Currency","2018/02/09",515.00
"Currency","2018/02/08",515.00
"Currency","2018/02/07",515.00
"Currency","2018/02/06",515.00
"Currency","2018/02/05",515.00
"Currency","2018/02/04",515.00
"Currency","2018/02/03",515.00
"Currency","2018/02/02",515.00
"Currency","2018/02/01",515.00
"Currency","2018/01/31",515.00
"Currency","2018/01/30",515.00
"Currency","2018/01/29",515.00
"Currency","2018/01/28",515.00
"Currency","2018/01/27",515.00
"Currency","2018/01/26",515.00
"Currency","2018/01/25",515.00
"Currency","2018/01/24",515.00
"Currency","2018/01/23",515.00
"Currency","2018/01/22",515.00
"Currency","2018/01/21",515.00
"Currency","2018/01/20",515.00
"Currency","2018/01/19",515.00
"Currency","2018/01/18",515.00
"Currency","2018/01/17",515.00
"Currency","2018/01/16",515.00
"Currency","2018/01/15",515.00
"Currency","2018/01/14",515.00
"Currency","2018/01/13",515.00
"Currency","2018/01/12",515.00
"Currency","2018/01/11",515.00
"Currency","2018/01/10",515.00
"Currency","2018/01/09",515.00
"Currency","2018/01/08",515.00
"Currency","2018/01/07",515.00
"Currency","2018/01/06",515.00
"Currency","2018/01/05",515.00
"Currency","2018/01/04",515.00
"Currency","2018/01/03",515.00
"Currency","2018/01/02",515.00
"Currency","2017/12/29",515.00
"Currency","2017/12/28",515.00
"Currency","2017/12/27",515.00
"Currency","2017/12/26",515.00
"Currency","2017/12/24",515.00
"Currency","2017/12/22",515.30
"Currency","2017/12/21",515.00
"Currency","2017/12/20",515.00
"Currency","2017/12/19",515.00
"Currency","2017/12/18",515.00
"Currency","2017/12/15",515.00
"Currency","2017/12/14",515.00
"Currency","2017/12/13",515.00
"Currency","2017/12/12",515.00
"Currency","2017/12/11",515.00
"Currency","2017/12/08",515.00
"Currency","2017/12/07",515.00
"Currency","2017/12/06",515.00
"Currency","2017/12/05",515.00
"Currency","2017/12/04",515.00
"Currency","2017/12/01",515.00
"Currency","2017/11/30",515.00
"Currency","2017/11/29",515.00
"Currency","2017/11/28",515.00
"Currency","2017/11/27",515.00
"Currency","2017/11/24",515.00
"Currency","2017/11/23",515.00
"Currency","2017/11/22",515.00
"Currency","2017/11/21",515.00
"Currency","2017/11/20",515.00
"Currency","2017/11/17",515.00
"Currency","2017/11/16",515.00
"Currency","2017/11/15",515.00
"Currency","2017/11/14",515.00
"Currency","2017/11/13",515.00
"Currency","2017/11/10",515.00
"Currency","2017/11/09",515.00
"Currency","2017/11/08",515.00
"Currency","2017/11/07",515.00
"Currency","2017/11/06",515.00
"Currency","2017/11/03",515.00
"Currency","2017/11/02",515.00
"Currency","2017/11/01",514.98
"Currency","2017/10/31",514.98
"Currency","2017/10/30",514.98
"Currency","2017/10/27",514.98
"Currency","2017/10/26",514.98
"Currency","2017/10/25",514.98
"Currency","2017/10/24",514.98
"Currency","2017/10/23",514.98
"Currency","2017/10/20",514.98
"Currency","2017/10/19",514.98
"Currency","2017/10/18",514.98
"Currency","2017/10/17",514.98
"Currency","2017/10/16",514.98
"Currency","2017/10/13",514.98
"Currency","2017/10/12",514.98
"Currency","2017/10/11",515.00
"Currency","2017/10/10",514.98
"Currency","2017/10/09",514.98
"Currency","2017/10/06",514.98
"Currency","2017/10/05",514.98
"Currency","2017/10/04",514.98
"Currency","2017/10/03",514.98
"Currency","2017/10/02",514.98
"Currency","2017/09/29",514.98
"Currency","2017/09/28",514.98
"Currency","2017/09/27",514.98
"Currency","2017/09/26",514.98
"Currency","2017/09/25",514.98
"Currency","2017/09/22",514.98
"Currency","2017/09/21",514.98
