"Indicator","Time","Value (USD/TJS)"
"Currency","2018/06/08",9.05
"Currency","2018/06/07",9.02
"Currency","2018/06/06",9.02
"Currency","2018/06/05",9.02
"Currency","2018/06/04",9.01
"Currency","2018/06/01",9.01
"Currency","2018/05/31",9.00
"Currency","2018/05/30",9.01
"Currency","2018/05/29",9.00
"Currency","2018/05/28",8.98
"Currency","2018/05/25",8.98
"Currency","2018/05/24",8.98
"Currency","2018/05/23",8.98
"Currency","2018/05/22",8.98
"Currency","2018/05/21",8.98
"Currency","2018/05/18",8.97
"Currency","2018/05/17",8.97
"Currency","2018/05/16",8.96
"Currency","2018/05/15",8.95
"Currency","2018/05/14",8.95
"Currency","2018/05/11",8.95
"Currency","2018/05/10",8.96
"Currency","2018/05/09",8.95
"Currency","2018/05/08",8.96
"Currency","2018/05/07",8.96
"Currency","2018/05/04",8.96
"Currency","2018/05/03",8.97
"Currency","2018/05/02",8.91
"Currency","2018/05/01",8.88
"Currency","2018/04/30",8.88
"Currency","2018/04/27",8.88
"Currency","2018/04/26",8.88
"Currency","2018/04/25",8.88
"Currency","2018/04/24",8.87
"Currency","2018/04/23",8.86
"Currency","2018/04/20",8.86
"Currency","2018/04/19",8.86
"Currency","2018/04/18",8.84
"Currency","2018/04/17",8.84
"Currency","2018/04/16",8.86
"Currency","2018/04/13",8.84
"Currency","2018/04/12",8.83
"Currency","2018/04/11",8.83
"Currency","2018/04/10",8.82
"Currency","2018/04/09",8.82
"Currency","2018/04/06",8.82
"Currency","2018/04/05",8.82
"Currency","2018/04/04",8.82
"Currency","2018/04/03",8.82
"Currency","2018/04/02",8.81
"Currency","2018/03/30",8.81
"Currency","2018/03/29",8.82
"Currency","2018/03/28",8.82
"Currency","2018/03/27",8.82
"Currency","2018/03/26",8.82
"Currency","2018/03/23",8.82
"Currency","2018/03/22",8.82
"Currency","2018/03/21",8.82
"Currency","2018/03/20",8.82
"Currency","2018/03/19",8.82
"Currency","2018/03/16",8.82
"Currency","2018/03/15",8.82
"Currency","2018/03/14",8.82
"Currency","2018/03/13",8.82
"Currency","2018/03/12",8.82
"Currency","2018/03/09",8.82
"Currency","2018/03/08",8.82
"Currency","2018/03/07",8.82
"Currency","2018/03/06",8.82
"Currency","2018/03/05",8.82
"Currency","2018/03/02",8.81
"Currency","2018/03/01",8.81
"Currency","2018/02/28",8.82
"Currency","2018/02/27",8.81
"Currency","2018/02/26",8.82
"Currency","2018/02/23",8.82
"Currency","2018/02/22",8.82
"Currency","2018/02/21",8.82
"Currency","2018/02/20",8.82
"Currency","2018/02/19",8.82
"Currency","2018/02/16",8.82
"Currency","2018/02/15",8.81
"Currency","2018/02/14",8.82
