"Indicator","Time","Value (USD/UAH)"
"Currency","2018/06/08",26.14
"Currency","2018/06/07",26.17
"Currency","2018/06/06",26.16
"Currency","2018/06/05",26.16
"Currency","2018/06/04",26.13
"Currency","2018/06/01",26.11
"Currency","2018/05/31",26.10
"Currency","2018/05/30",26.12
"Currency","2018/05/29",26.10
"Currency","2018/05/28",26.14
"Currency","2018/05/25",26.14
"Currency","2018/05/24",26.11
"Currency","2018/05/23",26.08
"Currency","2018/05/21",26.08
"Currency","2018/05/18",26.12
"Currency","2018/05/17",26.17
"Currency","2018/05/16",26.22
"Currency","2018/05/15",26.19
"Currency","2018/05/14",26.17
"Currency","2018/05/11",26.19
"Currency","2018/05/10",26.19
"Currency","2018/05/09",26.22
"Currency","2018/05/08",26.22
"Currency","2018/05/07",26.23
"Currency","2018/05/04",26.31
"Currency","2018/05/03",26.21
"Currency","2018/05/02",26.14
"Currency","2018/05/01",26.22
"Currency","2018/04/30",26.22
"Currency","2018/04/27",26.22
"Currency","2018/04/26",26.18
"Currency","2018/04/25",26.25
"Currency","2018/04/24",26.12
"Currency","2018/04/23",26.10
"Currency","2018/04/20",26.16
"Currency","2018/04/19",26.18
"Currency","2018/04/18",26.14
"Currency","2018/04/17",26.07
"Currency","2018/04/16",26.08
"Currency","2018/04/13",26.16
"Currency","2018/04/12",25.98
"Currency","2018/04/11",25.92
"Currency","2018/04/10",25.94
"Currency","2018/04/09",25.99
"Currency","2018/04/06",25.99
"Currency","2018/04/05",25.99
"Currency","2018/04/04",26.25
"Currency","2018/04/03",26.30
"Currency","2018/04/02",26.13
"Currency","2018/03/30",26.25
"Currency","2018/03/29",26.46
"Currency","2018/03/28",26.44
"Currency","2018/03/27",26.29
"Currency","2018/03/26",26.27
"Currency","2018/03/23",26.25
"Currency","2018/03/22",26.26
"Currency","2018/03/21",26.28
"Currency","2018/03/20",26.32
"Currency","2018/03/19",26.36
"Currency","2018/03/16",26.40
"Currency","2018/03/15",26.31
"Currency","2018/03/14",26.07
"Currency","2018/03/13",25.89
"Currency","2018/03/12",25.89
"Currency","2018/03/09",26.10
"Currency","2018/03/08",26.10
"Currency","2018/03/07",26.10
"Currency","2018/03/06",26.28
"Currency","2018/03/05",26.44
"Currency","2018/03/02",26.60
"Currency","2018/03/01",26.66
"Currency","2018/02/28",26.80
"Currency","2018/02/27",26.94
"Currency","2018/02/26",26.99
"Currency","2018/02/23",26.95
"Currency","2018/02/22",27.04
"Currency","2018/02/21",26.99
"Currency","2018/02/20",27.05
"Currency","2018/02/19",27.00
"Currency","2018/02/16",27.01
"Currency","2018/02/15",26.79
"Currency","2018/02/14",26.67
"Currency","2018/02/13",26.70
