"Indicator","Time","Value (USD/UGX)"
"Currency","2018/06/08",3815.00
"Currency","2018/06/07",3818.00
"Currency","2018/06/06",3780.00
"Currency","2018/06/05",3785.00
"Currency","2018/06/04",3783.00
"Currency","2018/06/01",3775.00
"Currency","2018/05/31",3770.00
"Currency","2018/05/30",3760.00
"Currency","2018/05/29",3760.00
"Currency","2018/05/28",3750.00
"Currency","2018/05/25",3742.00
"Currency","2018/05/24",3735.00
"Currency","2018/05/23",3720.28
"Currency","2018/05/22",3706.75
"Currency","2018/05/21",3723.00
"Currency","2018/05/18",3717.00
"Currency","2018/05/17",3715.00
"Currency","2018/05/16",3713.00
"Currency","2018/05/15",3707.54
"Currency","2018/05/14",3707.31
"Currency","2018/05/11",3712.00
"Currency","2018/05/10",3712.00
"Currency","2018/05/09",3710.00
"Currency","2018/05/08",3710.00
"Currency","2018/05/07",3708.00
"Currency","2018/05/04",3710.00
"Currency","2018/05/03",3710.00
"Currency","2018/05/02",3710.00
"Currency","2018/05/01",3712.00
"Currency","2018/04/30",3712.00
"Currency","2018/04/27",3708.00
"Currency","2018/04/26",3708.00
"Currency","2018/04/25",3695.00
"Currency","2018/04/24",3694.00
"Currency","2018/04/23",3692.32
"Currency","2018/04/20",3687.31
"Currency","2018/04/19",3692.00
"Currency","2018/04/18",3685.00
"Currency","2018/04/17",3685.00
"Currency","2018/04/16",3685.00
"Currency","2018/04/13",3690.00
"Currency","2018/04/12",3690.00
"Currency","2018/04/11",3690.00
"Currency","2018/04/10",3690.00
"Currency","2018/04/09",3690.00
"Currency","2018/04/06",3690.00
"Currency","2018/04/05",3690.00
"Currency","2018/04/04",3690.00
"Currency","2018/04/03",3685.00
"Currency","2018/04/02",3688.00
"Currency","2018/03/30",3688.00
"Currency","2018/03/29",3688.00
"Currency","2018/03/28",3680.00
"Currency","2018/03/27",3675.00
"Currency","2018/03/26",3667.00
"Currency","2018/03/23",3668.00
"Currency","2018/03/22",3660.00
"Currency","2018/03/21",3660.00
"Currency","2018/03/20",3661.00
"Currency","2018/03/19",3655.00
"Currency","2018/03/16",3655.00
"Currency","2018/03/15",3655.00
"Currency","2018/03/14",3658.00
"Currency","2018/03/13",3653.00
"Currency","2018/03/12",3644.00
"Currency","2018/03/09",3650.00
"Currency","2018/03/08",3652.00
"Currency","2018/03/07",3652.00
"Currency","2018/03/06",3645.00
"Currency","2018/03/05",3645.00
"Currency","2018/03/02",3638.00
"Currency","2018/03/01",3637.00
"Currency","2018/02/28",3639.00
"Currency","2018/02/27",3639.00
"Currency","2018/02/26",3640.00
"Currency","2018/02/23",3650.00
"Currency","2018/02/22",3650.00
"Currency","2018/02/21",3633.00
"Currency","2018/02/20",3631.00
"Currency","2018/02/19",3623.00
"Currency","2018/02/16",3625.00
"Currency","2018/02/15",3628.00
"Currency","2018/02/14",3628.00
"Currency","2018/02/13",3625.00
"Currency","2018/02/12",3640.00
"Currency","2018/02/09",3630.00
"Currency","2018/02/08",3625.00
"Currency","2018/02/07",3630.00
"Currency","2018/02/06",3628.00
"Currency","2018/02/05",3628.00
"Currency","2018/02/02",3625.00
"Currency","2018/02/01",3615.00
"Currency","2018/01/31",3618.00
"Currency","2018/01/30",3615.00
"Currency","2018/01/29",3628.00
"Currency","2018/01/26",3625.00
"Currency","2018/01/25",3628.00
"Currency","2018/01/24",3625.00
"Currency","2018/01/23",3625.00
"Currency","2018/01/22",3625.00
"Currency","2018/01/19",3624.00
"Currency","2018/01/18",3628.00
"Currency","2018/01/17",3624.37
"Currency","2018/01/16",3633.00
"Currency","2018/01/15",3635.00
"Currency","2018/01/12",3645.00
"Currency","2018/01/11",3647.00
"Currency","2018/01/10",3654.00
"Currency","2018/01/09",3655.00
"Currency","2018/01/08",3653.00
"Currency","2018/01/05",3651.00
"Currency","2018/01/04",3644.00
"Currency","2018/01/03",3635.00
"Currency","2018/01/02",3633.00
"Currency","2017/12/29",3632.00
"Currency","2017/12/28",3624.00
"Currency","2017/12/27",3605.00
"Currency","2017/12/26",3608.00
"Currency","2017/12/22",3612.00
"Currency","2017/12/21",3612.00
"Currency","2017/12/20",3598.00
"Currency","2017/12/19",3600.00
"Currency","2017/12/18",3605.00
"Currency","2017/12/15",3608.00
"Currency","2017/12/14",3608.00
"Currency","2017/12/13",3615.00
"Currency","2017/12/12",3615.00
"Currency","2017/12/11",3614.00
"Currency","2017/12/08",3617.00
"Currency","2017/12/07",3620.00
"Currency","2017/12/06",3619.00
"Currency","2017/12/05",3618.00
"Currency","2017/12/04",3625.93
"Currency","2017/12/01",3630.00
"Currency","2017/11/30",3628.00
"Currency","2017/11/29",3630.00
"Currency","2017/11/28",3634.00
"Currency","2017/11/27",3625.00
"Currency","2017/11/24",3625.00
"Currency","2017/11/23",3625.00
"Currency","2017/11/22",3625.00
"Currency","2017/11/21",3628.00
"Currency","2017/11/20",3628.00
"Currency","2017/11/17",3628.00
"Currency","2017/11/16",3626.00
"Currency","2017/11/15",3630.00
"Currency","2017/11/14",3629.13
"Currency","2017/11/13",3635.00
"Currency","2017/11/10",3648.00
"Currency","2017/11/09",3640.36
"Currency","2017/11/08",3625.00
"Currency","2017/11/07",3640.36
"Currency","2017/11/06",3635.00
"Currency","2017/11/03",3645.00
"Currency","2017/11/02",3650.00
"Currency","2017/11/01",3641.00
"Currency","2017/10/31",3647.00
"Currency","2017/10/30",3644.00
"Currency","2017/10/27",3642.00
"Currency","2017/10/26",3641.00
"Currency","2017/10/25",3647.00
"Currency","2017/10/24",3662.00
"Currency","2017/10/23",3651.00
"Currency","2017/10/20",3644.00
"Currency","2017/10/19",3647.00
"Currency","2017/10/18",3655.00
"Currency","2017/10/17",3655.00
"Currency","2017/10/16",3619.00
"Currency","2017/10/13",3625.00
"Currency","2017/10/12",3629.00
"Currency","2017/10/11",3631.36
"Currency","2017/10/10",3619.00
"Currency","2017/10/09",3597.00
"Currency","2017/10/06",3615.00
"Currency","2017/10/05",3594.00
"Currency","2017/10/04",3597.00
"Currency","2017/10/03",3594.00
"Currency","2017/10/02",3592.00
"Currency","2017/09/29",3598.00
"Currency","2017/09/28",3590.00
"Currency","2017/09/27",3594.00
"Currency","2017/09/26",3590.00
"Currency","2017/09/25",3591.00
"Currency","2017/09/22",3595.00
"Currency","2017/09/21",3597.00
"Currency","2017/09/20",3585.00
"Currency","2017/09/19",3585.00
"Currency","2017/09/18",3587.00
"Currency","2017/09/16",3591.00
"Currency","2017/09/15",3591.00
"Currency","2017/09/14",3592.00
"Currency","2017/09/13",3592.00
"Currency","2017/09/12",3592.00
"Currency","2017/09/11",3585.00
"Currency","2017/09/08",3591.00
"Currency","2017/09/07",3590.00
"Currency","2017/09/06",3592.00
"Currency","2017/09/05",3585.00
"Currency","2017/09/04",3592.00
"Currency","2017/09/01",3593.00
"Currency","2017/08/31",3592.00
"Currency","2017/08/30",3597.00
"Currency","2017/08/29",3600.00
"Currency","2017/08/28",3595.00
"Currency","2017/08/25",3594.40
"Currency","2017/08/24",3594.00
"Currency","2017/08/23",3592.00
"Currency","2017/08/22",3595.00
"Currency","2017/08/21",3595.00
"Currency","2017/08/18",3597.00
"Currency","2017/08/17",3597.00
"Currency","2017/08/16",3597.00
"Currency","2017/08/15",3597.00
"Currency","2017/08/14",3592.00
"Currency","2017/08/11",3595.00
"Currency","2017/08/10",3597.00
"Currency","2017/08/09",3601.00
"Currency","2017/08/08",3602.00
"Currency","2017/08/07",3612.00
"Currency","2017/08/04",3607.00
"Currency","2017/08/03",3612.00
"Currency","2017/08/02",3607.00
"Currency","2017/08/01",3604.00
"Currency","2017/07/31",3605.00
"Currency","2017/07/28",3598.00
"Currency","2017/07/27",3612.00
"Currency","2017/07/26",3595.00
"Currency","2017/07/25",3593.65
"Currency","2017/07/24",3593.65
"Currency","2017/07/21",3595.00
"Currency","2017/07/20",3596.40
"Currency","2017/07/19",3592.00
"Currency","2017/07/18",3592.00
"Currency","2017/07/17",3591.00
"Currency","2017/07/14",3592.00
"Currency","2017/07/13",3592.00
"Currency","2017/07/12",3597.00
"Currency","2017/07/11",3592.00
"Currency","2017/07/10",3595.00
"Currency","2017/07/07",3595.00
"Currency","2017/07/06",3592.00
"Currency","2017/07/05",3592.90
"Currency","2017/07/04",3595.00
"Currency","2017/07/03",3582.00
"Currency","2017/07/01",3592.00
"Currency","2017/06/30",3592.00
"Currency","2017/06/29",3582.90
"Currency","2017/06/28",3574.00
"Currency","2017/06/27",3582.00
"Currency","2017/06/26",3575.00
"Currency","2017/06/24",3582.00
"Currency","2017/06/23",3582.00
"Currency","2017/06/22",3582.00
"Currency","2017/06/21",3575.00
"Currency","2017/06/20",3574.00
"Currency","2017/06/19",3582.00
"Currency","2017/06/17",3582.00
"Currency","2017/06/16",3578.00
"Currency","2017/06/15",3579.00
"Currency","2017/06/14",3587.00
"Currency","2017/06/13",3582.00
"Currency","2017/06/12",3582.00
"Currency","2017/06/09",3582.00
"Currency","2017/06/08",3582.00
"Currency","2017/06/07",3584.00
"Currency","2017/06/06",3585.00
"Currency","2017/06/05",3585.00
"Currency","2017/06/03",3592.00
"Currency","2017/06/02",3592.00
"Currency","2017/06/01",3584.00
"Currency","2017/05/31",3587.00
"Currency","2017/05/30",3597.00
"Currency","2017/05/29",3597.00
"Currency","2017/05/26",3602.00
"Currency","2017/05/25",3599.00
"Currency","2017/05/24",3607.00
"Currency","2017/05/23",3614.00
"Currency","2017/05/22",3612.00
"Currency","2017/05/20",3617.00
"Currency","2017/05/19",3617.00
"Currency","2017/05/18",3612.00
"Currency","2017/05/17",3612.00
"Currency","2017/05/16",3625.00
"Currency","2017/05/15",3630.00
"Currency","2017/05/12",3633.00
"Currency","2017/05/11",3633.00
"Currency","2017/05/10",3630.00
"Currency","2017/05/09",3623.00
"Currency","2017/05/08",3620.38
"Currency","2017/05/05",3622.00
"Currency","2017/05/04",3628.00
"Currency","2017/05/03",3625.00
"Currency","2017/05/02",3640.00
"Currency","2017/05/01",3642.00
"Currency","2017/04/28",3645.00
"Currency","2017/04/27",3638.00
"Currency","2017/04/26",3635.00
